ReportID:	2210	DataYear:	2009	(Wide)	ReportID:	2210	DataYear:	2009	(Wide)	ReportID:	2210	DataYear:	2009	(Wide)	ReportID:	2210	DataYear:	2009	(Wide)	ReportID:	2210	DataYear:	2009	(Wide)	ReportID:	2210	DataYear:	2009	(Wide)	ReportID:	2210	DataYear:	2009	(Wide)	ReportID:	2210	DataYear:	2009	(Wide)	ReportID:	2210	DataYear:	2009	(Wide)	ReportID:	2210	DataYear:	2009	(Wide)	ReportID:	2210	DataYear:	2009	(Wide)	ReportID:	2210	DataYear:	2009	Prepared	7/11/2010
Daily Vehicle Miles Traveled (DVMT) by Maintenance Jurisdiction by Federal Functional Class																																																												
Public Road Segments Maintained by the Commonwealth of Virginia (VDOT), Virginia Local Jurisdictions, the Federal Government or Local Toll Authorities																																																												
> > > > This report includes road segments maintained by VDOT, but outside of Virginia so it is not expected to match Virginia Public Road reports from sources such as FHWA or DMV < < < < 																																																												
Using Distance Measured Along North and East Bound Direction of Separated Inventoried Highways																																																												
2009																																																												
																																																												
									VDOT Secondary						VDOT Primary						VDOT Interstate						County Secondary						Urban Secondary						Urban Primary						Other Secondary						Other Primary						All Roads			
													%	%					%	%					%	%					%	%					%	%					%	%					%	%					%	%				%
										%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%		of
										of	of		Secondary	State		of	of		Primary	State		of	of		Interstate	State		of	of		Secondary	State		of	of		Secondary	State		of	of		Primary	State		of	of		Secondary	State		of	of		Primary	State		of		State
				Federal						Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Interstate	State	Road	Total	Total		Secondary	State	Road	Total	Total		Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		State	Road	Total
				Functional						Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Length	Road
		Jurisdiction		Class					DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	(Miles)	Length
																																																												
1	Bristol District	010	Bland County	1	Rural Principal Arterial - Interstate			              													571,853	0.87%	0.26%	21.69	1.94%	0.03%																															571,853	0.26%	21.69	0.03%
1	Bristol District	010	Bland County	6	Rural Minor Arterial			              							31,239	0.05%	0.01%	14.24	0.17%	0.02%																																					31,239	0.01%	14.24	0.02%
1	Bristol District	010	Bland County	7	Rural Major Collector			              	12,108	0.03%	0.01%	15.70	0.03%	0.02%	39,169	0.06%	0.02%	63.45	0.76%	0.09%																																					51,277	0.02%	79.15	0.11%
1	Bristol District	010	Bland County	9	Rural Local System			              	50,785	0.13%	0.02%	193.51	0.40%	0.26%	1,112	0.00%	0.00%	2.11	0.03%	0.00%																																					51,897	0.02%	195.62	0.26%
1	Bristol District	010	Bland County Total:						62,892	0.16%	0.03%	209.21	0.43%	0.28%	71,521	0.11%	0.03%	79.80	0.96%	0.11%	571,853	0.87%	0.26%	21.69	1.94%	0.03%																															706,267	0.32%	310.70	0.42%
1	Bristol District	013	Buchanan County	2	Rural Principal Arterial - Other			              	3,847	0.01%	0.00%	0.62	0.00%	0.00%	276,642	0.41%	0.12%	34.78	0.42%	0.05%																																					280,489	0.13%	35.40	0.05%
1	Bristol District	013	Buchanan County	6	Rural Minor Arterial			              							56,206	0.08%	0.03%	20.30	0.24%	0.03%																																					56,206	0.03%	20.30	0.03%
1	Bristol District	013	Buchanan County	7	Rural Major Collector			              	150,899	0.38%	0.07%	118.70	0.24%	0.16%	52,739	0.08%	0.02%	17.40	0.21%	0.02%																																					203,637	0.09%	136.10	0.18%
1	Bristol District	013	Buchanan County	8	Rural Minor Collector			              	3,579	0.01%	0.00%	9.64	0.02%	0.01%																																											3,579	0.00%	9.64	0.01%
1	Bristol District	013	Buchanan County	9	Rural Local System			              	129,833	0.33%	0.06%	333.86	0.69%	0.45%	179	0.00%	0.00%	0.34	0.00%	0.00%																																					130,012	0.06%	334.20	0.45%
1	Bristol District	013	Buchanan County Total:						288,157	0.73%	0.13%	462.82	0.95%	0.62%	385,766	0.57%	0.17%	72.82	0.87%	0.10%																																					673,923	0.30%	535.64	0.72%
1	Bristol District	025	Dickenson County	6	Rural Minor Arterial			              							155,215	0.23%	0.07%	38.94	0.47%	0.05%																																					155,215	0.07%	38.94	0.05%
1	Bristol District	025	Dickenson County	7	Rural Major Collector			              	58,633	0.15%	0.03%	81.85	0.17%	0.11%	67,064	0.10%	0.03%	39.96	0.48%	0.05%																																					125,697	0.06%	121.81	0.16%
1	Bristol District	025	Dickenson County	8	Rural Minor Collector			              	2,729	0.01%	0.00%	13.15	0.03%	0.02%																																											2,729	0.00%	13.15	0.02%
1	Bristol District	025	Dickenson County	9	Rural Local System			              	73,947	0.19%	0.03%	310.84	0.64%	0.42%	1,450	0.00%	0.00%	2.75	0.03%	0.00%																																					75,397	0.03%	313.59	0.42%
1	Bristol District	025	Dickenson County Total:						135,310	0.34%	0.06%	405.84	0.83%	0.55%	223,729	0.33%	0.10%	81.65	0.98%	0.11%																																					359,038	0.16%	487.49	0.66%
1	Bristol District	038	Grayson County	6	Rural Minor Arterial			              							204,731	0.30%	0.09%	85.78	1.03%	0.12%																																					204,731	0.09%	85.78	0.12%
1	Bristol District	038	Grayson County	7	Rural Major Collector			              	52,082	0.13%	0.02%	116.05	0.24%	0.16%	16,845	0.02%	0.01%	14.31	0.17%	0.02%																																					68,927	0.03%	130.36	0.18%
1	Bristol District	038	Grayson County	8	Rural Minor Collector			              	6,009	0.02%	0.00%	34.57	0.07%	0.05%																																											6,009	0.00%	34.57	0.05%
1	Bristol District	038	Grayson County	9	Rural Local System			              	56,844	0.14%	0.03%	509.09	1.05%	0.69%	4,866	0.01%	0.00%	9.23	0.11%	0.01%																																					61,710	0.03%	518.32	0.70%
1	Bristol District	038	Grayson County	14	Urban Principal Arterial - Other			              							5,287	0.01%	0.00%	0.63	0.01%	0.00%																																					5,287	0.00%	0.63	0.00%
1	Bristol District	038	Grayson County	19	Urban Local System			              	26	0.00%	0.00%	0.12	0.00%	0.00%																																											26	0.00%	0.12	0.00%
1	Bristol District	038	Grayson County Total:						114,961	0.29%	0.05%	659.83	1.36%	0.89%	231,729	0.34%	0.10%	109.95	1.32%	0.15%																																					346,690	0.16%	769.78	1.04%
1	Bristol District	052	Lee County	2	Rural Principal Arterial - Other			              							36,879	0.05%	0.02%	4.08	0.05%	0.01%																																					36,879	0.02%	4.08	0.01%
1	Bristol District	052	Lee County	6	Rural Minor Arterial			              							338,876	0.50%	0.15%	78.61	0.94%	0.11%																																					338,876	0.15%	78.61	0.11%
1	Bristol District	052	Lee County	7	Rural Major Collector			              	56,585	0.14%	0.03%	103.30	0.21%	0.14%	52,435	0.08%	0.02%	28.31	0.34%	0.04%																																					109,020	0.05%	131.61	0.18%
