ReportID:	1210	DataYear:	2009		ReportID:	1210	DataYear:	2009		ReportID:	1210	DataYear:	2009		ReportID:	1210	DataYear:	2009		ReportID:	1210	DataYear:	2009		ReportID:	1210	DataYear:	2009	Prepared	7/11/2010
Daily Vehicle Miles Traveled (DVMT) by Physical Jurisdiction by Federal Functional Class																														
Public Road Segments within the Commonwealth of Virginia																														
Using Distance Measured Along North and East Bound Direction of Separated Inventoried Highways																														
2009																														
																														
									Secondary						Primary						Interstate						All Roads			
													%	%					%	%					%	%				%
										%	%		of	of		%	%		of	of		%	%		of	of		%		of
										of	of		Secondary	State		of	of		Primary	State		of	of		Interstate	State		of		State
				Federal						Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Interstate	State	Road	Total	Total		State	Road	Total
				Functional						Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Length	Road
		Jurisdiction		Class					DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	(Miles)	Length
																														
 		001	Accomack County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%	0.00	0.00%	0.00%	636,110	0.70%	0.29%	33.49	0.34%	0.05%	0	0.00%	0.00%	0.00	0.00%	0.00%	636,110	0.29%	33.49	0.05%
 		001	Accomack County	7	Rural Major Collector			              	117,365	0.18%	0.05%	92.83	0.15%	0.13%	154,667	0.17%	0.07%	48.23	0.48%	0.07%	0	0.00%	0.00%	0.00	0.00%	0.00%	272,032	0.12%	141.06	0.19%
 		001	Accomack County	8	Rural Minor Collector			              	8,477	0.01%	0.00%	14.94	0.02%	0.02%	2,455	0.00%	0.00%	3.06	0.03%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	10,933	0.00%	18.00	0.02%
 		001	Accomack County	9	Rural Local System			              	112,046	0.17%	0.05%	405.83	0.64%	0.55%	190	0.00%	0.00%	0.36	0.00%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	112,236	0.05%	406.19	0.55%
 		001	Accomack County Total:						237,889	0.37%	0.11%	513.60	0.81%	0.69%	793,423	0.87%	0.36%	85.14	0.85%	0.11%	0	0.00%	0.00%	0.00	0.00%	0.00%	1,031,311	0.47%	598.74	0.81%
 		002	Albemarle County	1	Rural Principal Arterial - Interstate			              	0	0.00%	0.00%	0.00	0.00%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	800,115	1.22%	0.36%	23.32	2.08%	0.03%	800,115	0.36%	23.32	0.03%
 		002	Albemarle County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%	0.00	0.00%	0.00%	269,861	0.30%	0.12%	17.35	0.17%	0.02%	0	0.00%	0.00%	0.00	0.00%	0.00%	269,861	0.12%	17.35	0.02%
 		002	Albemarle County	6	Rural Minor Arterial			              	0	0.00%	0.00%	0.00	0.00%	0.00%	322,924	0.35%	0.15%	46.06	0.46%	0.06%	0	0.00%	0.00%	0.00	0.00%	0.00%	322,924	0.15%	46.06	0.06%
 		002	Albemarle County	7	Rural Major Collector			              	251,249	0.39%	0.11%	135.03	0.21%	0.18%	146,796	0.16%	0.07%	39.77	0.40%	0.05%	0	0.00%	0.00%	0.00	0.00%	0.00%	398,045	0.18%	174.80	0.24%
 		002	Albemarle County	8	Rural Minor Collector			              	20,952	0.03%	0.01%	25.28	0.04%	0.03%	0	0.00%	0.00%	0.00	0.00%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	20,952	0.01%	25.28	0.03%
 		002	Albemarle County	9	Rural Local System			              	207,847	0.32%	0.09%	577.47	0.92%	0.78%	1,105	0.00%	0.00%	3.19	0.03%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	208,953	0.09%	580.66	0.78%
 		002	Albemarle County	11	Urban Principal Arterial - Interstate			              	0	0.00%	0.00%	0.00	0.00%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	290,192	0.44%	0.13%	6.35	0.57%	0.01%	290,192	0.13%	6.35	0.01%
 		002	Albemarle County	12	Urban Principal Arterial - Other Freeways or Expressways			              	0	0.00%	0.00%	0.00	0.00%	0.00%	159,456	0.17%	0.07%	3.62	0.04%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	159,456	0.07%	3.62	0.00%
 		002	Albemarle County	14	Urban Principal Arterial - Other			              	0	0.00%	0.00%	0.00	0.00%	0.00%	495,065	0.54%	0.22%	12.84	0.13%	0.02%	0	0.00%	0.00%	0.00	0.00%	0.00%	495,065	0.22%	12.84	0.02%
 		002	Albemarle County	16	Urban Minor Arterial			              	91,622	0.14%	0.04%	6.86	0.01%	0.01%	130,625	0.14%	0.06%	13.80	0.14%	0.02%	0	0.00%	0.00%	0.00	0.00%	0.00%	222,248	0.10%	20.66	0.03%
 		002	Albemarle County	17	Urban Collector			              	191,810	0.30%	0.09%	31.18	0.05%	0.04%	0	0.00%	0.00%	0.00	0.00%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	191,810	0.09%	31.18	0.04%
 		002	Albemarle County	19	Urban Local System			              	124,772	0.19%	0.06%	96.90	0.15%	0.13%	2,835	0.00%	0.00%	1.94	0.02%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	127,607	0.06%	98.84	0.13%
 		002	Albemarle County Total:						888,253	1.37%	0.40%	872.72	1.38%	1.18%	1,528,668	1.67%	0.69%	138.57	1.39%	0.19%	1,090,307	1.66%	0.49%	29.67	2.65%	0.04%	3,507,228	1.58%	1,040.96	1.40%
 		003	Alleghany County	1	Rural Principal Arterial - Interstate			              	0	0.00%	0.00%	0.00	0.00%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	425,928	0.65%	0.19%	38.04	3.40%	0.05%	425,928	0.19%	38.04	0.05%
 		003	Alleghany County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%	0.00	0.00%	0.00%	13,293	0.01%	0.01%	1.93	0.02%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	13,293	0.01%	1.93	0.00%
 		003	Alleghany County	6	Rural Minor Arterial			              	0	0.00%	0.00%	0.00	0.00%	0.00%	43,842	0.05%	0.02%	17.19	0.17%	0.02%	0	0.00%	0.00%	0.00	0.00%	0.00%	43,842	0.02%	17.19	0.02%
