ReportID:	2220	DataYear:	2009	(Wide)	ReportID:	2220	DataYear:	2009	(Wide)	ReportID:	2220	DataYear:	2009	(Wide)	ReportID:	2220	DataYear:	2009	(Wide)	ReportID:	2220	DataYear:	2009	(Wide)	ReportID:	2220	DataYear:	2009	(Wide)	ReportID:	2220	DataYear:	2009	(Wide)	ReportID:	2220	DataYear:	2009	(Wide)	ReportID:	2220	DataYear:	2009	(Wide)	ReportID:	2220	DataYear:	2009	(Wide)	ReportID:	2220	DataYear:	2009	(Wide)	ReportID:	2220	DataYear:	2009	Prepared	7/11/2010
Daily Vehicle Miles Traveled (DVMT) by Maintenance Jurisdiction by Vehicle Class																																																												
Public Road Segments Maintained by the Commonwealth of Virginia (VDOT), Virginia Local Jurisdictions, the Federal Government or Local Toll Authorities																																																												
> > > > This report includes road segments maintained by VDOT, but outside of Virginia so it is not expected to match Virginia Public Road reports from sources such as FHWA or DMV < < < < 																																																												
Using Distance Measured Along North and East Bound Direction of Separated Inventoried Highways																																																												
2009																																																												
																																																												
									VDOT Secondary						VDOT Primary						VDOT Interstate						County Secondary						Urban Secondary						Urban Primary						Other Secondary						Other Primary						All Roads			
													%	%					%	%					%	%					%	%					%	%					%	%					%	%					%	%				%
										%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%		of
										of	of		Secondary	State		of	of		Primary	State		of	of		Interstate	State		of	of		Secondary	State		of	of		Secondary	State		of	of		Primary	State		of	of		Secondary	State		of	of		Primary	State		of		State
						Federal				Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Interstate	State	Road	Total	Total		Secondary	State	Road	Total	Total		Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		State	Road	Total
						Vehicle				Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Length	Road
		Jurisdiction				Class			DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	(Miles)	Length
																																																												
1	Bristol District	010	Bland County			01	Motorcycles	              	0	0.00%	0.00%	209.21	0.43%	0.28%	298	0.00%	0.00%	79.80	0.96%	0.11%	1,190	0.00%	0.00%	21.69	1.94%	0.03%																															1,488	0.00%	310.70	0.42%
1	Bristol District	010	Bland County			02	Passenger Cars	              	59,018	0.15%	0.03%	209.21	0.43%	0.28%	49,072	0.07%	0.02%	79.80	0.96%	0.11%	327,346	0.50%	0.15%	21.69	1.94%	0.03%																															435,436	0.20%	310.70	0.42%
1	Bristol District	010	Bland County			03	Two Axle, 4 Tire Single Unit Vehicles	              	3,085	0.01%	0.00%	209.21	0.43%	0.28%	19,367	0.03%	0.01%	79.80	0.96%	0.11%	99,902	0.15%	0.05%	21.69	1.94%	0.03%																															122,353	0.06%	310.70	0.42%
1	Bristol District	010	Bland County			04	Busses	              	73	0.00%	0.00%	209.21	0.43%	0.28%	567	0.00%	0.00%	79.80	0.96%	0.11%	3,803	0.01%	0.00%	21.69	1.94%	0.03%																															4,443	0.00%	310.70	0.42%
