Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henrico Maintenance Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
665770,  US,00001,     ,US 1,Brook Rd,043,Henrico County,043,Henrico County,0.30,NCL Richmond,I-95,22000,G,97%,1%,1%,0%,1%,0%,F,0.0890,F,0.5425,24000,G,2008,,,,,,,,,,,,,,,
665101,  US,00001,     ,US 1,Brook Rd,043,Henrico County,043,Henrico County,0.83,I-95,Hilliard Rd,24000,G,99%,0%,1%,0%,0%,0%,C,0.0908,F,0.5256,26000,G,2008,,,,,,,,,,,,,,,
665102,  US,00001,     ,US 1,Brook Rd,043,Henrico County,043,Henrico County,0.72,Hilliard Rd,Wilkinson Rd,21000,G,99%,0%,1%,0%,0%,0%,F,0.0958,F,0.5348,22000,G,2008,,,,,,,,,,,,,,,
665103,  US,00001,     ,US 1,Brook Rd,043,Henrico County,043,Henrico County,0.48,Wilkinson Rd,SR 73 Parham Rd,25000,F,98%,0%,1%,0%,1%,0%,C,0.0906,F,0.5112,25000,F,2008,,,,,,,,,,,,,,,
665771,  US,00001,     ,US 1,Brook Rd,043,Henrico County,043,Henrico County,1.42,SR 73 Parham Rd,I-295,26000,G,98%,0%,1%,0%,1%,0%,C,0.0934,F,0.5149,27000,G,2008,,,,,,,,,,,,,,,
665185,  US,00001,     ,US 1,Brook Rd,043,Henrico County,043,Henrico County,0.73,I-295,Virginia Center Parkway,45000,G,98%,0%,1%,0%,1%,0%,F,0.0946,F,0.5152,48000,G,2008,,,,,,,,,,,,,,,
665193,  US,00001,     ,US 1,Brook Rd,043,Henrico County,043,Henrico County,0.38,Virginia Center Parkway,J.E.B. Stuart Parkway,32000,G,98%,0%,1%,0%,1%,0%,F,0.0946,F,0.5203,35000,G,2008,,,,,,,,,,,,,,,
665196,  US,00001,     ,US 1,Brook Rd,043,Henrico County,043,Henrico County,0.60,J.E.B. Stuart Parkway,Hanover County Line,26000,G,98%,0%,1%,0%,1%,0%,F,,,,27000,G,2008,,,,,,,,,,,,,,,
789651,  US,00001,N093B,US 1 NB Exit 093B,Ramp,127,City of Richmond,043,Henrico County,0.12,US 1 TO ROUTE 95 NORTH,I-95-N FROM ROUTE 1 NORTH,7700,F,,,,,,,X,,,,7700,F,2008,,,,,,,,,,,,,,,
