Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caroline Maintenance Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
140168,  US,00001,     ,US 1,Jefferson Davis Hwy,016,Caroline County,016,Caroline County,2.99,Hanover County Line,SR 207 Carmel Church,4400,G,86%,1%,1%,3%,9%,0%,F,0.0868,F,0.6329,4800,G,2008,,,,,,,,,,,,,,,
160010,  US,00001,     ,US 1,Jefferson Davis Hwy,016,Caroline County,016,Caroline County,6.29,SR 207 Carmel Church,16-639 Ladysmith Rd,4700,G,93%,1%,1%,2%,3%,0%,F,0.0814,F,0.5389,5000,G,2008,,,,,,,,,,,,,,,
160011,  US,00001,     ,US 1,Jefferson Davis Hwy,016,Caroline County,016,Caroline County,3.06,16-639 Ladysmith Rd,16-632 Cedon Rd; Quarters Rd,7100,G,93%,1%,1%,2%,3%,0%,F,0.0887,F,0.6923,7700,G,2008,,,,,,,,,,,,,,,
160012,  US,00001,     ,US 1,Jefferson Davis Hwy,016,Caroline County,016,Caroline County,2.53,16-632 Cedon Rd; Quarters Rd,Spotsylvania County Line,5800,G,93%,1%,1%,2%,3%,0%,C,0.0873,F,0.6019,6200,G,2008,,,,,,,,,,,,,,,
060189,  SR,00002,     ,"US 301, VA 2",Richmond Tpke,016,Caroline County,016,Caroline County,3.16,Hanover County Line,SR 30 Dawn,4400,G,97%,0%,1%,1%,1%,0%,F,0.1006,F,0.6081,4800,G,2008,,,,,,,,,,,,,,,
060188,  SR,00002,     ,"US 301, VA 2",Richmond Tpke,016,Caroline County,016,Caroline County,4.44,SR 30 Dawn,16-647,3300,G,89%,1%,1%,2%,6%,0%,F,0.0983,F,0.5180,3500,G,2008,,,,,,,,,,,,,,,
060187,  SR,00002,     ,"US 301, VA 2",Richmond Tpke,016,Caroline County,016,Caroline County,7.50,16-647,16-721 Near de Jarnette,2800,G,89%,1%,1%,2%,6%,0%,C,0.1003,F,0.5926,3100,G,2008,,,,,,,,,,,,,,,
060102,  SR,00002,     ,"US 301, VA 2",Richmond Tpke,016,Caroline County,016,Caroline County,2.46,16-721 Near de Jarnette,Bus US 301,5800,G,89%,1%,1%,2%,6%,0%,F,0.0951,F,0.6618,6300,G,2008,,,,,,,,,,,,,,,
060109,  SR,00002,     ,"US 301, VA 2",Richmond Tpke,171,Town of Bowling Green,016,Caroline County,0.11,SCL Bowling Green,Bus US 301,5800,N,89%,1%,1%,2%,6%,0%,N,0.0951,N,0.6618,6300,N,2008,,,,,,,,,,,,,,,
