Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Honaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
769168,  83,00637,     ,83-637,Thomasson Creek Rd,239,Town of Honaker,083,Russell County,0.94,Dead End,SR 80 SOUTH,1600,R,,,,,,,X,,,,,,03/02/2006,,,,,,,,,,,,,,,
405606,  83,00637,     ,83-637,Putnam Rd,239,Town of Honaker,083,Russell County,0.22,SR 80 North Redbud Hwy,83-1102 Elm St,840,F,96%,0%,1%,1%,2%,0%,F,0.1048,F,0.6122,880,F,2008,,,,,,,,,,,,,,,
405607,  83,00637,     ,83-637,Putman Rd,239,Town of Honaker,083,Russell County,0.22,83-1102 Elm St,ECL Honaker,880,F,96%,0%,1%,1%,2%,0%,F,0.0931,F,0.5291,920,F,2008,,,,,,,,,,,,,,,
405630,  83,00645,     ,83-645, ,239,Town of Honaker,083,Russell County,0.07,WCL Honaker,83-653,1000,G,98%,1%,1%,1%,0%,0%,F,0.0963,N,0.7244,1000,G,2008,,,,,,,,,,,,,,,
769193,  83,00645,     ,83-645, ,239,Town of Honaker,083,Russell County,0.33,83-653,83-1101 Railroad Ave,2300,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
769213,  83,00653,     ,83-653, ,239,Town of Honaker,083,Russell County,0.25,SCL Honaker,83-645,470,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
769315,  83,00706,     ,83-706,Fairmont St,239,Town of Honaker,083,Russell County,0.04,SR 80,83-707 Fairmont St,780,R,,,,,,,X,,,,,,03/02/2005,,,,,,,,,,,,,,,
769316,  83,00706,     ,83-706,Fairmont St,239,Town of Honaker,083,Russell County,0.03,83-707 Fairmont St,83-1102 Wallace St,1200,R,,,,,,,X,,,,,,03/02/2006,,,,,,,,,,,,,,,
769317,  83,00706,     ,83-706,Fairmont St,239,Town of Honaker,083,Russell County,0.05,83-1102 Wallace St,83-1103 Maple St,660,R,,,,,,,X,,,,,,03/02/2006,,,,,,,,,,,,,,,
769318,  83,00707,     ,83-707,Fairmont St,239,Town of Honaker,083,Russell County,0.03,SR 80,83-706 Fairmont St,730,R,,,,,,,X,,,,,,03/02/2006,,,,,,,,,,,,,,,
769572,  83,01101,     ,83-1101,Railroad Ave,239,Town of Honaker,083,Russell County,0.42,SR 80; 83-645,83-637 Thomasson Creek Rd,1400,R,,,,,,,X,,,,,,1986,,,,,,,,,,,,,,,
769573,  83,01102,     ,83-1102,Wallace St,239,Town of Honaker,083,Russell County,0.20,83-637 Putnam Rd,83-706 Fairmont St,590,R,,,,,,,X,,,,,,03/02/2006,,,,,,,,,,,,,,,
