Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Melfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
150315,  US,00013,     ,US 13,Lankford Hwy,258,Town of Melfa,001,Accomack County,0.37,SCL Melfa,01-T626,17000,F,93%,1%,1%,1%,5%,0%,F,,,,16000,F,2008,,,,,,,,,,,,,,,
050563,  US,00013,     ,US 13,Lankford Hwy,258,Town of Melfa,001,Accomack County,0.50,01-T626,NCL Melfa,18000,F,93%,1%,1%,1%,5%,0%,F,0.0770,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
300015,  01,00626,     ,01-626,Main St,258,Town of Melfa,001,Accomack County,0.13,NCL Melfa,US 13 Lankford Hwy,2300,F,95%,1%,1%,1%,2%,0%,F,0.0895,F,0.5630,2500,F,2008,,,,,,,,,,,,,,,
300016,  01,00626,     ,01-626,Main St; Airport Dr,258,Town of Melfa,001,Accomack County,0.62,US 13 Lankford Hwy,SCL Melfa,910,F,98%,0%,1%,0%,0%,0%,C,0.1038,F,0.5102,970,F,2008,,,,,,,,,,,,,,,
785035,  01,00639,     ,01-639,Phillips Dr,258,Town of Melfa,001,Accomack County,0.05,ECL Melfa,01-626 Main St; Airport Dr,290,N,,,,,,,X,,,,0,N,09/07/2005,,,,,,,,,,,,,,,
700644,  01,01101,     ,01-1101,Railroad Ave,258,Town of Melfa,001,Accomack County,0.14,Dead End,01-1111 Virginia Ave,170,R,,,,,,,X,,,,,,08/02/2005,,,,,,,,,,,,,,,
700645,  01,01101,     ,01-1101,Railroad Ave,258,Town of Melfa,001,Accomack County,0.10,01-1111 Virginia Ave,01-1106 Lee St,250,R,,,,,,,X,,,,,,08/02/2005,,,,,,,,,,,,,,,
700646,  01,01101,     ,01-1101,Railroad Ave,258,Town of Melfa,001,Accomack County,0.08,01-1106 Lee St,01-626 Main St,260,R,,,,,,,X,,,,,,08/02/2005,,,,,,,,,,,,,,,
700647,  01,01101,     ,01-1101,Railroad Ave,258,Town of Melfa,001,Accomack County,0.17,01-626 Main St,01-1107 Myrtle Ave,230,R,,,,,,,X,,,,,,08/02/2005,,,,,,,,,,,,,,,
700648,  01,01102,     ,01-1102,Virginia Ave,258,Town of Melfa,001,Accomack County,0.05,01-1111 Virginia Ave,01-1106 Lee St,30,R,,,,,,,X,,,,,,08/02/2005,,,,,,,,,,,,,,,
700649,  01,01102,     ,01-1102,Virginia Ave,258,Town of Melfa,001,Accomack County,0.06,01-1106 Lee St,01-626 Main St; Airport Dr,150,R,,,,,,,X,,,,,,08/02/2005,,,,,,,,,,,,,,,
