Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of West Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
060241,  SR,00030,     ,VA 30,Main St,325,Town of West Point,050,King William County,2.19,WCL West Point,"SR 33, 14th St",3900,G,77%,1%,1%,4%,17%,0%,C,0.0906,F,0.5770,3900,G,2008,,,,,,,,,,,,,,,
060233,  SR,00030,     ,"VA 30, VA 33",14th St,325,Town of West Point,050,King William County,0.25,SR 33 Main St,New Kent County Line,17000,G,84%,2%,1%,2%,11%,0%,F,,,,18000,G,2008,,,,,,,,,,,,,,,
060233,  SR,00033,     ,"VA 30, VA 33",14th St,325,Town of West Point,050,King William County,0.25,King William County Line,SR 30 Main St,17000,G,84%,2%,1%,2%,11%,0%,F,,,,18000,G,2008,,,,,,,,,,,,,,,
060126,  SR,00033,     ,VA 33,14th St,325,Town of West Point,050,King William County,0.48,SR 30 Main St,King & Queen County Line,16000,G,91%,1%,1%,2%,5%,0%,F,,,,17000,G,2008,,,,,,,,,,,,,,,
060017,  SR,00296,     ,VA 296,Kirby St,325,Town of West Point,050,King William County,0.22,"SR 30, SR 33","50-1107; 50-1126, 10th St",720,G,94%,0%,1%,2%,2%,0%,C,0.1039,F,0.5375,780,G,2008,,,,,,,,,,,,,,,
060018,  SR,00296,     ,VA 296,10th St,325,Town of West Point,050,King William County,0.17,50-1107 Kirby St; 50-1126,SR 298 Lee St,270,G,94%,0%,1%,2%,2%,0%,F,0.1211,F,0.5802,300,G,2008,,,,,,,,,,,,,,,
060242,  SR,00298,     ,VA 298,5th St,325,Town of West Point,050,King William County,0.24,Dead End,50-1109 Lee St; 50-1128,80,G,98%,1%,1%,0%,0%,0%,F,0.1695,F,0.5667,80,G,2008,,,,,,,,,,,,,,,
060237,  SR,00298,     ,VA 298,Lee St,325,Town of West Point,050,King William County,0.29,"50-1109; 50-1128, 5th St","SR 296, 10th St",1300,G,98%,1%,1%,0%,0%,0%,C,0.1040,F,0.5646,1400,G,2008,,,,,,,,,,,,,,,
060236,  SR,00298,     ,VA 298,Lee St,325,Town of West Point,050,King William County,0.22,SR 296 10th St,SR 33 14th St,1700,G,98%,1%,1%,0%,0%,0%,F,0.1041,F,0.5538,1900,G,2008,,,,,,,,,,,,,,,
748466,  50,00636,     ,50-636,VFW Rd,325,Town of West Point,050,King William County,0.19,50-702,NCL West Point,450,R,,,,,,,X,,,,,,03/28/2007,,,,,,,,,,,,,,,
