Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
170038,  SR,00006,     ,VA 6,Saint James St,200,Town of Columbia,032,Fluvanna County,0.64,WCL Columbia,"Goochland County Line, ECL Columbia",1900,N,93%,1%,2%,2%,3%,0%,N,0.0971,N,0.5000,2000,N,2008,,,,,,,,,,,,,,,
738027,  32,00667,     ,32-667,Old Columbia Rd,200,Town of Columbia,032,Fluvanna County,0.05,SR 6; 32-690,32-1101; 32-1108,340,R,,,,,,,X,,,,,,06/08/2005,,,,,,,,,,,,,,,
738028,  32,00667,     ,32-667,Old Columbia Rd,200,Town of Columbia,032,Fluvanna County,0.15,32-1101; 32-1108,Goochland County Line,400,R,,,,,,,X,,,,,,06/08/2005,,,,,,,,,,,,,,,
302466,  32,00690,     ,32-690,Columbia Rd,200,Town of Columbia,032,Fluvanna County,0.20,Cumberland County Line,SR 6; 32-667,560,F,96%,1%,0%,1%,2%,0%,C,0.1002,F,0.6825,600,F,2008,,,,,,,,,,,,,,,
738115,  32,01101,     ,32-1101,Cameron St,200,Town of Columbia,032,Fluvanna County,0.15,32-667; 32-1108,32-1104 Washington St; Gap,50,R,,,,,,,X,,,,,,06/08/2005,,,,,,,,,,,,,,,
738116,  32,01101,     ,32-1101,Tammany St,200,Town of Columbia,032,Fluvanna County,0.06,32-1109 Tammany St; Gap,32-1103 Rivanna St,20,R,,,,,,,X,,,,,,06/24/2008,,,,,,,,,,,,,,,
738117,  32,01102,     ,32-1102,Fayette St,200,Town of Columbia,032,Fluvanna County,0.06,32-1106 Andrew St,32-1103 Rivanna St,6,R,,,,,,,X,,,,,,06/24/2008,,,,,,,,,,,,,,,
738118,  32,01102,     ,32-1102,Fayette St,200,Town of Columbia,032,Fluvanna County,0.06,32-1103 Rivanna St,32-659 NCL Columbia,20,R,,,,,,,X,,,,,,06/24/2008,,,,,,,,,,,,,,,
738119,  32,01102,     ,32-1102,Fayette St,200,Town of Columbia,032,Fluvanna County,0.20,32-659 NCL Columbia,"32-1105, K St",40,R,,,,,,,X,,,,,,06/24/2008,,,,,,,,,,,,,,,
738120,  32,01102,     ,32-1102,Fayette St,200,Town of Columbia,032,Fluvanna County,0.05,"32-1105, K St",32-1104 Washington St,60,R,,,,,,,X,,,,,,06/24/2008,,,,,,,,,,,,,,,
738121,  32,01102,     ,32-1102,Fayette St,200,Town of Columbia,032,Fluvanna County,0.11,32-1104 Washington St,32-1108 Saint Patrick St,30,R,,,,,,,X,,,,,,06/24/2008,,,,,,,,,,,,,,,
738122,  32,01103,     ,32-1103,Rivanna St,200,Town of Columbia,032,Fluvanna County,0.09,SR 6 Saint James St,32-1101 Tammany St,20,R,,,,,,,X,,,,,,06/24/2008,,,,,,,,,,,,,,,
738123,  32,01103,     ,32-1103,Rivanna St,200,Town of Columbia,032,Fluvanna County,0.09,32-1101 Tammany St,32-1102 Fayette St,10,R,,,,,,,X,,,,,,06/24/2008,,,,,,,,,,,,,,,
738124,  32,01104,     ,32-1104,Washington St,200,Town of Columbia,032,Fluvanna County,0.05,SR 6 Saint James St,32-1101 Cameron St,170,R,,,,,,,X,,,,,,06/08/2005,,,,,,,,,,,,,,,
738125,  32,01104,     ,32-1104,Washington St,200,Town of Columbia,032,Fluvanna County,0.08,32-1101 Cameron St,32-1102 Fayette St,50,R,,,,,,,X,,,,,,06/08/2005,,,,,,,,,,,,,,,
738126,  32,01105,     ,32-1105,K St,200,Town of Columbia,032,Fluvanna County,0.07,Dead End,32-1102 Fayette St,20,R,,,,,,,X,,,,,,06/24/2008,,,,,,,,,,,,,,,
738127,  32,01106,     ,32-1106,Andrew St,200,Town of Columbia,032,Fluvanna County,0.16,SR 6 Saint James St,32-1102 Fayette St,10,R,,,,,,,X,,,,,,06/24/2008,,,,,,,,,,,,,,,
738128,  32,01107,     ,32-1107,Leigh St,200,Town of Columbia,032,Fluvanna County,0.10,Dead End,32-667; 37-667,90,R,,,,,,,X,,,,,,06/24/2008,,,,,,,,,,,,,,,
