Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Iron Gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
080278,  SR,00042,     ,"US 220, VA 42", ,241,Town of Iron Gate,003,Alleghany County,0.88,Alleghany County Line,CL Iron Gate,6400,F,92%,1%,1%,1%,6%,0%,F,0.0786,F,0.0000,6800,F,2008,,,,,,,,,,,,,,,
080278,  US,00220,     ,"US 220, VA 42", ,241,Town of Iron Gate,003,Alleghany County,0.88,Alleghany County Line,SCL Iron Gate,6400,F,92%,1%,1%,1%,6%,0%,F,0.0786,F,0.0000,6800,F,2008,,,,,,,,,,,,,,,
702465,  03,00701,     ,03-701,Earnest Ave,241,Town of Iron Gate,003,Alleghany County,0.34,WCL Irongate,US 220,980,R,,,,,,,X,,,,,,04/07/2005,,,,,,,,,,,,,,,
702690,  03,01701,     ,03-1701,Earnest Ave,241,Town of Iron Gate,003,Alleghany County,0.05,03-1706 Commerce Ave,03-1711 Railroad Ave,120,R,,,,,,,X,,,,,,07/22/2008,,,,,,,,,,,,,,,
702691,  03,01702,     ,03-1702,Fourth St,241,Town of Iron Gate,003,Alleghany County,0.06,03-1708 Seventh St,US 220,47,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
702692,  03,01702,     ,03-1702,Fourth St,241,Town of Iron Gate,003,Alleghany County,0.06,US 220,03-1706 Commerce Ave,100,R,,,,,,,X,,,,,,07/22/2008,,,,,,,,,,,,,,,
702693,  03,01702,     ,03-1702,Fourth St,241,Town of Iron Gate,003,Alleghany County,0.05,03-1706 Commerce St,03-1711 Railroad Ave,130,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
702694,  03,01703,     ,03-1703,Fifth St,241,Town of Iron Gate,003,Alleghany County,0.05,03-1708 Chaylbeate; Riverview,US 220,80,R,,,,,,,X,,,,,,07/24/2008,,,,,,,,,,,,,,,
702695,  03,01703,     ,03-1703,Fifth St,241,Town of Iron Gate,003,Alleghany County,0.06,US 220,03-1706 Commerce Ave,230,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
702696,  03,01703,     ,03-1703,Fifth St,241,Town of Iron Gate,003,Alleghany County,0.05,03-1706 Commerce Ave,03-1711 Railroad Ave,120,R,,,,,,,X,,,,,,07/22/2008,,,,,,,,,,,,,,,
702697,  03,01704,     ,03-1704,Ninth St,241,Town of Iron Gate,003,Alleghany County,0.06,Dead End,US 220,80,R,,,,,,,X,,,,,,07/24/2008,,,,,,,,,,,,,,,
