Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Louisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
070313,  SR,00022,     ,"US 33, VA 22",West Main St,254,Town of Louisa,054,Louisa County,1.08,WCL Louisa,SR 208 LOUISA C H,6700,G,95%,1%,2%,1%,2%,0%,F,0.0833,F,0.5517,7200,G,2008,,,,,,,,,,,,,,,
070306,  SR,00022,     ,"US 33, VA 22, VA 208",West Main St,254,Town of Louisa,054,Louisa County,0.40,SR 208 LOUISA C H,E US 33,16000,G,97%,1%,1%,0%,1%,0%,F,0.0813,F,0.5057,18000,G,2008,,,,,,,,,,,,,,,
070301,  SR,00022,     ,"VA 22, VA 208",Louisa Rd,254,Town of Louisa,054,Louisa County,0.33,E US 33,ECL Louisa,11000,G,96%,1%,1%,0%,2%,0%,C,0.0923,F,0.5387,12000,G,2008,,,,,,,,,,,,,,,
070313,  US,00033,     ,"US 33, VA 22",West Main St,254,Town of Louisa,054,Louisa County,1.08,WCL Louisa,SR 208,6700,G,95%,1%,2%,1%,2%,0%,F,0.0833,F,0.5517,7200,G,2008,,,,,,,,,,,,,,,
070306,  US,00033,     ,"US 33, VA 22, VA 208",West Main St,254,Town of Louisa,054,Louisa County,0.40,SR 208,SR 22; SR 208 East of Louisa CH,16000,G,97%,1%,1%,0%,1%,0%,F,0.0813,F,0.5057,18000,G,2008,,,,,,,,,,,,,,,
070305,  US,00033,     ,US 33,Jefferson Hwy,254,Town of Louisa,054,Louisa County,0.97,SR 22; SR 208 Main St,ECL Louisa,4700,G,97%,1%,1%,0%,1%,0%,C,0.0927,F,0.5497,5100,G,2008,,,,,,,,,,,,,,,
070306,  SR,00208,     ,"US 33, VA 22, VA 208",West Main St,254,Town of Louisa,054,Louisa County,0.40,"SR 22, US 33 Louisa C H",US 33 EAST OF LOUISA C H,16000,G,97%,1%,1%,0%,1%,0%,F,0.0813,F,0.5057,18000,G,2008,,,,,,,,,,,,,,,
070301,  SR,00208,     ,"VA 22, VA 208",Louisa Rd,254,Town of Louisa,054,Louisa County,0.33,US 33 EAST OF LOUISA C H,CL Louisa,11000,G,96%,1%,1%,0%,2%,0%,C,0.0923,F,0.5387,12000,G,2008,,,,,,,,,,,,,,,
070109, OSR,00208,     ,Old VA 208,Courthouse Rd,254,Town of Louisa,054,Louisa County,0.40,SCL Louisa,"SR 22, US 33 Louisa C H",4700,N,93%,1%,1%,1%,4%,0%,N,0.0932,N,0.5193,5100,N,2008,,,,,,,,,,,,,,,
