Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Gate City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
642013,  US,00023,     ,"US 23, US 58, US 421", ,221,Town of Gate City,084,Scott County,0.61,SCL Gate City,Bus US 23 East of Gate City,31000,N,92%,0%,1%,1%,6%,0%,N,0.0807,N,0.5298,32000,N,2008,,,,,,,,,,,,,,,
010163,  US,00023,     ,"US 23, US 58, US 421", ,221,Town of Gate City,084,Scott County,0.16,Bus US 23 East of Gate City,NCL Gate City,12000,A,92%,0%,1%,1%,6%,0%,C,0.0998,A,0.0000,12000,A,2008,,,,,,,,,,,,,,,
010166,  US,00023,     ,"US 23, US 58, US 421", ,221,Town of Gate City,084,Scott County,0.36,SCL Gate City,NCL Gate City,12000,N,92%,0%,1%,1%,6%,0%,N,0.0998,N,0.0000,12000,N,2008,,,,,,,,,,,,,,,
642029,C1US,00023,     ,"Bus US 23, Bus US 58, Bus US 421", ,221,Town of Gate City,084,Scott County,0.23,US 23 South of Gate City,84-836 Jones St,18000,G,99%,0%,1%,0%,0%,0%,F,0.0884,F,0.5277,20000,G,2008,,,,,,,,,,,,,,,
642006,C1US,00023,     ,"Bus US 23, Bus US 58, Bus US 421", ,221,Town of Gate City,084,Scott County,0.47,84-836 Jones St,SR 71,11000,G,99%,0%,1%,0%,0%,0%,C,0.0876,F,0.5641,12000,G,2008,,,,,,,,,,,,,,,
642007,C1US,00023,     ,"Bus US 23, Bus US 58, Bus US 421",W Jackson St,221,Town of Gate City,084,Scott County,0.12,SR 71,84-665 Manville Rd; Muncipal Rd,7800,G,99%,0%,1%,0%,0%,0%,F,0.0860,F,0.5720,8400,G,2008,,,,,,,,,,,,,,,
642008,C1US,00023,     ,"Bus US 23, Bus US 58, Bus US 421",W Jackson St,221,Town of Gate City,084,Scott County,0.15,84-665 Manville Rd; Muncipal,84-763 Fir St,5700,G,99%,0%,1%,0%,0%,0%,F,0.0865,F,0.5506,6200,G,2008,,,,,,,,,,,,,,,
642027,C1US,00023,     ,"Bus US 23, Bus US 58, Bus US 421",Daniel Boone Rd,221,Town of Gate City,084,Scott County,0.84,84-763 Fir St,84-762 Starnes St,4000,G,99%,0%,1%,0%,0%,0%,F,0.0859,F,0.5688,4400,G,2008,,,,,,,,,,,,,,,
642026,C1US,00023,     ,"Bus US 23, Bus US 58, Bus US 421",Daniel Boone Rd,221,Town of Gate City,084,Scott County,0.80,84-762 Starnes St,WCL Gate City,3100,G,97%,0%,1%,0%,1%,0%,C,0.0903,F,0.5325,3300,G,2008,,,,,,,,,,,,,,,
