Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Dayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
785303,  SR,00042,     ,"VA 42, VA 257",John Wayland Hwy,206,Town of Dayton,082,Rockingham County,0.42,SCL Dayton,BUS SR 42,16000,N,96%,0%,1%,1%,2%,0%,N,0.0833,N,0.5611,17000,N,2008,,,,,,,,,,,,,,,
080264,  SR,00042,     ,VA 42,John Wayland Hwy,206,Town of Dayton,082,Rockingham County,0.45,BUS SR 42,NCL Dayton,16000,B,98%,0%,1%,1%,1%,0%,C,0.1051,A,0.0000,17000,B,2008,,,,,,,,,,,,,,,
080455,C1SR,00042,     ,Bus VA 42,Main St,206,Town of Dayton,082,Rockingham County,0.12,SR 257,S SR 290 Huffman Dr,2300,G,99%,0%,1%,0%,0%,0%,F,0.1038,F,0.6468,2400,G,2008,,,,,,,,,,,,,,,
080454,C1SR,00042,     ,"Bus VA 42, VA 290",Main St,206,Town of Dayton,082,Rockingham County,0.07,S SR 290 Huffman Dr,N SR 290 College St,4200,G,99%,0%,1%,0%,0%,0%,F,0.0948,F,0.5067,4400,G,2008,,,,,,,,,,,,,,,
080453,C1SR,00042,     ,Bus VA 42,Main St,206,Town of Dayton,082,Rockingham County,0.60,N SR 290,NCL Dayton,1500,G,99%,0%,1%,0%,0%,0%,C,0.0920,F,0.6972,1500,G,2008,,,,,,,,,,,,,,,
080093,  SR,00257,     ,VA 257,Ottobine Rd,206,Town of Dayton,082,Rockingham County,0.42,WCL Dayton,W SR 42 Bus,3900,N,95%,1%,2%,1%,1%,0%,N,0.0980,N,0.7553,4100,N,2008,,,,,,,,,,,,,,,
785303,  SR,00257,     ,"VA 42, VA 257",John Wayland Hwy,206,Town of Dayton,082,Rockingham County,0.42,E RT 42 BUS,CL Dayton,16000,N,96%,0%,1%,1%,2%,0%,N,0.0833,N,0.5611,17000,N,2008,,,,,,,,,,,,,,,
080476,  SR,00290,     ,VA 290,College St,206,Town of Dayton,082,Rockingham County,0.15,ECL Dayton,SR 42,8800,G,94%,1%,1%,1%,4%,0%,C,0.0970,F,0.5347,9100,G,2008,,,,,,,,,,,,,,,
080475,  SR,00290,     ,VA 290,College St,206,Town of Dayton,082,Rockingham County,0.06,SR 42,S SR 42 Bus,2700,G,96%,2%,1%,0%,1%,0%,F,0.1082,F,0.5159,2700,G,2008,,,,,,,,,,,,,,,
