ReportID:,2210,DataYear:,2009,,ReportID:,2210,DataYear:,2009,,ReportID:,2210,DataYear:,2009,,ReportID:,2210,DataYear:,2009,,ReportID:,2210,DataYear:,2009,,ReportID:,2210,DataYear:,2009,Prepared,7/11/2010
Daily Vehicle Miles Traveled (DVMT) by Maintenance Jurisdiction by Federal Functional Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Public Road Segments Maintained by the Commonwealth of Virginia (VDOT), Virginia Local Jurisdictions, the Federal Government or Local Toll Authorities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> > > > This report includes road segments maintained by VDOT, but outside of Virginia so it is not expected to match Virginia Public Road reports from sources such as FHWA or DMV < < < < ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Using Distance Measured Along North and East Bound Direction of Separated Inventoried Highways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Secondary,,,,,,Primary,,,,,,Interstate,,,,,,All Roads,,,
,,,,,,,,,,,,,%,%,,,,,%,%,,,,,%,%,,,,%
,,,,,,,,,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,,of
,,,,,,,,,,of,of,,Secondary,State,,of,of,,Primary,State,,of,of,,Interstate,State,,of,,State
,,,,Federal,,,,,,Secondary,State,Road,Total,Total,,Primary,State,Road,Total,Total,,Interstate,State,Road,Total,Total,,State,Road,Total
,,,,Functional,,,,,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Length,Road
,,Jurisdiction,,Class,,,,,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,(Miles),Length
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bristol District,010,Bland County,1,Rural Principal Arterial - Interstate,,,              ,0,0.00%,0.00%,0.00,0.00%,0.00%,0,0.00%,0.00%,0.00,0.00%,0.00%,571,853,0.87%,0.26%,21.69,1.94%,0.03%,571,853,0.26%,21.69,0.03%
1,Bristol District,010,Bland County,6,Rural Minor Arterial,,,              ,0,0.00%,0.00%,0.00,0.00%,0.00%,31,239,0.03%,0.01%,14.24,0.14%,0.02%,0,0.00%,0.00%,0.00,0.00%,0.00%,31,239,0.01%,14.24,0.02%
1,Bristol District,010,Bland County,7,Rural Major Collector,,,              ,12,108,0.02%,0.01%,15.70,0.02%,0.02%,39,169,0.04%,0.02%,63.45,0.64%,0.09%,0,0.00%,0.00%,0.00,0.00%,0.00%,51,277,0.02%,79.15,0.11%
1,Bristol District,010,Bland County,9,Rural Local System,,,              ,50,785,0.08%,0.02%,193.51,0.31%,0.26%,1,112,0.00%,0.00%,2.11,0.02%,0.00%,0,0.00%,0.00%,0.00,0.00%,0.00%,51,897,0.02%,195.62,0.26%
1,Bristol District,010,Bland County Total:,,,,,,62,892,0.10%,0.03%,209.21,0.33%,0.28%,71,521,0.08%,0.03%,79.80,0.80%,0.11%,571,853,0.87%,0.26%,21.69,1.94%,0.03%,706,267,0.32%,310.70,0.42%
1,Bristol District,013,Buchanan County,2,Rural Principal Arterial - Other,,,              ,3,847,0.01%,0.00%,0.62,0.00%,0.00%,276,642,0.30%,0.12%,34.78,0.35%,0.05%,0,0.00%,0.00%,0.00,0.00%,0.00%,280,489,0.13%,35.40,0.05%
1,Bristol District,013,Buchanan County,6,Rural Minor Arterial,,,              ,0,0.00%,0.00%,0.00,0.00%,0.00%,56,206,0.06%,0.03%,20.30,0.20%,0.03%,0,0.00%,0.00%,0.00,0.00%,0.00%,56,206,0.03%,20.30,0.03%
1,Bristol District,013,Buchanan County,7,Rural Major Collector,,,              ,150,899,0.23%,0.07%,118.70,0.19%,0.16%,52,739,0.06%,0.02%,17.40,0.17%,0.02%,0,0.00%,0.00%,0.00,0.00%,0.00%,203,637,0.09%,136.10,0.18%
1,Bristol District,013,Buchanan County,8,Rural Minor Collector,,,              ,3,579,0.01%,0.00%,9.64,0.02%,0.01%,0,0.00%,0.00%,0.00,0.00%,0.00%,0,0.00%,0.00%,0.00,0.00%,0.00%,3,579,0.00%,9.64,0.01%
1,Bristol District,013,Buchanan County,9,Rural Local System,,,              ,129,833,0.20%,0.06%,333.86,0.53%,0.45%,179,0.00%,0.00%,0.34,0.00%,0.00%,0,0.00%,0.00%,0.00,0.00%,0.00%,130,012,0.06%,334.20,0.45%
