ReportID:,2200,DataYear:,2009,,ReportID:,2200,DataYear:,2009,,ReportID:,2200,DataYear:,2009,,ReportID:,2200,DataYear:,2009,,ReportID:,2200,DataYear:,2009,,ReportID:,2200,DataYear:,2009,Prepared,7/11/2010
Daily Vehicle Miles Traveled (DVMT) by Maintenance Jurisdiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Public Road Segments Maintained by the Commonwealth of Virginia (VDOT), Virginia Local Jurisdictions, the Federal Government or Local Toll Authorities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> > > > This report includes road segments maintained by VDOT, but outside of Virginia so it is not expected to match Virginia Public Road reports from sources such as FHWA or DMV < < < < ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Using Distance Measured Along North and East Bound Direction of Separated Inventoried Highways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Secondary,,,,,,Primary,,,,,,Interstate,,,,,,All Roads,,,
,,,,,,,,,,,,,%,%,,,,,%,%,,,,,%,%,,,,%
,,,,,,,,,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,,of
,,,,,,,,,,of,of,,Secondary,State,,of,of,,Primary,State,,of,of,,Interstate,State,,of,,State
,,,,,,,,,,Secondary,State,Road,Total,Total,,Primary,State,Road,Total,Total,,Interstate,State,Road,Total,Total,,State,Road,Total
,,,,,,,,,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Length,Road
,,Jurisdiction,,,,,,,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,(Miles),Length
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bristol District,010,Bland County,,,,,              ,62,892,0.10%,0.03%,209.21,0.33%,0.28%,71,521,0.08%,0.03%,79.80,0.80%,0.11%,571,853,0.87%,0.26%,21.69,1.94%,0.03%,706,267,0.32%,310.70,0.42%
1,Bristol District,013,Buchanan County,,,,,              ,288,157,0.45%,0.13%,462.82,0.73%,0.62%,385,766,0.42%,0.17%,72.82,0.73%,0.10%,0,0.00%,0.00%,0.00,0.00%,0.00%,673,923,0.30%,535.64,0.72%
1,Bristol District,025,Dickenson County,,,,,              ,135,310,0.21%,0.06%,405.84,0.64%,0.55%,223,729,0.24%,0.10%,81.65,0.82%,0.11%,0,0.00%,0.00%,0.00,0.00%,0.00%,359,038,0.16%,487.49,0.66%
1,Bristol District,038,Grayson County,,,,,              ,114,961,0.18%,0.05%,659.83,1.05%,0.89%,231,729,0.25%,0.10%,109.95,1.10%,0.15%,0,0.00%,0.00%,0.00,0.00%,0.00%,346,690,0.16%,769.78,1.04%
1,Bristol District,052,Lee County,,,,,              ,142,506,0.22%,0.06%,576.69,0.91%,0.78%,428,191,0.47%,0.19%,111.00,1.11%,0.15%,0,0.00%,0.00%,0.00,0.00%,0.00%,570,697,0.26%,687.69,0.93%
1,Bristol District,083,Russell County,,,,,              ,188,304,0.29%,0.08%,593.05,0.94%,0.80%,638,775,0.70%,0.29%,106.29,1.06%,0.14%,0,0.00%,0.00%,0.00,0.00%,0.00%,827,079,0.37%,699.34,0.94%
1,Bristol District,084,Scott County,,,,,              ,195,332,0.30%,0.09%,697.30,1.11%,0.94%,559,473,0.61%,0.25%,119.90,1.20%,0.16%,0,0.00%,0.00%,0.00,0.00%,0.00%,754,805,0.34%,817.20,1.10%
1,Bristol District,086,Smyth County,,,,,              ,214,151,0.33%,0.10%,448.01,0.71%,0.60%,206,551,0.23%,0.09%,94.01,0.94%,0.13%,606,558,0.92%,0.27%,23.36,2.09%,0.03%,1,027,260,0.46%,565.38,0.76%
1,Bristol District,092,Tazewell County,,,,,              ,202,210,0.31%,0.09%,473.45,0.75%,0.64%,761,250,0.83%,0.34%,132.33,1.32%,0.18%,0,0.00%,0.00%,0.00,0.00%,0.00%,963,460,0.43%,605.78,0.82%
1,Bristol District,095,Washington County,,,,,              ,393,070,0.61%,0.18%,759.76,1.21%,1.02%,479,941,0.53%,0.22%,125.35,1.25%,0.17%,1,293,546,1.97%,0.58%,35.69,3.19%,0.05%,2,166,557,0.98%,920.80,1.24%
1,Bristol District,097,Wise County,,,,,              ,279,184,0.43%,0.13%,400.88,0.64%,0.54%,851,023,0.93%,0.38%,117.88,1.18%,0.16%,0,0.00%,0.00%,0.00,0.00%,0.00%,1,130,207,0.51%,518.76,0.70%
1,Bristol District,098,Wythe County,,,,,              ,161,402,0.25%,0.07%,463.20,0.73%,0.62%,266,523,0.29%,0.12%,98.56,0.99%,0.13%,1,384,632,2.11%,0.62%,44.34,3.96%,0.06%,1,812,557,0.82%,606.10,0.82%
1,Bristol District,140,Town of Abingdon,,,,,              ,43,084,0.07%,0.02%,46.01,0.07%,0.06%,118,767,0.13%,0.05%,8.78,0.09%,0.01%,0,0.00%,0.00%,0.00,0.00%,0.00%,161,851,0.07%,54.79,0.07%
