ReportID:,1230,DataYear:,2009,,ReportID:,1230,DataYear:,2009,,ReportID:,1230,DataYear:,2009,,ReportID:,1230,DataYear:,2009,,ReportID:,1230,DataYear:,2009,,ReportID:,1230,DataYear:,2009,Prepared,7/11/2010
Daily Vehicle Miles Traveled (DVMT) by Physical Jurisdiction by Federal Functional Class by FHWA Vehicle Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Road Segments within the Commonwealth of Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Using Distance Measured Along North and East Bound Direction of Separated Inventoried Highways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Secondary,,,,,,Primary,,,,,,Interstate,,,,,,All Roads,,,
,,,,,,,,,,,,,%,%,,,,,%,%,,,,,%,%,,,,%
,,,,,,,,,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,,of
,,,,,,,,,,of,of,,Secondary,State,,of,of,,Primary,State,,of,of,,Interstate,State,,of,,State
,,,,Federal,,Federal,,,,Secondary,State,Road,Total,Total,,Primary,State,Road,Total,Total,,Interstate,State,Road,Total,Total,,State,Road,Total
,,,,Functional,,Vehicle,,,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Length,Road
,,Jurisdiction,,Class,,Class,,,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,(Miles),Length
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,001,Accomack County,2,Rural Principal Arterial - Other,01,Motorcycles,              ,0,0.00%,0.00%,0.00,0.00%,0.00%,2,319,0.00%,0.00%,33.49,0.34%,0.05%,0,0.00%,0.00%,0.00,0.00%,0.00%,2,319,0.00%,33.49,0.05%
 ,,001,Accomack County,2,Rural Principal Arterial - Other,02,Passenger Cars,              ,0,0.00%,0.00%,0.00,0.00%,0.00%,461,599,0.51%,0.21%,33.49,0.34%,0.05%,0,0.00%,0.00%,0.00,0.00%,0.00%,461,599,0.21%,33.49,0.05%
 ,,001,Accomack County,2,Rural Principal Arterial - Other,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,0,0.00%,0.00%,0.00,0.00%,0.00%,130,744,0.14%,0.06%,33.49,0.34%,0.05%,0,0.00%,0.00%,0.00,0.00%,0.00%,130,744,0.06%,33.49,0.05%
 ,,001,Accomack County,2,Rural Principal Arterial - Other,04,Busses,              ,0,0.00%,0.00%,0.00,0.00%,0.00%,4,635,0.01%,0.00%,33.49,0.34%,0.05%,0,0.00%,0.00%,0.00,0.00%,0.00%,4,635,0.00%,33.49,0.05%
 ,,001,Accomack County,2,Rural Principal Arterial - Other,05,"Two Axle, 6 Tire Single Unit Trucks",              ,0,0.00%,0.00%,0.00,0.00%,0.00%,5,405,0.01%,0.00%,33.49,0.34%,0.05%,0,0.00%,0.00%,0.00,0.00%,0.00%,5,405,0.00%,33.49,0.05%
 ,,001,Accomack County,2,Rural Principal Arterial - Other,06,Three Axle Single Unit Trucks,              ,0,0.00%,0.00%,0.00,0.00%,0.00%,3,218,0.00%,0.00%,33.49,0.34%,0.05%,0,0.00%,0.00%,0.00,0.00%,0.00%,3,218,0.00%,33.49,0.05%
 ,,001,Accomack County,2,Rural Principal Arterial - Other,07,Four or More Axle Single Unit Trucks,              ,0,0.00%,0.00%,0.00,0.00%,0.00%,240,0.00%,0.00%,33.49,0.34%,0.05%,0,0.00%,0.00%,0.00,0.00%,0.00%,240,0.00%,33.49,0.05%
 ,,001,Accomack County,2,Rural Principal Arterial - Other,08,Four Axle or Fewer Single Trailers,              ,0,0.00%,0.00%,0.00,0.00%,0.00%,2,174,0.00%,0.00%,33.49,0.34%,0.05%,0,0.00%,0.00%,0.00,0.00%,0.00%,2,174,0.00%,33.49,0.05%
 ,,001,Accomack County,2,Rural Principal Arterial - Other,09,Five Axle Single Trailers,              ,0,0.00%,0.00%,0.00,0.00%,0.00%,25,474,0.03%,0.01%,33.49,0.34%,0.05%,0,0.00%,0.00%,0.00,0.00%,0.00%,25,474,0.01%,33.49,0.05%
 ,,001,Accomack County,2,Rural Principal Arterial - Other,10,Six or More Axle Single Trailers,              ,0,0.00%,0.00%,0.00,0.00%,0.00%,228,0.00%,0.00%,33.49,0.34%,0.05%,0,0.00%,0.00%,0.00,0.00%,0.00%,228,0.00%,33.49,0.05%
