Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Painter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
050089,  US,00013,     ,US 13,Lankford Hwy,276,Town of Painter,001,Accomack County,0.43,SCL Painter,01-614 Hickman St,18000,N,93%,1%,1%,1%,4%,0%,N,0.0765,N,0.0000,17000,N,2009,,,,,,,,,,,,,,,
050086,  US,00013,     ,US 13,Lankford Hwy,276,Town of Painter,001,Accomack County,0.46,01-614 Wayside Dr,NCL Painter,17000,G,93%,1%,1%,1%,4%,0%,F,0.0752,F,0.0000,16000,G,2009,,,,,,,,,,,,,,,
050229,  SR,00182,     ,VA 182,Mappsburg Rd,276,Town of Painter,001,Accomack County,0.65,US 13 Lankford Hwy,ECL Painter,1500,G,98%,0%,1%,1%,0%,0%,F,0.1138,F,0.7493,1600,G,2009,,,,,,,,,,,,,,,
785029,  01,00608,     ,01-608,Mappsburg Rd,276,Town of Painter,001,Accomack County,0.54,SCL Painter,SR 182 Edmund St,310,N,,,,,,,X,,,,0,N,09/07/2005,,,,,,,,,,,,,,,
785032,  01,00614,     ,01-614,Wayside Dr,276,Town of Painter,001,Accomack County,0.24,WCL Painter,01-619 Hickman St; 01-1204 Cosby St,860,N,,,,,,,X,,,,0,N,02/05/2008,,,,,,,,,,,,,,,
700142,  01,00614,     ,01-614,Hickman St,276,Town of Painter,001,Accomack County,0.02,01-619; Wayside Dr; 01-1204 Cosby St,US 13 Lankford Hwy,1800,R,,,,,,,X,,,,,,09/22/2005,,,,,,,,,,,,,,,
700151,  01,00619,     ,01-619,Hickman St,276,Town of Painter,001,Accomack County,0.62,01-614; 01-1204 Cosby St,01-620 NCL Painter,360,R,,,,,,,X,,,,,,09/21/2005,,,,,,,,,,,,,,,
785033,  01,00620,     ,01-620,Front St,276,Town of Painter,001,Accomack County,0.14,WCL Painter,01-619 Boggs Rd; Hickman St; NCL Painter,440,N,,,,,,,X,,,,0,N,09/14/2005,,,,,,,,,,,,,,,
700682,  01,01201,     ,01-1201,Grant St,276,Town of Painter,001,Accomack County,0.24,01-1203 Main St,01-1206 Savage St,120,R,,,,,,,X,,,,,,09/07/2005,,,,,,,,,,,,,,,
700683,  01,01202,     ,01-1202,Alexine St,276,Town of Painter,001,Accomack County,0.29,01-1203 Main St,ECL Painter,50,R,,,,,,,X,,,,,,09/08/2005,,,,,,,,,,,,,,,
700684,  01,01203,     ,01-1203,Main St,276,Town of Painter,001,Accomack County,0.08,01-608 Mappsburg Rd,01-1202 Alexine St,310,R,,,,,,,X,,,,,,09/08/2005,,,,,,,,,,,,,,,
