Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Nickelsville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
010101,  SR,00071,     ,VA 71, ,271,Town of Nickelsville,084,Scott County,0.54,WCL Nickelsville,84-682 W,2800,N,95%,0%,1%,0%,3%,0%,N,0.0910,N,0.5856,2900,N,2009,,,,,,,,,,,,,,,
010098,  SR,00071,     ,VA 71,Nicklesville Rd,271,Town of Nickelsville,084,Scott County,0.31,84-682 W,ECL Nickelsville,3500,F,95%,0%,1%,0%,3%,0%,F,0.0878,F,0.5044,3600,F,2009,,,,,,,,,,,,,,,
402478,  84,00680,     ,84-680,Twin Springs Rd,271,Town of Nickelsville,084,Scott County,0.08,WCL Nickelsville,SR 71,1000,F,96%,2%,1%,1%,0%,0%,F,0.1377,F,0.5615,1000,F,2009,,,,,,,,,,,,,,,
769867,  84,00682,     ,84-682, ,271,Town of Nickelsville,084,Scott County,0.35,SCL Nickelsville,SR 71 EAST,310,R,,,,,,,X,,,,,,12/16/2003,,,,,,,,,,,,,,,
769868,  84,00682,     ,84-682, ,271,Town of Nickelsville,084,Scott County,0.42,SR 71 WEST,NCL Nickelsville,920,R,,,,,,,X,,,,,,12/16/2003,,,,,,,,,,,,,,,
769975,  84,00734,     ,84-734,Meade Ave,271,Town of Nickelsville,084,Scott County,0.12,Dead End,SR 71,70,R,,,,,,,X,,,,,,10/31/2007,,,,,,,,,,,,,,,
770313,  84,01201,     ,84-1201,Castle St,271,Town of Nickelsville,084,Scott County,0.06,84-1202 Second St,SR 71,60,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
770314,  84,01202,     ,84-1202,Castle St,271,Town of Nickelsville,084,Scott County,0.02,84-1203 Henderson St,84-1201 Castle St,30,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
770315,  84,01203,     ,84-1203,Castle St,271,Town of Nickelsville,084,Scott County,0.03,Dead End,84-1202 Second St,20,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
770316,  84,01204,     ,84-1204, ,271,Town of Nickelsville,084,Scott County,0.19,SR 71,Dead End,350,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
770317,  84,01205,     ,84-1205,Taylor St,271,Town of Nickelsville,084,Scott County,0.39,SR 71,Dead End,400,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
770318,  84,01206,     ,84-1206,Robinette St,271,Town of Nickelsville,084,Scott County,0.12,84-1205 Taylor St,Dead End,50,R,,,,,,,X,,,,,,10/15/2007,,,,,,,,,,,,,,,
