Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Independence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
010333,  US,00021,     ,, ,240,Town of Independence,038,Grayson County,0.47,SCL Independence,US 58 Main St,1900,N,92%,0%,1%,0%,6%,0%,N,0.0960,N,0.0000,2000,N,2009,,,,,,,,,,,,,,,
010071,  US,00021,     ,US 21, ,240,Town of Independence,038,Grayson County,1.64,US 58 Main St,NCL Independence,1900,A,96%,0%,1%,1%,2%,0%,C,0.1136,A,0.6590,2000,A,2009,,,,,,,,,,,,,,,
010473,  US,00058,     ,US 58,W Main St,240,Town of Independence,038,Grayson County,0.86,WCL Independence,US 21 Independence Ave,2500,N,90%,1%,2%,3%,5%,0%,N,0.0936,N,0.7043,2600,N,2009,,,,,,,,,,,,,,,
010154,  US,00058,     ,,E Main St,240,Town of Independence,038,Grayson County,1.20,US 21 Independence Ave,ECL Independence,7100,G,92%,1%,1%,1%,4%,0%,F,0.1099,F,0.6298,7500,G,2009,,,,,,,,,,,,,,,
010333,  US,00221,     ,, ,240,Town of Independence,038,Grayson County,0.47,CL Independence,US 58 INDEPENDENCE,1900,N,92%,0%,1%,0%,6%,0%,N,0.0960,N,0.0000,2000,N,2009,,,,,,,,,,,,,,,
010154,  US,00221,     ,,E Main St,240,Town of Independence,038,Grayson County,1.20,US 58 INDEPENDENCE,CL Independence,7100,G,92%,1%,1%,1%,4%,0%,F,0.1099,F,0.6298,7500,G,2009,,,,,,,,,,,,,,,
741939,  38,00684,     ,38-684,Elliott Place,240,Town of Independence,038,Grayson County,0.25,WCL Independence,US 21,320,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
741940,  38,00684,     ,38-684,Pinehurst St,240,Town of Independence,038,Grayson County,0.22,US 21,Dead End,160,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
741941,  38,00685,     ,38-685,Power House Rd,240,Town of Independence,038,Grayson County,0.74,"US 58, E Main St",38-1140,670,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
741942,  38,00685,     ,38-685,Power House Rd,240,Town of Independence,038,Grayson County,0.14,38-1140,ECL Independence,700,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
785113,  38,00702,     ,38-702, ,240,Town of Independence,038,Grayson County,0.56,SCL Independence,US 58 W Main St,460,N,,,,,,,X,,,,0,N,02/28/2006,,,,,,,,,,,,,,,
785114,  38,00802,     ,38-802, ,240,Town of Independence,038,Grayson County,0.63,SCL Independence,US 58 E Main St,220,N,,,,,,,X,,,,0,N,03/02/2006,,,,,,,,,,,,,,,
