ReportID:	2210	DataYear:	2012	(Wide)	ReportID:	2210	DataYear:	2012	(Wide)	ReportID:	2210	DataYear:	2012	(Wide)	ReportID:	2210	DataYear:	2012	(Wide)	ReportID:	2210	DataYear:	2012	(Wide)	ReportID:	2210	DataYear:	2012	(Wide)	ReportID:	2210	DataYear:	2012	(Wide)	ReportID:	2210	DataYear:	2012	(Wide)	ReportID:	2210	DataYear:	2012	(Wide)	ReportID:	2210	DataYear:	2012	(Wide)	ReportID:	2210	DataYear:	2012	(Wide)	ReportID:	2210	DataYear:	2012	Prepared	8/6/2013
Daily Vehicle Miles Traveled (DVMT) by Maintenance Jurisdiction by Federal Functional Class																																																												
Public Road Segments Maintained by the Commonwealth of Virginia (VDOT), Virginia Local Jurisdictions, the Federal Government or Local Toll Authorities																																																												
> > > > This report includes road segments maintained by VDOT, but outside of Virginia so it is not expected to match Virginia Public Road reports from sources such as FHWA or DMV < < < < 																																																												
Road Length values temporarilly not included in this report pending publication of official road length values																																																												
2012																																																												
																																																												
									VDOT Secondary						VDOT Primary						VDOT Interstate						County Secondary						Urban Secondary						Urban Primary						Other Secondary						Other Primary						All Roads			
													%	%					%	%					%	%					%	%					%	%					%	%					%	%					%	%				%
										%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%		of
										of	of		Secondary	State		of	of		Primary	State		of	of		Interstate	State		of	of		Secondary	State		of	of		Secondary	State		of	of		Primary	State		of	of		Secondary	State		of	of		Primary	State		of		State
				Federal						Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Interstate	State	Road	Total	Total		Secondary	State	Road	Total	Total		Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		State	Road	Total
				Functional						Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Length	Road
		Jurisdiction		Class					DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	(Miles)	Length
																																																												
1	Bristol District	010	Bland County	1	Rural Principal Arterial - Interstate			              													583,027	0.88%	0.26%																																		583,027	0.26%		
1	Bristol District	010	Bland County	6	Rural Minor Arterial			              							30,328	0.04%	0.01%																																								30,328	0.01%		
1	Bristol District	010	Bland County	7	Rural Major Collector			              	11,897	0.03%	0.01%				35,575	0.05%	0.02%																																								47,472	0.02%		
1	Bristol District	010	Bland County	9	Rural Local System			              	54,374	0.14%	0.02%				138	0.00%	0.00%																																								54,512	0.02%		
1	Bristol District	010	Bland County Total:						66,272	0.17%	0.03%				66,040	0.10%	0.03%				583,027	0.88%	0.26%																																		715,339	0.32%		
1	Bristol District	013	Buchanan County	2	Rural Principal Arterial - Other			              	3,603	0.01%	0.00%				243,944	0.35%	0.11%																																								247,547	0.11%		
1	Bristol District	013	Buchanan County	6	Rural Minor Arterial			              							51,032	0.07%	0.02%																																								51,032	0.02%		
1	Bristol District	013	Buchanan County	7	Rural Major Collector			              	129,218	0.34%	0.06%				47,722	0.07%	0.02%																																								176,939	0.08%		
1	Bristol District	013	Buchanan County	8	Rural Minor Collector			              	4,278	0.01%	0.00%																																														4,278	0.00%		
1	Bristol District	013	Buchanan County	9	Rural Local System			              	139,546	0.36%	0.06%				142	0.00%	0.00%																																								139,688	0.06%		
1	Bristol District	013	Buchanan County Total:						276,645	0.72%	0.13%				342,840	0.50%	0.16%																																								619,485	0.28%		
1	Bristol District	025	Dickenson County	6	Rural Minor Arterial			              							127,569	0.19%	0.06%																																								127,569	0.06%		
1	Bristol District	025	Dickenson County	7	Rural Major Collector			              	51,271	0.13%	0.02%				53,894	0.08%	0.02%																																								105,166	0.05%		
1	Bristol District	025	Dickenson County	8	Rural Minor Collector			              	3,078	0.01%	0.00%																																														3,078	0.00%		
1	Bristol District	025	Dickenson County	9	Rural Local System			              	78,872	0.21%	0.04%				700	0.00%	0.00%																																								79,572	0.04%		
1	Bristol District	025	Dickenson County Total:						133,221	0.35%	0.06%				182,163	0.26%	0.08%																																								315,384	0.14%		
1	Bristol District	038	Grayson County	6	Rural Minor Arterial			              							169,155	0.25%	0.08%																																								169,155	0.08%		
1	Bristol District	038	Grayson County	7	Rural Major Collector			              	42,703	0.11%	0.02%				14,423	0.02%	0.01%																																								57,126	0.03%		
1	Bristol District	038	Grayson County	8	Rural Minor Collector			              	5,820	0.02%	0.00%																																														5,820	0.00%		
1	Bristol District	038	Grayson County	9	Rural Local System			              	55,147	0.14%	0.02%				971	0.00%	0.00%																																								56,118	0.03%		
1	Bristol District	038	Grayson County	14	Urban Principal Arterial - Other			              							5,255	0.01%	0.00%																																								5,255	0.00%		
1	Bristol District	038	Grayson County	19	Urban Local System			              	31	0.00%	0.00%																																														31	0.00%		
1	Bristol District	038	Grayson County Total:						103,701	0.27%	0.05%				189,803	0.28%	0.09%																																								293,505	0.13%		
1	Bristol District	052	Lee County	2	Rural Principal Arterial - Other			              							38,002	0.06%	0.02%																																								38,002	0.02%		
1	Bristol District	052	Lee County	6	Rural Minor Arterial			              							370,297	0.54%	0.17%																																								370,297	0.17%		
1	Bristol District	052	Lee County	7	Rural Major Collector			              	45,496	0.12%	0.02%				19,719	0.03%	0.01%																																								65,215	0.03%		
1	Bristol District	052	Lee County	8	Rural Minor Collector			              	7,753	0.02%	0.00%																																														7,753	0.00%		
1	Bristol District	052	Lee County	9	Rural Local System			              	83,605	0.22%	0.04%																																														83,605	0.04%		
1	Bristol District	052	Lee County Total:						136,854	0.36%	0.06%				428,017	0.62%	0.19%																																								564,872	0.26%		
1	Bristol District	083	Russell County	2	Rural Principal Arterial - Other			              							437,538	0.64%	0.20%																																								437,538	0.20%		
1	Bristol District	083	Russell County	6	Rural Minor Arterial			              							93,930	0.14%	0.04%																																								93,930	0.04%		
1	Bristol District	083	Russell County	7	Rural Major Collector			              	66,358	0.17%	0.03%				74,993	0.11%	0.03%																																								141,351	0.06%		
1	Bristol District	083	Russell County	8	Rural Minor Collector			              	9,811	0.03%	0.00%																																														9,811	0.00%		
1	Bristol District	083	Russell County	9	Rural Local System			              	98,603	0.26%	0.04%																																														98,603	0.04%		
1	Bristol District	083	Russell County	17	Urban Collector			              							1,452	0.00%	0.00%																																								1,452	0.00%		
1	Bristol District	083	Russell County	19	Urban Local System			              	84	0.00%	0.00%																																														84	0.00%		
1	Bristol District	083	Russell County Total:						174,856	0.46%	0.08%				607,912	0.88%	0.28%																																								782,768	0.35%		
1	Bristol District	084	Scott County	2	Rural Principal Arterial - Other			              							218,572	0.32%	0.10%																																								218,572	0.10%		
1	Bristol District	084	Scott County	6	Rural Minor Arterial			              							89,661	0.13%	0.04%																																								89,661	0.04%		
1	Bristol District	084	Scott County	7	Rural Major Collector			              	52,352	0.14%	0.02%				50,202	0.07%	0.02%																																								102,554	0.05%		
