ReportID:	1216	DataYear:	2012		ReportID:	1216	DataYear:	2012		ReportID:	1216	DataYear:	2012		ReportID:	1216	DataYear:	2012		ReportID:	1216	DataYear:	2012		ReportID:	1216	DataYear:	2012	Prepared	8/5/2013
Daily Vehicle Miles Traveled (DVMT) by Physical Jurisdiction by Federal Functional Class; Towns Combined into Counties																														
Public Road Segments within the Commonwealth of Virginia																														
Road Length values temporarilly not included in this report pending publication of official road length values																														
2012																														
																														
									Secondary						Primary						Interstate						All Roads			
													%	%					%	%					%	%				%
										%	%		of	of		%	%		of	of		%	%		of	of		%		of
										of	of		Secondary	State		of	of		Primary	State		of	of		Interstate	State		of		State
				Federal						Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Interstate	State	Road	Total	Total		State	Road	Total
				Functional						Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Length	Road
		Jurisdiction		Class					DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	(Miles)	Length
																														
 		001	Accomack County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				675,198	0.73%	0.31%				0	0.00%	0.00%				675,198	0.31%		
 		001	Accomack County	7	Rural Major Collector			              	141,635	0.22%	0.06%				194,262	0.21%	0.09%				0	0.00%	0.00%				335,897	0.15%		
 		001	Accomack County	8	Rural Minor Collector			              	27,988	0.04%	0.01%				1,816	0.00%	0.00%				0	0.00%	0.00%				29,804	0.01%		
 		001	Accomack County	9	Rural Local System			              	142,045	0.22%	0.06%				107	0.00%	0.00%				0	0.00%	0.00%				142,152	0.06%		
 		001	Accomack County Total:						311,667	0.49%	0.14%				871,383	0.95%	0.39%				0	0.00%	0.00%				1,183,050	0.53%		
 		002	Albemarle County	1	Rural Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				773,778	1.17%	0.35%				773,778	0.35%		
 		002	Albemarle County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				268,693	0.29%	0.12%				0	0.00%	0.00%				268,693	0.12%		
 		002	Albemarle County	6	Rural Minor Arterial			              	0	0.00%	0.00%				368,332	0.40%	0.17%				0	0.00%	0.00%				368,332	0.17%		
 		002	Albemarle County	7	Rural Major Collector			              	270,096	0.43%	0.12%				140,589	0.15%	0.06%				0	0.00%	0.00%				410,686	0.19%		
 		002	Albemarle County	8	Rural Minor Collector			              	21,704	0.03%	0.01%				0	0.00%	0.00%				0	0.00%	0.00%				21,704	0.01%		
 		002	Albemarle County	9	Rural Local System			              	229,528	0.36%	0.10%				1,079	0.00%	0.00%				0	0.00%	0.00%				230,607	0.10%		
 		002	Albemarle County	11	Urban Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				329,704	0.50%	0.15%				329,704	0.15%		
 		002	Albemarle County	12	Urban Principal Arterial - Other Freeways or Expressways			              	0	0.00%	0.00%				173,262	0.19%	0.08%				0	0.00%	0.00%				173,262	0.08%		
 		002	Albemarle County	14	Urban Principal Arterial - Other			              	0	0.00%	0.00%				480,627	0.52%	0.22%				0	0.00%	0.00%				480,627	0.22%		
 		002	Albemarle County	16	Urban Minor Arterial			              	126,663	0.20%	0.06%				88,193	0.10%	0.04%				0	0.00%	0.00%				214,856	0.10%		
 		002	Albemarle County	17	Urban Collector			              	145,952	0.23%	0.07%				0	0.00%	0.00%				0	0.00%	0.00%				145,952	0.07%		
 		002	Albemarle County	19	Urban Local System			              	111,469	0.18%	0.05%				2,321	0.00%	0.00%				0	0.00%	0.00%				113,791	0.05%		
 		002	Albemarle County Total:						905,413	1.43%	0.41%				1,523,098	1.66%	0.69%				1,103,482	1.67%	0.50%				3,531,993	1.60%		
 		003	Alleghany County	1	Rural Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				400,486	0.61%	0.18%				400,486	0.18%		
 		003	Alleghany County	6	Rural Minor Arterial			              	0	0.00%	0.00%				17,735	0.02%	0.01%				0	0.00%	0.00%				17,735	0.01%		
 		003	Alleghany County	7	Rural Major Collector			              	30,564	0.05%	0.01%				52,517	0.06%	0.02%				0	0.00%	0.00%				83,081	0.04%		
 		003	Alleghany County	8	Rural Minor Collector			              	1,831	0.00%	0.00%				0	0.00%	0.00%				0	0.00%	0.00%				1,831	0.00%		
 		003	Alleghany County	9	Rural Local System			              	60,709	0.10%	0.03%				1,101	0.00%	0.00%				0	0.00%	0.00%				61,810	0.03%		
 		003	Alleghany County	11	Urban Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				28,028	0.04%	0.01%				28,028	0.01%		
 		003	Alleghany County	14	Urban Principal Arterial - Other			              	0	0.00%	0.00%				36,212	0.04%	0.02%				0	0.00%	0.00%				36,212	0.02%		
 		003	Alleghany County	16	Urban Minor Arterial			              	0	0.00%	0.00%				25,231	0.03%	0.01%				0	0.00%	0.00%				25,231	0.01%		
 		003	Alleghany County	17	Urban Collector			              	13,261	0.02%	0.01%				633	0.00%	0.00%				0	0.00%	0.00%				13,895	0.01%		
 		003	Alleghany County	19	Urban Local System			              	14,657	0.02%	0.01%				123	0.00%	0.00%				0	0.00%	0.00%				14,780	0.01%		
 		003	Alleghany County Total:						121,022	0.19%	0.05%				133,552	0.15%	0.06%				428,514	0.65%	0.19%				683,088	0.31%		
