ReportID:,1210,DataYear:,2008,,ReportID:,1210,DataYear:,2008,,ReportID:,1210,DataYear:,2008,,ReportID:,1210,DataYear:,2008,,ReportID:,1210,DataYear:,2008,,ReportID:,1210,DataYear:,2008,Prepared,7/13/2009
Daily Vehicle Miles Traveled (DVMT) by Physical Jurisdiction by Federal Functional Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Road Segments within the Commonwealth of Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Using Distance Measured Along North and East Bound Direction of Separated Inventoried Highways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Secondary,,,,,,Primary,,,,,,Interstate,,,,,,All Roads,,,
,,,,,,,,,,,,,%,%,,,,,%,%,,,,,%,%,,,,%
,,,,,,,,,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,,of
,,,,,,,,,,of,of,,Secondary,State,,of,of,,Primary,State,,of,of,,Interstate,State,,of,,State
,,,,Federal,,,,,,Secondary,State,Road,Total,Total,,Primary,State,Road,Total,Total,,Interstate,State,Road,Total,Total,,State,Road,Total
,,,,Functional,,,,,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Length,Road
,,Jurisdiction,,Class,,,,,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,(Miles),Length
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,001,Accomack County,2,Rural Principal Arterial - Other,,,              ,0,0.00%,0.00%,0.00,0.00%,0.00%,622,463,0.67%,0.28%,33.49,0.34%,0.05%,0,0.00%,0.00%,0.00,0.00%,0.00%,622,463,0.28%,33.49,0.05%
 ,,001,Accomack County,7,Rural Major Collector,,,              ,115,109,0.17%,0.05%,92.83,0.15%,0.13%,151,496,0.16%,0.07%,48.23,0.48%,0.07%,0,0.00%,0.00%,0.00,0.00%,0.00%,266,604,0.12%,141.06,0.19%
 ,,001,Accomack County,8,Rural Minor Collector,,,              ,8,405,0.01%,0.00%,14.94,0.02%,0.02%,2,432,0.00%,0.00%,3.06,0.03%,0.00%,0,0.00%,0.00%,0.00,0.00%,0.00%,10,837,0.00%,18.00,0.02%
 ,,001,Accomack County,9,Rural Local System,,,              ,117,446,0.18%,0.05%,410.99,0.65%,0.56%,103,0.00%,0.00%,0.36,0.00%,0.00%,0,0.00%,0.00%,0.00,0.00%,0.00%,117,549,0.05%,411.35,0.56%
 ,,001,Accomack County Total:,,,,,,240,960,0.36%,0.11%,518.76,0.83%,0.70%,776,493,0.84%,0.35%,85.14,0.85%,0.12%,0,0.00%,0.00%,0.00,0.00%,0.00%,1,017,453,0.45%,603.90,0.82%
 ,,002,Albemarle County,1,Rural Principal Arterial - Interstate,,,              ,0,0.00%,0.00%,0.00,0.00%,0.00%,0,0.00%,0.00%,0.00,0.00%,0.00%,777,103,1.19%,0.35%,23.32,2.08%,0.03%,777,103,0.35%,23.32,0.03%
 ,,002,Albemarle County,2,Rural Principal Arterial - Other,,,              ,0,0.00%,0.00%,0.00,0.00%,0.00%,263,029,0.28%,0.12%,17.35,0.17%,0.02%,0,0.00%,0.00%,0.00,0.00%,0.00%,263,029,0.12%,17.35,0.02%
 ,,002,Albemarle County,6,Rural Minor Arterial,,,              ,0,0.00%,0.00%,0.00,0.00%,0.00%,356,925,0.38%,0.16%,46.06,0.46%,0.06%,0,0.00%,0.00%,0.00,0.00%,0.00%,356,925,0.16%,46.06,0.06%
 ,,002,Albemarle County,7,Rural Major Collector,,,              ,296,449,0.44%,0.13%,135.03,0.22%,0.18%,168,578,0.18%,0.07%,39.77,0.40%,0.05%,0,0.00%,0.00%,0.00,0.00%,0.00%,465,027,0.21%,174.80,0.24%
 ,,002,Albemarle County,8,Rural Minor Collector,,,              ,23,908,0.04%,0.01%,25.28,0.04%,0.03%,0,0.00%,0.00%,0.00,0.00%,0.00%,0,0.00%,0.00%,0.00,0.00%,0.00%,23,908,0.01%,25.28,0.03%
