ReportID:,2200,DataYear:,2008,(Wide),ReportID:,2200,DataYear:,2008,(Wide),ReportID:,2200,DataYear:,2008,(Wide),ReportID:,2200,DataYear:,2008,(Wide),ReportID:,2200,DataYear:,2008,(Wide),ReportID:,2200,DataYear:,2008,(Wide),ReportID:,2200,DataYear:,2008,(Wide),ReportID:,2200,DataYear:,2008,(Wide),ReportID:,2200,DataYear:,2008,(Wide),ReportID:,2200,DataYear:,2008,(Wide),ReportID:,2200,DataYear:,2008,(Wide),ReportID:,2200,DataYear:,2008,Prepared,7/14/2009
Daily Vehicle Miles Traveled (DVMT) by Maintenance Jurisdiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Public Road Segments Maintained by the Commonwealth of Virginia (VDOT), Virginia Local Jurisdictions, the Federal Government or Local Toll Authorities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> > > > This report includes road segments maintained by VDOT, but outside of Virginia so it is not expected to match Virginia Public Road reports from sources such as FHWA or DMV < < < < ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Using Distance Measured Along North and East Bound Direction of Separated Inventoried Highways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,VDOT Secondary,,,,,,VDOT Primary,,,,,,VDOT Interstate,,,,,,County Secondary,,,,,,Urban Secondary,,,,,,Urban Primary,,,,,,Other Secondary,,,,,,Other Primary,,,,,,All Roads,,,
,,,,,,,,,,,,,%,%,,,,,%,%,,,,,%,%,,,,,%,%,,,,,%,%,,,,,%,%,,,,,%,%,,,,,%,%,,,,%
,,,,,,,,,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,,of
,,,,,,,,,,of,of,,Secondary,State,,of,of,,Primary,State,,of,of,,Interstate,State,,of,of,,Secondary,State,,of,of,,Secondary,State,,of,of,,Primary,State,,of,of,,Secondary,State,,of,of,,Primary,State,,of,,State
,,,,,,,,,,Secondary,State,Road,Total,Total,,Primary,State,Road,Total,Total,,Interstate,State,Road,Total,Total,,Secondary,State,Road,Total,Total,,Secondary,State,Road,Total,Total,,Primary,State,Road,Total,Total,,Secondary,State,Road,Total,Total,,Primary,State,Road,Total,Total,,State,Road,Total
,,,,,,,,,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Length,Road
,,Jurisdiction,,,,,,,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,(Miles),Length
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bristol District,010,Bland County,,,,,              ,70,201,0.17%,0.03%,209.21,0.43%,0.28%,75,326,0.11%,0.03%,79.80,0.96%,0.11%,541,570,0.83%,0.24%,21.69,1.94%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687,097,0.31%,310.70,0.42%
1,Bristol District,013,Buchanan County,,,,,              ,305,571,0.73%,0.14%,462.82,0.95%,0.63%,381,667,0.56%,0.17%,72.82,0.87%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687,238,0.31%,535.64,0.72%
1,Bristol District,025,Dickenson County,,,,,              ,137,635,0.33%,0.06%,405.84,0.84%,0.55%,212,388,0.31%,0.09%,81.65,0.98%,0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,023,0.16%,487.49,0.66%
1,Bristol District,038,Grayson County,,,,,              ,115,873,0.28%,0.05%,659.83,1.36%,0.89%,216,870,0.32%,0.10%,109.95,1.32%,0.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,743,0.15%,769.78,1.04%
1,Bristol District,052,Lee County,,,,,              ,139,495,0.33%,0.06%,573.97,1.18%,0.78%,435,944,0.64%,0.19%,114.36,1.37%,0.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,439,0.26%,688.33,0.93%
1,Bristol District,083,Russell County,,,,,              ,186,383,0.45%,0.08%,591.97,1.22%,0.80%,619,428,0.90%,0.28%,106.29,1.28%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805,811,0.36%,698.26,0.94%
1,Bristol District,084,Scott County,,,,,              ,206,121,0.49%,0.09%,700.98,1.45%,0.95%,579,972,0.85%,0.26%,121.78,1.46%,0.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,093,0.35%,822.76,1.11%
1,Bristol District,086,Smyth County,,,,,              ,227,982,0.55%,0.10%,448.02,0.92%,0.61%,214,392,0.31%,0.10%,94.01,1.13%,0.13%,601,952,0.93%,0.27%,23.36,2.09%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,044,326,0.46%,565.39,0.77%
1,Bristol District,092,Tazewell County,,,,,              ,206,487,0.49%,0.09%,473.45,0.98%,0.64%,756,645,1.10%,0.34%,132.33,1.59%,0.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963,132,0.43%,605.78,0.82%
1,Bristol District,095,Washington County,,,,,              ,414,669,0.99%,0.18%,758.53,1.56%,1.03%,490,811,0.72%,0.22%,125.77,1.51%,0.17%,1,283,221,1.97%,0.57%,35.69,3.19%,0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,188,701,0.97%,919.99,1.24%
1,Bristol District,097,Wise County,,,,,              ,298,590,0.71%,0.13%,400.91,0.83%,0.54%,858,886,1.25%,0.38%,117.88,1.42%,0.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,157,475,0.51%,518.79,0.70%
1,Bristol District,098,Wythe County,,,,,              ,169,938,0.41%,0.08%,461.38,0.95%,0.62%,283,231,0.41%,0.13%,98.56,1.18%,0.13%,1,374,854,2.11%,0.61%,44.34,3.96%,0.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,828,023,0.81%,604.28,0.82%
1,Bristol District,140,Town of Abingdon,,,,,              ,,,,,,,,,,,,,,,,,,,,,,,,,44,895,0.22%,0.02%,46.01,0.45%,0.06%,121,536,0.56%,0.05%,8.78,0.70%,0.01%,,,,,,,,,,,,,166,430,0.07%,54.79,0.07%
1,Bristol District,101,Town of Big Stone Gap,,,,,              ,,,,,,,,,,,,,,,,,,,,,,,,,34,449,0.17%,0.02%,24.77,0.24%,0.03%,29,264,0.14%,0.01%,3.62,0.29%,0.00%,,,,,,,,,,,,,63,714,0.03%,28.39,0.04%
1,Bristol District,143,Town of Bluefield,,,,,              ,,,,,,,,,,,,,,,,,,,,,,,,,33,266,0.17%,0.01%,32.10,0.31%,0.04%,40,519,0.19%,0.02%,5.98,0.48%,0.01%,,,,,,,,,,,,,73,785,0.03%,38.08,0.05%
1,Bristol District,102,City of Bristol,,,,,              ,,,,,,,,,,,,,,,,,,,,,,,,,131,267,0.66%,0.06%,111.52,1.09%,0.15%,133,129,0.62%,0.06%,11.95,0.96%,0.02%,,,,,,,,,,,,,264,396,0.12%,123.47,0.17%
1,Bristol District,252,Town of Lebanon,,,,,              ,,,,,,,,,,,,,,,,,,,,,,,,,27,588,0.14%,0.01%,25.09,0.25%,0.03%,45,081,0.21%,0.02%,5.84,0.47%,0.01%,,,,,,,,,,,,,72,669,0.03%,30.93,0.04%
1,Bristol District,119,Town of Marion,,,,,              ,,,,,,,,,,,,,,,,,,,,,,,,,28,419,0.14%,0.01%,36.13,0.35%,0.05%,54,159,0.25%,0.02%,5.49,0.44%,0.01%,,,,,,,,,,,,,82,578,0.04%,41.62,0.06%
