Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Amherst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
030286,  US,00029,     ,US 29, ,163,Town of Amherst,005,Amherst County,1.72,SCL Amherst; Bus US 29,US 60 Richmond Hwy,21000,G,89%,1%,1%,1%,9%,0%,F,0.0746,F,0.5010,21000,G,2011,,,,,,,,,,,,,,,
030287,  US,00029,     ,US 29, ,163,Town of Amherst,005,Amherst County,1.45,US 60 Richmond Hwy,BUS US 29 Near NCL Amherst,17000,G,89%,1%,1%,1%,9%,0%,F,0.0743,F,0.5010,17000,G,2011,,,,,,,,,,,,,,,
030189,  US,00029,     ,US 29,N Amherst Hwy,163,Town of Amherst,005,Amherst County,0.64,BUS US 29 Near NCL Amherst,NCL Amherst,18000,N,89%,1%,1%,1%,9%,0%,N,0.0885,N,0.5592,17000,N,2011,,,,,,,,,,,,,,,
030213,C6US,00029,     ,Bus US 29,S Main St,163,Town of Amherst,005,Amherst County,0.86,SCL Amherst,US 60 Lexington Tpke,3800,N,98%,0%,0%,0%,1%,0%,N,0.0835,N,0.6147,3900,N,2011,,,,,,,,,,,,,,,
030122,C6US,00029,     ,Bus US 29,N Main St,163,Town of Amherst,005,Amherst County,1.07,US 60 Lexington Tpke,NCL Amherst,3100,G,98%,0%,0%,0%,1%,0%,F,0.0962,F,0.5817,3200,G,2011,,,,,,,,,,,,,,,
030002,  US,00060,     ,US 60,Lexington Tpke,163,Town of Amherst,005,Amherst County,0.44,WCL Amherst,Bus US 29 Main St,2300,N,78%,1%,1%,5%,15%,0%,N,0.0802,N,0.6264,2400,N,2011,,,,,,,,,,,,,,,
030290,  US,00060,     ,US 60,E. Lexington Ave,163,Town of Amherst,005,Amherst County,0.45,Bus US 29 Main St,US 29 By-Pass East of Amherst,7100,G,78%,1%,1%,5%,15%,0%,F,0.0815,F,0.5753,7300,G,2011,,,,,,,,,,,,,,,
030289,  US,00060,     ,US 60,Richmond Hwy,163,Town of Amherst,005,Amherst County,0.18,US 29 By-pass East of Amherst,ECL Amherst,6000,G,90%,2%,1%,1%,6%,0%,C,0.0938,F,0.5290,6200,G,2011,,,,,,,,,,,,,,,
403861,  05,00659,     ,05-659,Second St,163,Town of Amherst,005,Amherst County,0.03,Bus US 29,05-1105 Goodwin St,2400,G,97%,2%,1%,0%,1%,0%,F,0.1083,F,0.5425,2500,G,2011,,,,,,,,,,,,,,,
