Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caroline Maintenance Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
140168,  US,00001,     ,US 1,Jefferson Davis Hwy,016,Caroline County,016,Caroline County,2.99,Hanover County Line,SR 207 Carmel Church,3900,G,86%,0%,1%,4%,9%,0%,F,0.0912,F,0.5416,4000,G,2011,,,,,,,,,,,,,,,
160010,  US,00001,     ,US 1,Jefferson Davis Hwy,016,Caroline County,016,Caroline County,6.29,SR 207 Carmel Church,16-639 Ladysmith Rd,4600,G,96%,0%,1%,1%,1%,0%,F,0.0945,F,0.6208,4700,G,2011,,,,,,,,,,,,,,,
160011,  US,00001,     ,US 1,Jefferson Davis Hwy,016,Caroline County,016,Caroline County,3.06,16-639 Ladysmith Rd,16-632 Cedon Rd; Quarters Rd,5800,G,96%,0%,1%,1%,1%,0%,F,0.0945,F,0.5723,5900,G,2011,,,,,,,,,,,,,,,
160012,  US,00001,     ,US 1,Jefferson Davis Hwy,016,Caroline County,016,Caroline County,2.53,16-632 Cedon Rd; Quarters Rd,Spotsylvania County Line,5300,G,96%,0%,1%,1%,1%,0%,C,0.0936,F,0.6174,5400,G,2011,,,,,,,,,,,,,,,
060189,  SR,00002,     ,"US 301, VA 2",Richmond Tpke,016,Caroline County,016,Caroline County,3.16,Hanover County Line,SR 30 Dawn,4500,G,97%,0%,1%,1%,1%,0%,F,0.0982,F,0.6326,4600,G,2011,,,,,,,,,,,,,,,
060188,  SR,00002,     ,"US 301, VA 2",Richmond Tpke,016,Caroline County,016,Caroline County,4.44,SR 30 Dawn,16-647,3400,G,90%,1%,1%,2%,5%,0%,F,0.0927,F,0.5364,3400,G,2011,,,,,,,,,,,,,,,
060187,  SR,00002,     ,"US 301, VA 2",Richmond Tpke,016,Caroline County,016,Caroline County,7.50,16-647,16-721 Near de Jarnette,2800,G,90%,1%,1%,2%,5%,0%,C,0.0925,F,0.5016,2900,G,2011,,,,,,,,,,,,,,,
060102,  SR,00002,     ,"US 301, VA 2",Richmond Tpke,016,Caroline County,016,Caroline County,2.46,16-721 Near de Jarnette,Bus US 301,5700,G,90%,1%,1%,2%,5%,0%,F,0.0881,F,0.5870,5800,G,2011,,,,,,,,,,,,,,,
060109,  SR,00002,     ,"US 301, VA 2",Richmond Tpke,171,Town of Bowling Green,016,Caroline County,0.11,SCL Bowling Green,Bus US 301,5700,N,90%,1%,1%,2%,5%,0%,N,0.0881,N,0.5870,5800,N,2011,,,,,,,,,,,,,,,
