Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Buchanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
020235,  US,00011,     ,US 11,Main St,180,Town of Buchanan,011,Botetourt County,0.43,WCL Buchanan,11-625 Mt Joy Rd,3800,N,95%,1%,1%,2%,2%,0%,N,0.0940,N,0.5648,4000,N,2011,,,,,,,,,,,,,,,
020464,  US,00011,     ,US 11,Main St,180,Town of Buchanan,011,Botetourt County,2.09,11-625 Mt Jay Rd,SR 43 Parkway Dr,4100,G,95%,1%,1%,2%,2%,0%,C,0.0934,F,0.5587,4300,G,2011,,,,,,,,,,,,,,,
020226,  US,00011,     ,"US 11, VA 43",Main St,180,Town of Buchanan,011,Botetourt County,0.18,SR 43 Parkway Dr,SR 43 First St,4600,G,95%,1%,1%,2%,2%,0%,F,0.0910,F,0.5307,4900,G,2011,,,,,,,,,,,,,,,
020225,  US,00011,     ,US 11,Main St,180,Town of Buchanan,011,Botetourt County,0.78,SR 43 First St,NCL Buchanan,2800,G,95%,1%,1%,2%,2%,0%,F,0.0866,F,0.5980,3000,G,2011,,,,,,,,,,,,,,,
020243,  SR,00043,     ,VA 43,Parkway Dr,180,Town of Buchanan,011,Botetourt County,0.64,SCL Buchanan,"US 11 S, Main St",360,N,97%,1%,1%,1%,0%,0%,N,0.0965,N,0.6000,370,N,2011,,,,,,,,,,,,,,,
020226,  SR,00043,     ,"US 11, VA 43",Main St,180,Town of Buchanan,011,Botetourt County,0.18,"US 11 S, Main St","US 11 N, Main St",4600,G,95%,1%,1%,2%,2%,0%,F,0.0910,F,0.5307,4900,G,2011,,,,,,,,,,,,,,,
020027,  SR,00043,     ,VA 43,First St,180,Town of Buchanan,011,Botetourt County,0.82,"US 11 N, Main St",NCL Buchanan,1800,G,89%,2%,2%,5%,2%,0%,F,0.1153,F,0.6311,1900,G,2011,,,,,,,,,,,,,,,
706865,  11,00617,     ,11-617,Schoolhouse Rd,180,Town of Buchanan,011,Botetourt County,0.75,"11-625 N, Pico Rd",11-627 Red Horse Lane,500,R,,,,,,,X,,,,,,05/04/2010,,,,,,,,,,,,,,,
795391,  11,00617,     ,11-617,Newtown Rd,180,Town of Buchanan,011,Botetourt County,0.26,11-627 Red Horse Lane,11-1321 Newtown Rd; Gap,420,R,,,,,,,X,,,,,,05/04/2010,,,,,,,,,,,,,,,
706867,  11,00617,     ,11-617,Kessler Lane,180,Town of Buchanan,011,Botetourt County,0.07,Dead End; Gap,US 11 Main St,80,R,,,,,,,X,,,,,,05/19/2010,,,,,,,,,,,,,,,
