Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Rich Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
020296,  US,00219,     ,US 219,Federal St,289,Town of Rich Creek,035,Giles County,0.57,US 460 Virginia Ave,ECL Rich Creek,9000,F,97%,0%,1%,1%,1%,0%,C,0.0909,F,0.0000,9400,F,2011,,,,,,,,,,,,,,,
020351,  US,00460,     ,US 460, ,289,Town of Rich Creek,035,Giles County,0.65,WCL Rich Creek,US 219 Rich Creek,9700,N,90%,1%,1%,1%,8%,0%,N,0.0885,N,0.0000,10000,N,2011,,,,,,,,,,,,,,,
020304,  US,00460,     ,US 460,Virginia Ave,289,Town of Rich Creek,035,Giles County,0.73,US 219 Rich Creek; Island St,35-712 Riverside Dr,11000,F,90%,1%,1%,1%,8%,0%,F,0.0913,F,0.0000,11000,F,2011,,,,,,,,,,,,,,,
781593,  US,00460,     ,US 460, ,289,Town of Rich Creek,035,Giles County,0.18,35-712 Riverside Dr,ECL Rich Creek,11000,N,90%,1%,1%,1%,8%,0%,N,0.0963,N,0.0000,12000,N,2011,,,,,,,,,,,,,,,
785106,  35,00647,     ,35-647,Powell Mtn Rd,289,Town of Rich Creek,035,Giles County,0.29,NCL Rich Creek,35-1024 Powell Mtn Rd,180,N,,,,,,,X,,,,0,N,04/22/2011,,,,,,,,,,,,,,,
740473,  35,00712,     ,35-712,Riverside Dr,289,Town of Rich Creek,035,Giles County,0.52,"US 460 S, Virginia Ave",35-1021 Old Virginia Ave,190,R,,,,,,,X,,,,,,04/26/2011,,,,,,,,,,,,,,,
740474,  35,00712,     ,35-712,Old Va Ave,289,Town of Rich Creek,035,Giles County,0.08,35-1021 Old Virginia Ave,"US 460 N, Virginia Ave",4900,R,,,,,,,X,,,,,,05/24/2011,,,,,,,,,,,,,,,
740495,  35,00726,     ,35-726,Old Peterstown Rd,289,Town of Rich Creek,035,Giles County,0.14,35-1006 Woodland St,NCL Rich Creek,250,R,,,,,,,X,,,,,,04/26/2011,,,,,,,,,,,,,,,
740610,  35,00806,     ,35-806,Virginia Ave,289,Town of Rich Creek,035,Giles County,0.04,WCL Rich Creek,35-1018 Powells Lane,8,R,,,,,,,X,,,,,,04/22/2011,,,,,,,,,,,,,,,
740611,  35,00806,     ,35-806,Virginia Ave,289,Town of Rich Creek,035,Giles County,0.04,35-1018 Powells Lane,35-1025 Summit Dr,120,R,,,,,,,X,,,,,,04/21/2011,,,,,,,,,,,,,,,
