Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Painter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
050089,  US,00013,     ,US 13,Lankford Hwy,276,Town of Painter,001,Accomack County,0.43,SCL Painter,01-614 Hickman St,18000,N,92%,1%,1%,1%,6%,0%,N,0.0763,N,0.0000,16000,N,2011,,,,,,,,,,,,,,,
050086,  US,00013,     ,US 13,Lankford Hwy,276,Town of Painter,001,Accomack County,0.46,01-614 Wayside Dr,NCL Painter,18000,F,92%,1%,1%,1%,6%,0%,F,0.0757,F,0.0000,16000,F,2011,,,,,,,,,,,,,,,
050229,  SR,00182,     ,VA 182,Mappsburg Rd,276,Town of Painter,001,Accomack County,0.65,US 13 Lankford Hwy,ECL Painter,1300,F,96%,0%,2%,0%,1%,0%,F,0.0958,F,0.0000,1300,F,2011,,,,,,,,,,,,,,,
785029,  01,00608,     ,01-608,Mappsburg Rd,276,Town of Painter,001,Accomack County,0.54,SCL Painter,SR 182 Edmund St,100,N,,,,,,,X,,,,0,N,07/17/2011,,,,,,,,,,,,,,,
785032,  01,00614,     ,01-614,Wayside Dr,276,Town of Painter,001,Accomack County,0.24,WCL Painter,01-619 Hickman St; 01-1204 Cosby St,860,N,,,,,,,X,,,,0,N,02/05/2008,,,,,,,,,,,,,,,
700142,  01,00614,     ,01-614,Hickman St,276,Town of Painter,001,Accomack County,0.02,01-619 Wayside Dr; 01-1204 Cosby St,US 13 Lankford Hwy,1900,R,,,,,,,X,,,,,,07/12/2011,,,,,,,,,,,,,,,
700151,  01,00619,     ,01-619,Hickman St,276,Town of Painter,001,Accomack County,0.62,01-614; 01-1204 Cosby St,01-620 NCL Painter,410,R,,,,,,,X,,,,,,06/20/2011,,,,,,,,,,,,,,,
785033,  01,00620,     ,01-620,Front St,276,Town of Painter,001,Accomack County,0.14,WCL Painter,01-619 Boggs Rd; Hickman St; NCL Painter,440,N,,,,,,,X,,,,0,N,07/12/2011,,,,,,,,,,,,,,,
700682,  01,01201,     ,01-1201,Grant St,276,Town of Painter,001,Accomack County,0.24,01-1203 Main St,01-1206 Savage St,130,R,,,,,,,X,,,,,,06/21/2011,,,,,,,,,,,,,,,
700683,  01,01202,     ,01-1202,Alexine St,276,Town of Painter,001,Accomack County,0.29,01-1203 Main St,ECL Painter,70,R,,,,,,,X,,,,,,06/21/2011,,,,,,,,,,,,,,,
700684,  01,01203,     ,01-1203,Main St,276,Town of Painter,001,Accomack County,0.08,01-608 Mappsburg Rd,01-1202 Alexine St,320,R,,,,,,,X,,,,,,06/21/2011,,,,,,,,,,,,,,,
