ReportID:,2220,DataYear:,2008,(Wide),ReportID:,2220,DataYear:,2008,(Wide),ReportID:,2220,DataYear:,2008,(Wide),ReportID:,2220,DataYear:,2008,(Wide),ReportID:,2220,DataYear:,2008,(Wide),ReportID:,2220,DataYear:,2008,(Wide),ReportID:,2220,DataYear:,2008,(Wide),ReportID:,2220,DataYear:,2008,(Wide),ReportID:,2220,DataYear:,2008,(Wide),ReportID:,2220,DataYear:,2008,(Wide),ReportID:,2220,DataYear:,2008,(Wide),ReportID:,2220,DataYear:,2008,Prepared,7/14/2009
Daily Vehicle Miles Traveled (DVMT) by Maintenance Jurisdiction by Vehicle Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Public Road Segments Maintained by the Commonwealth of Virginia (VDOT), Virginia Local Jurisdictions, the Federal Government or Local Toll Authorities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> > > > This report includes road segments maintained by VDOT, but outside of Virginia so it is not expected to match Virginia Public Road reports from sources such as FHWA or DMV < < < < ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Using Distance Measured Along North and East Bound Direction of Separated Inventoried Highways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,VDOT Secondary,,,,,,VDOT Primary,,,,,,VDOT Interstate,,,,,,County Secondary,,,,,,Urban Secondary,,,,,,Urban Primary,,,,,,Other Secondary,,,,,,Other Primary,,,,,,All Roads,,,
,,,,,,,,,,,,,%,%,,,,,%,%,,,,,%,%,,,,,%,%,,,,,%,%,,,,,%,%,,,,,%,%,,,,,%,%,,,,%
,,,,,,,,,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,,of
,,,,,,,,,,of,of,,Secondary,State,,of,of,,Primary,State,,of,of,,Interstate,State,,of,of,,Secondary,State,,of,of,,Secondary,State,,of,of,,Primary,State,,of,of,,Secondary,State,,of,of,,Primary,State,,of,,State
,,,,,,Federal,,,,Secondary,State,Road,Total,Total,,Primary,State,Road,Total,Total,,Interstate,State,Road,Total,Total,,Secondary,State,Road,Total,Total,,Secondary,State,Road,Total,Total,,Primary,State,Road,Total,Total,,Secondary,State,Road,Total,Total,,Primary,State,Road,Total,Total,,State,Road,Total
,,,,,,Vehicle,,,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Length,Road
,,Jurisdiction,,,,Class,,,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,(Miles),Length
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Southwestern Region,005,Amherst County,,,01,Motorcycles,              ,438,0.00%,0.00%,549.18,1.13%,0.74%,2,878,0.00%,0.00%,106.70,1.28%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,316,0.00%,655.88,0.89%
1,Southwestern Region,005,Amherst County,,,02,Passenger Cars,              ,177,450,0.42%,0.08%,549.18,1.13%,0.74%,529,393,0.77%,0.24%,106.70,1.28%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706,843,0.31%,655.88,0.89%
1,Southwestern Region,005,Amherst County,,,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,28,697,0.07%,0.01%,549.18,1.13%,0.74%,118,741,0.17%,0.05%,106.70,1.28%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,438,0.07%,655.88,0.89%
1,Southwestern Region,005,Amherst County,,,04,Busses,              ,883,0.00%,0.00%,549.18,1.13%,0.74%,3,553,0.01%,0.00%,106.70,1.28%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,436,0.00%,655.88,0.89%
1,Southwestern Region,005,Amherst County,,,05,"Two Axle, 6 Tire Single Unit Trucks",              ,1,324,0.00%,0.00%,549.18,1.13%,0.74%,5,041,0.01%,0.00%,106.70,1.28%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,365,0.00%,655.88,0.89%
1,Southwestern Region,005,Amherst County,,,06,Three Axle Single Unit Trucks,              ,779,0.00%,0.00%,549.18,1.13%,0.74%,3,595,0.01%,0.00%,106.70,1.28%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,374,0.00%,655.88,0.89%
1,Southwestern Region,005,Amherst County,,,07,Four or More Axle Single Unit Trucks,              ,162,0.00%,0.00%,549.18,1.13%,0.74%,1,710,0.00%,0.00%,106.70,1.28%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,872,0.00%,655.88,0.89%
1,Southwestern Region,005,Amherst County,,,08,Four Axle or Fewer Single Trailers,              ,181,0.00%,0.00%,549.18,1.13%,0.74%,2,576,0.00%,0.00%,106.70,1.28%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,757,0.00%,655.88,0.89%
1,Southwestern Region,005,Amherst County,,,09,Five Axle Single Trailers,              ,1,317,0.00%,0.00%,549.18,1.13%,0.74%,29,330,0.04%,0.01%,106.70,1.28%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,647,0.01%,655.88,0.89%
1,Southwestern Region,005,Amherst County,,,10,Six or More Axle Single Trailers,              ,42,0.00%,0.00%,549.18,1.13%,0.74%,263,0.00%,0.00%,106.70,1.28%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,0.00%,655.88,0.89%
1,Southwestern Region,005,Amherst County,,,11,Five Axle or Fewer Multi-Trailers,              ,0,0.00%,0.00%,549.18,1.13%,0.74%,1,395,0.00%,0.00%,106.70,1.28%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,395,0.00%,655.88,0.89%
1,Southwestern Region,005,Amherst County,,,12,Six Axle Multi-Trailers,              ,0,0.00%,0.00%,549.18,1.13%,0.74%,289,0.00%,0.00%,106.70,1.28%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,0.00%,655.88,0.89%
1,Southwestern Region,005,Amherst County,,,13,Seven or More Axle Multi-Trailers,              ,0,0.00%,0.00%,549.18,1.13%,0.74%,0,0.00%,0.00%,106.70,1.28%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,655.88,0.89%
1,Southwestern Region,005,Amherst County Total:,,,,,,211,273,0.51%,0.09%,549.18,1.13%,0.74%,698,764,1.02%,0.31%,106.70,1.28%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,037,0.40%,655.88,0.89%
1,Southwestern Region,006,Appomattox County,,,01,Motorcycles,              ,417,0.00%,0.00%,434.27,0.90%,0.59%,1,499,0.00%,0.00%,54.48,0.65%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,916,0.00%,488.75,0.66%
1,Southwestern Region,006,Appomattox County,,,02,Passenger Cars,              ,113,473,0.27%,0.05%,434.27,0.90%,0.59%,229,780,0.34%,0.10%,54.48,0.65%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,253,0.15%,488.75,0.66%
