Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
050091,  US,00013,     ,US 13,Lankford Hwy,246,Town of Keller,001,Accomack County,0.38,SCL Keller,S SR 180,18000,N,92%,1%,1%,1%,6%,0%,N,0.0757,N,0.0000,16000,N,2011,,,,,,,,,,,,,,,
050498,  US,00013,     ,"US 13, VA 180",Lankford Hwy,246,Town of Keller,001,Accomack County,0.45,S SR 180,NCL Keller,18000,F,92%,1%,1%,1%,6%,0%,F,0.0760,F,0.0000,17000,F,2011,,,,,,,,,,,,,,,
050004,  SR,00180,     ,VA 180, ,246,Town of Keller,001,Accomack County,0.46,WCL Keller,"US 13 S, Lankford Hwy",750,N,96%,2%,1%,1%,0%,0%,N,0.1166,N,0.0000,790,N,2011,,,,,,,,,,,,,,,
050498,  SR,00180,     ,"US 13, VA 180",Lankford Hwy,246,Town of Keller,001,Accomack County,0.45,S US 13,CL Keller,18000,F,92%,1%,1%,1%,6%,0%,F,0.0760,F,0.0000,17000,F,2011,,,,,,,,,,,,,,,
700158,  01,00620,     ,01-620,West St,246,Town of Keller,001,Accomack County,0.33,"US 13 N, Lankford Hwy; SCL Keller",SR 180 North St,120,R,,,,,,,X,,,,,,07/12/2011,,,,,,,,,,,,,,,
795403,  01,00620,     ,01-620,West St,246,Town of Keller,001,Accomack County,0.09,SR 180 North St,01-1404 Center St; 01-1406 Lee St,250,R,,,,,,,X,,,,,,09/15/2011,,,,,,,,,,,,,,,
700159,  01,00620,     ,01-620,Center Ave,246,Town of Keller,001,Accomack County,0.27,01-1404 Center St; 01-1406 Lee St,NCL Keller,510,R,,,,,,,X,,,,,,07/12/2011,,,,,,,,,,,,,,,
700384,  01,00696,     ,01-696,Keller Fair Rd,246,Town of Keller,001,Accomack County,0.25,US 13; SR 180,ECL Keller,170,R,,,,,,,X,,,,,,07/06/2011,,,,,,,,,,,,,,,
700712,  01,01401,     ,01-1401,North St,246,Town of Keller,001,Accomack County,0.06,Dead End,01-1405 Madison Ave,110,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700713,  01,01401,     ,01-1401,North St,246,Town of Keller,001,Accomack County,0.09,01-1405 Madison Ave,SR 180,190,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700714,  01,01401,     ,01-1401,North St,246,Town of Keller,001,Accomack County,0.09,SR 180,01-1406 Lee St,120,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
