Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King & Queen Maintenance Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
060064,  SR,00014,     ,VA 14,The Trail,049,King & Queen County,049,King & Queen County,6.14,US 360; St Stephens Church,49-629 Walkerton Rd,450,G,89%,0%,3%,2%,6%,0%,F,0.1186,F,0.5179,450,G,2011,,,,,,,,,,,,,,,
060066,  SR,00014,     ,VA 14,The Trail,049,King & Queen County,049,King & Queen County,1.81,49-629 Walkerton Rd,"49-620 W, Duck Pond Rd",560,G,89%,0%,3%,2%,6%,0%,F,0.1124,F,0.5986,570,G,2011,,,,,,,,,,,,,,,
060068,  SR,00014,     ,VA 14,The Trail,049,King & Queen County,049,King & Queen County,9.74,"49-620 W, Duck Pond Rd",49-617 Carletons Corner Rd,300,G,89%,0%,3%,2%,6%,0%,C,0.1068,F,0.5556,300,G,2011,,,,,,,,,,,,,,,
060230,  SR,00014,     ,VA 14,The Trail,049,King & Queen County,049,King & Queen County,5.63,49-617 Carletons Corner Rd,49-614 Clifton Lane,830,G,89%,0%,3%,2%,6%,0%,F,0.1028,F,0.5306,850,G,2011,,,,,,,,,,,,,,,
060229,  SR,00014,     ,VA 14,The Trail,049,King & Queen County,049,King & Queen County,6.81,49-614 Clifton Lane,SR 33 Shacklefords,2200,G,89%,0%,3%,2%,6%,0%,F,0.0989,F,0.5619,2200,G,2011,,,,,,,,,,,,,,,
060228,  SR,00014,     ,"VA 14, VA 33",Lewis Puller Mem. Hwy,049,King & Queen County,049,King & Queen County,1.66,SR 33 Shacklefords,SR 33 Shacklefords Fork,9500,G,92%,1%,1%,1%,5%,0%,C,0.0880,F,0.6391,9900,G,2011,,,,,,,,,,,,,,,
060070,  SR,00014,     ,VA 14,Buena Vista Rd,049,King & Queen County,049,King & Queen County,4.95,SR 33 Lewis Puller Mem Hwy,Gloucester County Line,3500,G,93%,1%,1%,1%,4%,0%,C,0.0907,F,0.6127,3500,G,2011,,,,,,,,,,,,,,,
060124,  SR,00033,     ,VA 33,Lewis Puller Mem Hwy,049,King & Queen County,049,King & Queen County,3.30,King William County Line,49-678 Riverview Ave,13000,G,92%,0%,1%,2%,5%,0%,C,0.0887,F,0.6458,13000,G,2011,,,,,,,,,,,,,,,
060122,  SR,00033,     ,VA 33,Lewis Puller Mem Hwy,049,King & Queen County,049,King & Queen County,0.14,49-678 Riverview Ave,"SR 14 Buena Vista Rd, Shacklefords Fork",12000,G,92%,0%,1%,2%,5%,0%,F,0.0856,F,0.6557,12000,G,2011,,,,,,,,,,,,,,,
