060228,  SR,00033,     ,"VA 14, VA 33",Lewis Puller Mem. Hwy,049,King & Queen County,049,King & Queen County,1.66,SR 14 Shackelfords,SR 14 Shackelfords Fork,9500,G,92%,1%,1%,1%,5%,0%,C,0.0880,F,0.6391,9900,G,2011,,,,,,,,,,,,,,,
060231,  SR,00033,     ,VA 33,Lewis Puller Mem Hwy,049,King & Queen County,049,King & Queen County,2.61,"SR 14 Buena Vista Rd, Shacklefords Fork",Gloucester County Line,6100,G,92%,0%,1%,2%,5%,0%,F,0.0877,F,0.5962,6300,G,2011,,,,,,,,,,,,,,,
060086,  US,00360,     ,US 360,Richmond Hwy,049,King & Queen County,049,King & Queen County,2.91,King William County Line,SR 14 The Trail,10000,G,95%,0%,1%,1%,3%,0%,F,0.0903,F,0.6265,10000,G,2011,,,,,,,,,,,,,,,
060232,  US,00360,     ,US 360,Richmond Hwy,049,King & Queen County,049,King & Queen County,6.29,SR 14 The Trail,Essex County Line,7700,G,91%,1%,1%,2%,5%,0%,C,0.0933,F,0.5671,8100,G,2011,,,,,,,,,,,,,,,
793645,  FR,00600,     ,FR 600,Pine Tree Rd,049,King & Queen County,049,King & Queen County,0.19,Dead End,SR 33 Lewis Puller Mem Hwy,20,G,98%,0%,2%,0%,0%,0%,C,,,,20,G,2011,,,,,,,,,,,,,,,
748237,  49,00600,     ,49-600,Pine Tree Rd,049,King & Queen County,049,King & Queen County,1.48,49-616 Mt Zion Rd,49-617 Exol Rd,30,R,,,,,,,X,,,,,,07/15/2009,,,,,,,,,,,,,,,
748238,  49,00601,     ,49-601,Cherry Row Lane,049,King & Queen County,049,King & Queen County,1.39,Dead End,1.39 MN Dead End,80,R,,,,,,,X,,,,,,06/18/2009,,,,,,,,,,,,,,,
748239,  49,00601,     ,49-601,Cherry Row Lane,049,King & Queen County,049,King & Queen County,0.91,1.39 MN Dead End,"49-605 S, Plain View Lane",210,R,,,,,,,X,,,,,,06/18/2009,,,,,,,,,,,,,,,
401966,  49,00601,     ,49-601,Stratton Major Rd,049,King & Queen County,049,King & Queen County,3.40,"49-605 N, York River Rd","SR 14 W, Buena Vista Rd",160,G,94%,3%,2%,1%,0%,0%,C,0.1207,F,0.5238,170,G,2011,,,,,,,,,,,,,,,
748240,  49,00601,     ,49-601,Pear Tree Ave,049,King & Queen County,049,King & Queen County,1.25,"SR 14 E, Buena Vista Rd",SR 33 Lewis Puller Mem Hwy,200,R,,,,,,,X,,,,,,06/18/2009,,,,,,,,,,,,,,,
748241,  49,00601,     ,49-601,Farmville Rd,049,King & Queen County,049,King & Queen County,0.08,SR 33 Lewis Puller Mem Hwy,Liberty St,90,R,,,,,,,X,,,,,,06/18/2009,,,,,,,,,,,,,,,
748242,  49,00601,     ,49-601,Liberty St,049,King & Queen County,049,King & Queen County,0.05,Pear Tree Ave,Southwest End State Mainteancne,80,R,,,,,,,X,,,,,,06/18/2009,,,,,,,,,,,,,,,
791138,  49,00601,     ,49-601,Liberty St,049,King & Queen County,049,King & Queen County,0.03,Northeast End State Maintenance,Pear Tree Ave,10,R,,,,,,,X,,,,,,06/26/2006,,,,,,,,,,,,,,,
748243,  49,00602,     ,49-602,Melrose Landing Rd,049,King & Queen County,049,King & Queen County,1.20,Dead End,SR 14 The Trail,40,R,,,,,,,X,,,,,,06/29/2009,,,,,,,,,,,,,,,
748244,  49,00602,     ,49-602,Truhart Rd,049,King & Queen County,049,King & Queen County,1.00,SR 14 The Trail,1.00 MN SR 14,45,R,,,,,,,X,,,,,,06/29/2009,,,,,,,,,,,,,,,
748245,  49,00602,     ,49-602,Truhart Rd,049,King & Queen County,049,King & Queen County,3.60,1.00 MN SR 14,49-614 Devils 3 Jump Rd,5,R,,,,,,,X,,,,,,06/29/2009,,,,,,,,,,,,,,,
401967,  49,00602,     ,49-602,Mt Olive Rd,049,King & Queen County,049,King & Queen County,1.90,49-614 Devils 3 Jump Rd,49-610 Timber Branch Rd,60,G,81%,9%,3%,7%,1%,0%,C,,,,70,G,2011,,,,,,,,,,,,,,,
406766,  49,00602,     ,49-602,True Hart Rd,049,King & Queen County,049,King & Queen County,0.20,49-610 Timber Branch Rd,49-610 Piedmont Rd,60,N,81%,9%,3%,7%,1%,0%,N,,,,70,N,2011,,,,,,,,,,,,,,,
406724,  49,00602,     ,49-602,Wares Church Rd,049,King & Queen County,049,King & Queen County,1.57,49-610 Piedmont Rd,Middlesex County Line,150,G,81%,9%,3%,7%,1%,0%,F,0.1446,F,0.5625,160,G,2011,,,,,,,,,,,,,,,
401968,  49,00603,     ,49-603,Lombardy Rd,049,King & Queen County,049,King & Queen County,4.39,SR 14 The Trail,49-610 Coldwater Rd; Elsom Mascot Rd,200,G,96%,0%,2%,2%,1%,0%,F,0.1197,F,0.6863,210,G,2011,,,,,,,,,,,,,,,
401969,  49,00603,     ,49-603,Dragon Bridge Rd,049,King & Queen County,049,King & Queen County,0.86,49-610 Coldwater Rd; Elsom Mascot Rd,Middlesex County Line,370,G,96%,0%,2%,2%,1%,0%,C,0.0980,F,0.6000,380,G,2011,,,,,,,,,,,,,,,
748246,  49,00604,     ,49-604,Byrds Bridge Rd,049,King & Queen County,049,King & Queen County,0.70,49-614 Poplar Grove Rd; Rock Spring Rd,Essex County Line,300,R,,,,,,,X,,,,,,06/30/2009,,,,,,,,,,,,,,,
748247,  49,00605,     ,49-605,Chain Ferry Rd,049,King & Queen County,049,King & Queen County,0.03,Dead End,49-674 Shepards Warehouse Rd,20,R,,,,,,,X,,,,,,06/28/2006,,,,,,,,,,,,,,,
748248,  49,00605,     ,49-605,Chain Ferry Rd,049,King & Queen County,049,King & Queen County,1.31,49-674 Shepards Warehouse Rd,SR 33 Lewis Puller Mem Hwy,140,R,,,,,,,X,,,,,,06/28/2006,,,,,,,,,,,,,,,
401970,  49,00605,     ,49-605,York River Rd,049,King & Queen County,049,King & Queen County,3.46,SR 33 Lewis Puller Mem Hwy,49-606 Taylorsville Rd,850,G,97%,1%,1%,1%,1%,0%,C,0.1039,F,0.5859,880,G,2011,,,,,,,,,,,,,,,
401971,  49,00605,     ,49-605,York River Rd,049,King & Queen County,049,King & Queen County,1.39,49-606 Taylorsville Rd,"49-601 N, Cherry Row Lane",510,G,97%,1%,1%,1%,1%,0%,F,0.1192,F,0.6815,530,G,2011,,,,,,,,,,,,,,,
406692,  49,00605,     ,49-605,Plain View Lane,049,King & Queen County,049,King & Queen County,0.61,"49-601 N, Cherry Row Lane","49-601 S, Cherry Row Lane",510,N,97%,1%,1%,1%,1%,0%,N,0.1192,N,0.6815,530,N,2011,,,,,,,,,,,,,,,
401972,  49,00605,     ,49-605,Plain View Lane,049,King & Queen County,049,King & Queen County,2.68,"49-601 S, Cherry Row Lane",SR 14 Buena Vista Rd,320,R,,,,,,,X,,,,,,06/26/2006,,,,,,,,,,,,,,,
748249,  49,00606,     ,49-606,Taylorsville Rd,049,King & Queen County,049,King & Queen County,2.40,49-605 York River Rd,49-601 Stratton Major Rd,150,R,,,,,,,X,,,,,,06/26/2006,,,,,,,,,,,,,,,
748250,  49,00607,     ,49-607,Crouches Rd,049,King & Queen County,049,King & Queen County,1.10,49-631 Poor House Lane,"49-617 E, Providence Rd",60,R,,,,,,,X,,,,,,07/15/2009,,,,,,,,,,,,,,,
748251,  49,00607,     ,49-607,Princess Rd,049,King & Queen County,049,King & Queen County,1.40,"49-617 W, Providence Rd",Essex County Line,20,R,,,,,,,X,,,,,,07/06/2009,,,,,,,,,,,,,,,
401973,  49,00608,     ,49-608,Clancie Rd,049,King & Queen County,049,King & Queen County,0.17,49-678 Riverview Ave,49-700 Airville Rd,790,G,96%,0%,1%,1%,2%,0%,C,0.1065,F,0.6882,820,G,2011,,,,,,,,,,,,,,,
401974,  49,00608,     ,49-608,Clancie Rd,049,King & Queen County,049,King & Queen County,2.73,49-700 Airville Rd,"49-609 W, New Hope Rd",420,G,96%,0%,1%,1%,2%,0%,F,0.1211,F,0.8158,440,G,2011,,,,,,,,,,,,,,,
748252,  49,00608,     ,49-608,Royal Oak School Rd,049,King & Queen County,049,King & Queen County,1.89,"49-609 E, New Hope Rd",1.89 MN 49-609 New Hope Rd,140,R,,,,,,,X,,,,,,06/26/2006,,,,,,,,,,,,,,,
748253,  49,00608,     ,49-608,Royal Oak School Rd,049,King & Queen County,049,King & Queen County,0.29,1.89 MN 49-609 New Hope Rd,Cul-de-Sac,30,R,,,,,,,X,,,,,,06/26/2006,,,,,,,,,,,,,,,
748254,  49,00609,     ,49-609,Mt Olive Bottom Rd,049,King & Queen County,049,King & Queen County,0.60,Dead End,"49-614 N, Devils 3 Jump Rd",20,R,,,,,,,X,,,,,,07/15/2009,,,,,,,,,,,,,,,
748255,  49,00609,     ,49-609,Iris Rd,049,King & Queen County,049,King & Queen County,0.64,"49-614 S, Devils 3 Jump Rd",0.64 ME 49-614,120,R,,,,,,,X,,,,,,06/29/2009,,,,,,,,,,,,,,,
748256,  49,00609,     ,49-609,Iris Rd,049,King & Queen County,049,King & Queen County,2.31,0.64 ME 49-614,49-613 Dabney Rd,20,R,,,,,,,X,,,,,,06/22/2006,,,,,,,,,,,,,,,
748257,  49,00609,     ,49-609,Iris Rd,049,King & Queen County,049,King & Queen County,0.30,49-613 Dabney Rd,49-611 Tastine Rd,20,R,,,,,,,X,,,,,,06/22/2006,,,,,,,,,,,,,,,
748258,  49,00609,     ,49-609,Iris Rd,049,King & Queen County,049,King & Queen County,1.80,49-611 Tastine Rd,49-603 Lombardy Rd; Gap,4,R,,,,,,,X,,,,,,06/22/2006,,,,,,,,,,,,,,,
748259,  49,00609,     ,49-609,New Hope Rd,049,King & Queen County,049,King & Queen County,5.80,49-610 Elsom Mascot Rd; Gap,SR 33 Lewis Puller Mem Hwy,170,R,,,,,,,X,,,,,,06/29/2009,,,,,,,,,,,,,,,
401975,  49,00610,     ,49-610,Elsom Mascot Rd,049,King & Queen County,049,King & Queen County,3.65,SR 14 The Trail,49-609 New Hope Rd,440,G,97%,0%,1%,0%,1%,0%,C,0.1037,F,0.6415,450,G,2011,,,,,,,,,,,,,,,
401976,  49,00610,     ,49-610,Elsom Mascot Rd,049,King & Queen County,049,King & Queen County,1.89,49-609 New Hope Rd,49-603 Dragon Bridge Rd; Lombardy Rd,400,G,97%,0%,1%,0%,1%,0%,F,0.1094,F,0.6020,410,G,2011,,,,,,,,,,,,,,,
748260,  49,00610,     ,49-610,Coldwater Rd,049,King & Queen County,049,King & Queen County,1.19,49-603 Dragon Bridge Rd; Lombardy Rd,49-656 Barn Gate Rd,160,R,,,,,,,X,,,,,,06/26/2006,,,,,,,,,,,,,,,
748261,  49,00610,     ,49-610,Coldwater Rd,049,King & Queen County,049,King & Queen County,2.14,49-656 Barn Gate Rd,49-613 Dabney Rd,100,R,,,,,,,X,,,,,,06/26/2006,,,,,,,,,,,,,,,
748262,  49,00610,     ,49-610,Piedmont Rd,049,King & Queen County,049,King & Queen County,2.30,49-613 Dabney Rd,"49-602 S, True Hart Rd",60,R,,,,,,,X,,,,,,06/26/2006,,,,,,,,,,,,,,,
748263,  49,00610,     ,49-610,Timber Branch Rd,049,King & Queen County,049,King & Queen County,1.40,"49-602 N, True Hart Rd; Mt Olive Rd","49-614 S, Devils 3 Jump Rd",80,R,,,,,,,X,,,,,,06/26/2006,,,,,,,,,,,,,,,
401977,  49,00610,     ,49-610,Dragonville Rd,049,King & Queen County,049,King & Queen County,0.70,"49-614 S, Devils 3 Jump Rd","49-614 N, Rock Spring Rd",190,G,73%,3%,3%,2%,19%,0%,C,0.1059,F,0.6400,200,G,2011,,,,,,,,,,,,,,,
748264,  49,00610,     ,49-610,Hickory Hill Rd,049,King & Queen County,049,King & Queen County,0.20,"49-614 N, Rock Spring Rd","49-616 E, Liberty Hall Rd",150,R,,,,,,,X,,,,,,06/26/2006,,,,,,,,,,,,,,,
748265,  49,00610,     ,49-610,Hickory Hill Rd,049,King & Queen County,049,King & Queen County,0.85,"49-616 E, Liberty Hall Rd",0.85 MN 49-616,20,R,,,,,,,X,,,,,,06/19/2006,,,,,,,,,,,,,,,
748266,  49,00610,     ,49-610,Liberty Hall Rd,049,King & Queen County,049,King & Queen County,0.75,0.85 MN 49-616,49-615 Union Hope Church Rd,6,R,,,,,,,X,,,,,,06/19/2006,,,,,,,,,,,,,,,
748267,  49,00610,     ,49-610,Spring Garden Rd,049,King & Queen County,049,King & Queen County,1.70,49-615 Union Hope Church Rd,"49-616 W, Liberty Hall Rd; Mt Zion Rd",10,R,,,,,,,X,,,,,,06/19/2006,,,,,,,,,,,,,,,
748268,  49,00611,     ,49-611,Tastine Rd,049,King & Queen County,049,King & Queen County,2.00,49-609 Iris Rd,2.00 MS 49-609 Iris Rd,30,R,,,,,,,X,,,,,,06/22/2006,,,,,,,,,,,,,,,
748269,  49,00611,     ,49-611,Tastine Rd,049,King & Queen County,049,King & Queen County,1.00,2.00 MS 49-609 Iris Rd,"SR 14 E, The Trail",80,R,,,,,,,X,,,,,,06/22/2006,,,,,,,,,,,,,,,
748270,  49,00611,     ,49-611,Water Lane,049,King & Queen County,049,King & Queen County,1.60,"SR 14 W, The Trail",Dead End,180,R,,,,,,,X,,,,,,06/29/2009,,,,,,,,,,,,,,,
748271,  49,00612,     ,49-612,Lily Pond Rd,049,King & Queen County,049,King & Queen County,0.30,SR 14 The Trail,49-630 Deshazo Rd,110,R,,,,,,,X,,,,,,06/19/2006,,,,,,,,,,,,,,,
748272,  49,00612,     ,49-612,Lily Pond Rd,049,King & Queen County,049,King & Queen County,2.77,49-630 Deshazo Rd,"49-617 S, Providence Rd",40,R,,,,,,,X,,,,,,06/19/2006,,,,,,,,,,,,,,,
748273,  49,00612,     ,49-612,Lily Pond Rd,049,King & Queen County,049,King & Queen County,1.53,"49-617 S, Providence Rd",Essex County Line,90,R,,,,,,,X,,,,,,07/06/2009,,,,,,,,,,,,,,,
748274,  49,00613,     ,49-613,Allens Mill Pond Rd,049,King & Queen County,049,King & Queen County,1.10,Dead End,"49-614 N, Devils 3 Jump Rd",9,R,,,,,,,X,,,,,,07/15/2009,,,,,,,,,,,,,,,
748275,  49,00613,     ,49-613,Dabney Rd,049,King & Queen County,049,King & Queen County,4.10,"49-614 S, Devils 3 Jump Rd",49-610 Peidmont Rd; Coldwater Rd,110,R,,,,,,,X,,,,,,06/29/2009,,,,,,,,,,,,,,,
748276,  49,00614,     ,49-614,Clifton Lane,049,King & Queen County,049,King & Queen County,1.90,Dead End,SR 14 The Trail,40,R,,,,,,,X,,,,,,07/15/2009,,,,,,,,,,,,,,,
401978,  49,00614,     ,49-614,Devils 3 Jump Rd,049,King & Queen County,049,King & Queen County,0.90,SR 14 The Trail,"49-613 S, Dabney Rd",970,G,47%,1%,1%,19%,32%,0%,C,0.0922,F,0.5248,1000,G,2011,,,,,,,,,,,,,,,
401979,  49,00614,     ,49-614,Devils 3 Jump Rd,049,King & Queen County,049,King & Queen County,1.00,"49-613 S, Dabney Rd","49-613 N, Allens Mill Pond Rd",950,G,47%,1%,1%,19%,32%,0%,F,0.1061,F,0.5937,990,G,2011,,,,,,,,,,,,,,,
401980,  49,00614,     ,49-614,Devils 3 Jump Rd,049,King & Queen County,049,King & Queen County,0.80,"49-613 N, Allens Mill Pond Rd","49-609 S, Iris Rd",800,G,47%,1%,1%,19%,32%,0%,F,0.1081,F,0.5957,860,G,2011,,,,,,,,,,,,,,,
401981,  49,00614,     ,49-614,Devils 3 Jump Rd,049,King & Queen County,049,King & Queen County,1.30,"49-609 S, Iris Rd",49-602 Truhart Rd; Wares Church Rd,170,G,47%,1%,1%,19%,32%,0%,F,0.0984,F,0.7826,180,G,2011,,,,,,,,,,,,,,,
401982,  49,00614,     ,49-614,Devils 3 Jump Rd,049,King & Queen County,049,King & Queen County,1.00,49-602 Truhart Rd; Wares Church Rd,"49-610 E, Dragonville Rd",180,G,73%,2%,1%,6%,18%,0%,C,,,,190,G,2011,,,,,,,,,,,,,,,
748277,  49,00614,     ,49-614,Rock Spring Rd,049,King & Queen County,049,King & Queen County,4.65,"49-610 W, Liberty Hall Rd; Dragonville Rd",49-615 Union Hope Church Rd,240,R,,,,,,,X,,,,,,06/19/2006,,,,,,,,,,,,,,,
748278,  49,00614,     ,49-614,Rock Spring Rd,049,King & Queen County,049,King & Queen County,0.70,49-615 Union Hope Church Rd,49-604 Byrds Bridge Rd,190,G,70%,1%,3%,6%,21%,0%,C,,,,190,G,2011,,,,,,,,,,,,,,,
748279,  49,00614,     ,49-614,Poplar Grove Rd,049,King & Queen County,049,King & Queen County,3.30,49-604 Byrds Bridge Rd,49-617 Exol Rd; White House Lane,46,R,,,,,,,X,,,,,,06/30/2009,,,,,,,,,,,,,,,
748280,  49,00615,     ,49-615,Union Hope Church Rd,049,King & Queen County,049,King & Queen County,1.40,49-610 Liberty Hall Rd,49-614 Rock Spring Rd,30,R,,,,,,,X,,,,,,06/19/2006,,,,,,,,,,,,,,,
748281,  49,00616,     ,49-616,Mt Zion Rd,049,King & Queen County,049,King & Queen County,3.20,SR 14 The Trail,"49-610 E, Spring Garden Rd",100,R,,,,,,,X,,,,,,06/30/2009,,,,,,,,,,,,,,,
791137,  49,00616,     ,49-616,Liberty Hall Rd,049,King & Queen County,049,King & Queen County,3.70,"49-610 E, Spring Garden Rd","49-610 W, Hickory Hill Rd",120,R,,,,,,,X,,,,,,06/26/2006,,,,,,,,,,,,,,,
748282,  49,00617,     ,49-617,Providence Rd,049,King & Queen County,049,King & Queen County,2.20,49-631 Poor House Lane,"49-607 E, Princess Rd",80,R,,,,,,,X,,,,,,06/30/2009,,,,,,,,,,,,,,,
748283,  49,00617,     ,49-617,Providence Rd,049,King & Queen County,049,King & Queen County,2.00,"49-607 E, Princess Rd","49-612 S, Lily Pond Rd",50,R,,,,,,,X,,,,,,06/30/2009,,,,,,,,,,,,,,,
748284,  49,00617,     ,49-617,White House Lane,049,King & Queen County,049,King & Queen County,1.80,"49-612 N, Lily Pond Rd",49-614 Popular Grove Rd,70,R,,,,,,,X,,,,,,06/30/2009,,,,,,,,,,,,,,,
748285,  49,00617,     ,49-617,Exol Rd,049,King & Queen County,049,King & Queen County,2.60,49-614 Popular Grove Rd,49-616 Mt Zion Rd,40,R,,,,,,,X,,,,,,06/30/2009,,,,,,,,,,,,,,,
748286,  49,00617,     ,49-617,Carletons Corner Rd,049,King & Queen County,049,King & Queen County,4.90,49-616 Mt Zion Rd,SR 14 The Trail,60,R,,,,,,,X,,,,,,06/29/2009,,,,,,,,,,,,,,,
748287,  49,00618,     ,49-618,Shilo Rd,049,King & Queen County,049,King & Queen County,1.00,SR 14 The Trail,Dead End,40,R,,,,,,,X,,,,,,06/30/2009,,,,,,,,,,,,,,,
401983,  49,00619,     ,49-619,Owens Mill Rd,049,King & Queen County,049,King & Queen County,2.80,49-721 Newtown Rd,49-673 Martin Town Rd,400,G,96%,2%,1%,0%,1%,0%,F,0.1058,F,0.6238,420,G,2011,,,,,,,,,,,,,,,
401984,  49,00619,     ,49-619,Owens Mill Rd,049,King & Queen County,049,King & Queen County,1.80,49-673 Martin Town Rd,49-660 Sorghum Rd,290,G,96%,2%,1%,0%,1%,0%,C,0.1190,F,0.6286,290,G,2011,,,,,,,,,,,,,,,
401985,  49,00619,     ,49-619,Owens Mill Rd,049,King & Queen County,049,King & Queen County,3.00,49-660 Sorghum Rd,Essex County Line,260,G,96%,2%,1%,0%,1%,0%,F,0.1169,F,0.5846,260,G,2011,,,,,,,,,,,,,,,
748288,  49,00620,     ,49-620,Duck Pond Rd,049,King & Queen County,049,King & Queen County,2.20,49-633 Stones Rd,"SR 14 W, The Trail",20,R,,,,,,,X,,,,,,06/30/2009,,,,,,,,,,,,,,,
401986,  49,00620,     ,49-620,Powcan Rd,049,King & Queen County,049,King & Queen County,2.89,"SR 14 E, The Trail","49-631 E, Poor House Lane",170,G,95%,1%,1%,1%,2%,0%,F,0.1398,F,0.5283,170,G,2011,,,,,,,,,,,,,,,
401987,  49,00620,     ,49-620,Powcan Rd,049,King & Queen County,049,King & Queen County,1.00,"49-631 E, Poor House Lane",Essex County Line,490,G,95%,1%,1%,1%,2%,0%,C,0.0950,F,0.6471,500,G,2011,,,,,,,,,,,,,,,
401988,  49,00621,     ,49-621,Bruinton Rd,049,King & Queen County,049,King & Queen County,3.80,SR 14 The Trail,US 360; Essex County Line,530,G,88%,1%,1%,1%,9%,0%,C,0.1122,F,0.5072,540,G,2011,,,,,,,,,,,,,,,
401989,  49,00622,     ,49-622,Minor Rd,049,King & Queen County,049,King & Queen County,0.49,US 360 Richmond Hwy,Essex County Line,400,G,97%,0%,1%,0%,2%,0%,C,0.1175,F,0.9412,400,G,2011,,,,,,,,,,,,,,,
401990,  49,00623,     ,49-623,Indian Neck Rd,049,King & Queen County,049,King & Queen County,1.05,49-721 Newtown Rd,"49-635 S, Bradley Farm Rd",180,G,94%,2%,1%,0%,3%,0%,C,0.1231,F,0.6250,190,G,2011,,,,,,,,,,,,,,,
748289,  49,00623,     ,49-623,Indian Neck Rd,049,King & Queen County,049,King & Queen County,4.60,"49-635 N, Bradley Farm Rd",49-619 Owens Mill Rd,290,R,,,,,,,X,,,,,,06/13/2006,,,,,,,,,,,,,,,
748290,  49,00623,     ,49-623,Indian Neck Rd,049,King & Queen County,049,King & Queen County,1.80,49-619 Owens Mill Rd,Essex County Line,20,R,,,,,,,X,,,,,,06/13/2006,,,,,,,,,,,,,,,
748291,  49,00624,     ,49-624,Root Swamp Rd,049,King & Queen County,049,King & Queen County,1.13,49-635 Bradley Farm Rd,49-689 Frog Pond Rd,60,R,,,,,,,X,,,,,,07/08/2009,,,,,,,,,,,,,,,
748292,  49,00624,     ,49-624,Root Swamp Rd,049,King & Queen County,049,King & Queen County,1.97,49-689 Frog Pond Rd,Caroline County Line,45,R,,,,,,,X,,,,,,07/08/2009,,,,,,,,,,,,,,,
401991,  49,00625,     ,49-625,Poplar Hill Rd,049,King & Queen County,049,King & Queen County,1.60,49-628 Spring Cottage Rd; Poplar Hill Rd,49-651 Dewsville Rd,190,G,92%,3%,3%,0%,2%,0%,F,0.1244,F,0.5192,190,G,2011,,,,,,,,,,,,,,,
401992,  49,00625,     ,49-625,Poplar Hill Rd,049,King & Queen County,049,King & Queen County,1.00,49-651 Dewsville Rd,49-721 Newtown Rd,210,G,92%,3%,3%,0%,2%,0%,F,0.1302,F,0.5500,210,G,2011,,,,,,,,,,,,,,,
401993,  49,00625,     ,49-625,Byrds Mill Rd,049,King & Queen County,049,King & Queen County,1.50,49-721 Newtown Rd,49-649 Kays Lane,200,G,92%,3%,3%,0%,2%,0%,C,0.1381,F,0.6552,200,G,2011,,,,,,,,,,,,,,,
748293,  49,00625,     ,49-625,Byrds Mill Rd,049,King & Queen County,049,King & Queen County,1.10,49-649 Kays Lane,49-641 Salvia Rd,120,R,,,,,,,X,,,,,,06/15/2006,,,,,,,,,,,,,,,
748294,  49,00625,     ,49-625,Byrds Mill Rd,049,King & Queen County,049,King & Queen County,2.00,49-641 Salvia Rd,Caroline County Line,48,R,,,,,,,X,,,,,,06/15/2006,,,,,,,,,,,,,,,
748295,  49,00626,     ,49-626,Roseville Rd,049,King & Queen County,049,King & Queen County,0.46,49-623 Indians Neck Rd,0.46 MN 49-623,4,R,,,,,,,X,,,,,,07/13/2009,,,,,,,,,,,,,,,
748296,  49,00626,     ,49-626,Roseville Rd,049,King & Queen County,049,King & Queen County,0.04,0.46 MN 49-623,Dead End,4,R,,,,,,,X,,,,,,07/15/2009,,,,,,,,,,,,,,,
748297,  49,00627,     ,49-627,Roundabout Route Rd,049,King & Queen County,049,King & Queen County,2.04,Caroline County Line,49-721 Newtown Rd,90,R,,,,,,,X,,,,,,06/15/2006,,,,,,,,,,,,,,,
