Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Stephens City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
080371,  US,00011,     ,US 11,Main St,304,Town of Stephens City,034,Frederick County,0.32,SCL Stephens City,SR 277 Fairfax Pike,5100,N,95%,1%,1%,0%,2%,0%,N,0.0961,N,0.0000,5300,N,2011,,,,,,,,,,,,,,,
080355,  US,00011,     ,US 11,Main St,304,Town of Stephens City,034,Frederick County,0.71,SR 277 Fairfax Pike,NCL Stephens City,8200,F,97%,1%,1%,0%,1%,0%,C,0.0928,F,0.0000,8500,F,2011,,,,,,,,,,,,,,,
080392,  IS,00081,N    ,I-81 NB, ,304,Town of Stephens City,034,Frederick County,0.10,SCL Stephens City,SR 277 Fairfax Pike; NCL Stephens City,22000,A,78%,1%,1%,1%,19%,1%,F,0.1035,A,0.0000,22000,A,2011,,45000,A,78%,1%,1%,1%,18%,1%,F,,,,45000,A
180087,  IS,00081,S    ,I-81 SB, ,304,Town of Stephens City,034,Frederick County,0.10,SCL Stephens City,NCL Stephens City,23000,A,79%,1%,1%,1%,18%,1%,F,0.1167,A,0.0000,23000,A,2011,,45000,A,78%,1%,1%,1%,18%,1%,F,,,,45000,A
080379,  SR,00277,     ,VA 277,Fairfax Pike,304,Town of Stephens City,034,Frederick County,0.15,US 11 Main Street,ECL Stephens City,9300,F,97%,0%,0%,0%,2%,0%,F,0.0854,F,0.0000,9600,F,2011,,,,,,,,,,,,,,,
303193,  34,00631,     ,34-631,Fairfax St,304,Town of Stephens City,034,Frederick County,0.45,WCL Stephens City,US 11; SR 277,3400,F,96%,1%,2%,1%,1%,0%,F,0.0946,F,0.0000,3500,F,2011,,,,,,,,,,,,,,,
785101,  34,00648,     ,34-648,Passage Rd,304,Town of Stephens City,034,Frederick County,0.70,SCL Stephens City,NCL Stephens City,150,R,,,,,,,X,,,,,,10/02/2002,,,,,,,,,,,,,,,
739659,  34,01001,     ,34-1001,Martin St,304,Town of Stephens City,034,Frederick County,0.27,34-1011 Grove St,34-1002 Mulberry St,140,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
739660,  34,01002,     ,34-1002,Mulberry St,304,Town of Stephens City,034,Frederick County,0.10,34-1005 School St,34-1006 Green St,840,R,,,,,,,X,,,,,,06/13/2005,,,,,,,,,,,,,,,
739661,  34,01002,     ,34-1002,Mulberry St,304,Town of Stephens City,034,Frederick County,0.30,34-1006 Green St,34-1007 Locust St,2100,R,,,,,,,X,,,,,,04/15/2008,,,,,,,,,,,,,,,
