Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of South Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
671213,  US,00001,     ,"US 1, Bus US 58",Danville St,301,Town of South Hill,301,Town of South Hill,1.89,SCL South Hill,Locust St,5000,G,96%,0%,1%,1%,2%,0%,C,0.0956,F,0.6155,5400,G,2011,,,,,,,,,,,,,,,
671212,  US,00001,     ,"US 1, Bus US 58",Danville St,301,Town of South Hill,301,Town of South Hill,0.28,Locust St,Plank Rd,7100,G,96%,0%,1%,1%,2%,0%,F,0.0941,F,0.5003,7600,G,2011,,,,,,,,,,,,,,,
671210,  US,00001,     ,"US 1, Bus US 58",Danville St,301,Town of South Hill,301,Town of South Hill,0.09,Plank Rd,Goodes Ferry Blvd,7800,G,96%,0%,1%,1%,2%,0%,F,0.0894,F,0.5018,8300,G,2011,,,,,,,,,,,,,,,
671201,  US,00001,     ,"US 1, Bus US 58",Danville St,301,Town of South Hill,301,Town of South Hill,0.23,Goodes Ferry Blvd,Mecklenburg Ave,7200,G,96%,0%,1%,1%,2%,0%,F,0.0923,F,0.5077,7700,G,2011,,,,,,,,,,,,,,,
671199,  US,00001,     ,"US 1, Bus US 58",Mecklenburg Ave,301,Town of South Hill,301,Town of South Hill,0.16,Danville St,US 58 BUS; SR 47 Atlantic St,8100,G,97%,0%,1%,0%,1%,0%,F,0.0912,F,0.5000,8700,G,2011,,,,,,,,,,,,,,,
671198,  US,00001,     ,US 1,Mecklenburg Ave,301,Town of South Hill,301,Town of South Hill,0.08,US 58 BUS; SR 47 Atlantic St,Windsor St,6800,G,97%,0%,1%,0%,1%,0%,F,0.0995,F,0.5466,7300,G,2011,,,,,,,,,,,,,,,
671196,  US,00001,     ,US 1,Mecklenburg Ave,301,Town of South Hill,301,Town of South Hill,0.58,Windsor St,E Ferrell St,8900,G,97%,0%,1%,0%,1%,0%,F,0.0921,F,0.5210,9500,G,2011,,,,,,,,,,,,,,,
671219,  US,00001,     ,US 1,Mecklenburg Ave,301,Town of South Hill,301,Town of South Hill,2.26,E Ferrell St,NCL South Hill,5900,G,97%,0%,1%,0%,1%,0%,C,0.0939,F,0.5171,6300,G,2011,,,,,,,,,,,,,,,
671197,  SR,00047,     ,VA 47,W Atlantic St,301,Town of South Hill,301,Town of South Hill,0.63,Mecklenburg Ave,Thomas St,6400,G,96%,0%,1%,1%,3%,0%,F,0.0902,F,0.5403,6500,G,2011,,,,,,,,,,,,,,,
