613302,  US,00029,     ,"US 250, US 29",Monacan Trail Rd,104,City of Charlottesville,104,City of Charlottesville,0.35,WCL Charlottesville,Bus US 29,37000,G,97%,0%,1%,1%,2%,0%,F,,,,39000,G,2011,,,,,,,,,,,,,,,
613303,  US,00029,     ,US 29,Emmet St,104,City of Charlottesville,104,City of Charlottesville,0.37,"US 250, Bus US 29",NCL Charlottesville,51000,G,97%,0%,1%,1%,2%,0%,F,,,,53000,G,2011,,,,,,,,,,,,,,,
070218,C8US,00029,     ,Bus US 29,Fontaine Ave Ext,104,City of Charlottesville,002,Albemarle County,0.37,US 29,SCL Charlottesville,14000,G,98%,0%,1%,1%,0%,0%,C,0.1012,F,0.5782,15000,G,2011,,,,,,,,,,,,,,,
613290,C8US,00029,     ,Bus US 29,Fontaine Ave,104,City of Charlottesville,104,City of Charlottesville,0.42,SCL Charlottesville,Jefferson Park Ave,13000,G,97%,0%,1%,1%,0%,0%,C,0.0924,F,0.5333,14000,G,2011,,,,,,,,,,,,,,,
613275,C8US,00029,     ,Bus US 29,Jefferson Park Ave,104,City of Charlottesville,104,City of Charlottesville,0.69,Fontaine Ave,Emmet St,14000,G,97%,0%,1%,1%,0%,0%,F,0.0816,F,0.6096,15000,G,2011,,,,,,,,,,,,,,,
613232,C8US,00029,     ,Bus US 29,Emmet St,104,City of Charlottesville,104,City of Charlottesville,0.53,Jefferson Park Ave,Ivy Rd,14000,G,97%,0%,1%,1%,0%,0%,F,0.0755,F,0.5102,15000,G,2011,,,,,,,,,,,,,,,
613269,C8US,00029,     ,Bus US 29,Emmet St,104,City of Charlottesville,104,City of Charlottesville,0.55,Ivy Rd,Arlington Blvd,25000,G,98%,0%,1%,1%,0%,0%,C,0.0731,F,0.5512,27000,G,2011,,,,,,,,,,,,,,,
613207,C8US,00029,     ,Bus US 29,Emmet St,104,City of Charlottesville,104,City of Charlottesville,0.45,Arlington Blvd,Barracks Rd,25000,G,98%,0%,1%,1%,0%,0%,F,0.0740,F,0.5644,26000,G,2011,,,,,,,,,,,,,,,
613204,C8US,00029,     ,Bus US 29,Emmet St,104,City of Charlottesville,104,City of Charlottesville,0.40,Barracks Rd,US 250 Bypass,32000,G,98%,0%,1%,1%,0%,0%,F,0.0779,F,0.5541,34000,G,2011,,,,,,,,,,,,,,,
070243,  IS,00064,E    ,I-64 EB, ,104,City of Charlottesville,002,Albemarle County,0.17,WCL Charlottesville,ECL Charlottesville,21000,G,89%,1%,1%,1%,9%,0%,F,,,,19000,G,2011,,41000,G,89%,1%,1%,0%,9%,0%,F,,,,39000,G
870005,  IS,00064,W    ,I-64 WB, ,104,City of Charlottesville,002,Albemarle County,0.20,WCL Charlottesville,ECL Charlottesville,19000,A,89%,1%,1%,0%,9%,0%,F,0.1164,A,0.0000,20000,A,2011,,41000,G,89%,1%,1%,0%,9%,0%,F,,,,39000,G
613302,  US,00250,     ,"US 250, US 29",Monacan Trail Rd,104,City of Charlottesville,104,City of Charlottesville,0.35,WCL Charlottesville,"US 29, Emmet St",37000,G,97%,0%,1%,1%,2%,0%,F,,,,39000,G,2011,,,,,,,,,,,,,,,
613203,  US,00250,     ,US 250, ,104,City of Charlottesville,104,City of Charlottesville,0.32,"US 29, Emmet St",104-3431 Hydraulic Rd,23000,G,98%,0%,1%,0%,0%,0%,F,0.1052,F,0.5306,26000,G,2011,,,,,,,,,,,,,,,
613274,  US,00250,     ,US 250, ,104,City of Charlottesville,104,City of Charlottesville,0.42,104-3431 Hydraulic Rd,Dairy Rd,43000,G,98%,0%,1%,0%,0%,0%,F,0.0848,F,0.5215,48000,G,2011,,,,,,,,,,,,,,,
070014,  US,00250,     ,US 250, ,104,City of Charlottesville,104,City of Charlottesville,0.60,Dairy Rd,Rugby Ave E Int,41000,F,98%,0%,1%,0%,0%,0%,C,0.0966,B,0.5199,46000,F,2011,,,,,,,,,,,,,,,
613211,  US,00250,     ,US 250, ,104,City of Charlottesville,104,City of Charlottesville,0.33,Rugby Ave E Int,McIntire Rd,41000,G,98%,0%,1%,0%,0%,0%,F,0.0858,F,0.5176,46000,G,2011,,,,,,,,,,,,,,,
613216,  US,00250,     ,US 250, ,104,City of Charlottesville,104,City of Charlottesville,0.27,McIntire Rd,Park St,36000,G,98%,0%,1%,0%,0%,0%,F,0.0833,F,0.5452,41000,G,2011,,,,,,,,,,,,,,,
613217,  US,00250,     ,US 250, ,104,City of Charlottesville,104,City of Charlottesville,0.26,Park St,Locust Ave,40000,G,98%,0%,1%,0%,0%,0%,F,0.0819,F,0.5310,44000,G,2011,,,,,,,,,,,,,,,
613230,  US,00250,     ,US 250,Long St,104,City of Charlottesville,104,City of Charlottesville,0.49,Locust Ave,Bus US 250 High St,38000,G,98%,0%,1%,0%,0%,0%,F,0.0811,F,0.5061,42000,G,2011,,,,,,,,,,,,,,,
613238,  US,00250,     ,"US 250, VA 20",Long St,104,City of Charlottesville,104,City of Charlottesville,0.06,Bus US 250 High St,ECL Charlottesville,38000,N,98%,0%,1%,0%,0%,0%,N,0.0811,N,0.5061,42000,N,2011,,,,,,,,,,,,,,,
613218,C1US,00250,     ,Bus US 250,Ivy Rd,104,City of Charlottesville,104,City of Charlottesville,0.50,WCL Charlottesville,Bus US 29 Emmet St,13000,G,98%,0%,1%,0%,0%,0%,F,0.0801,F,0.5236,14000,G,2011,,,,,,,,,,,,,,,
613229,C1US,00250,     ,Bus US 250,University Ave,104,City of Charlottesville,104,City of Charlottesville,0.28,Bus US 29 Emmet St,"Bus 1 US 250P, Rugby Rd",14000,G,96%,1%,3%,0%,0%,0%,F,0.0706,F,0.5125,15000,G,2011,,20000,G,96%,1%,2%,0%,0%,0%,F,0.0751,F,0.5163,21000,G
613221,C1US,00250,     ,Bus US 250,University Ave,104,City of Charlottesville,104,City of Charlottesville,0.12,"Bus 1 US 250P, Rugby Rd",Chancellor St,14000,G,96%,1%,3%,0%,0%,0%,F,0.0744,F,0.5170,15000,G,2011,,19000,G,96%,1%,2%,0%,0%,0%,F,0.0772,F,0.5557,21000,G
613222,C1US,00250,     ,Bus US 250,University Ave,104,City of Charlottesville,104,City of Charlottesville,0.19,Chancellor St,C&O RR Crossing,14000,G,96%,1%,3%,0%,0%,0%,F,0.0738,F,0.5014,15000,G,2011,,19000,G,96%,1%,2%,0%,0%,0%,F,0.0764,F,0.5434,20000,G
613223,C1US,00250,     ,Bus US 250,Main St,104,City of Charlottesville,104,City of Charlottesville,0.09,C&O RR Crossing,Jefferson Park Ave,14000,G,99%,0%,0%,0%,0%,0%,F,0.0693,F,0.5074,15000,G,2011,,20000,G,99%,0%,1%,0%,0%,0%,F,0.0744,F,0.5037,21000,G
613225,C1US,00250,     ,Bus US 250,Main St,104,City of Charlottesville,104,City of Charlottesville,0.73,Jefferson Park Ave,McIntire Rd,14000,G,96%,1%,3%,0%,0%,0%,C,0.0744,F,0.5744,15000,G,2011,,35000,G,97%,1%,2%,0%,0%,0%,C,0.0825,F,0.5510,37000,G
613235,C1US,00250,     ,Bus US 250,McIntire Rd,104,City of Charlottesville,104,City of Charlottesville,0.22,Main St,"104-3405, Bus US 250 Par",23000,G,99%,0%,0%,0%,0%,0%,F,,,,25000,G,2011,,28000,G,99%,0%,1%,0%,0%,0%,F,,,,31000,G
613245,C1US,00250,     ,"Bus US 250, Bus US 250 Par",McIntire Rd,104,City of Charlottesville,104,City of Charlottesville,0.03,"104-3405, Bus US 250 Par",Preston Ave,23000,N,99%,0%,0%,0%,0%,0%,N,,,,25000,N,2011,,,,,,,,,,,,,,,
613237,C1US,00250,     ,Bus US 250,Market St,104,City of Charlottesville,104,City of Charlottesville,0.53,Preston Ave,SR 20 9th St; Avon St,9900,G,99%,0%,0%,0%,0%,0%,F,0.0843,F,0.5671,11000,G,2011,,17000,G,99%,0%,1%,0%,0%,0%,F,0.0872,F,0.5746,18000,G
613240,C1US,00250,     ,"VA 20, Bus US 250",9th St,104,City of Charlottesville,104,City of Charlottesville,0.12,Market St,High St,14000,G,98%,0%,1%,0%,1%,0%,F,0.0880,F,0.6068,15000,G,2011,,,,,,,,,,,,,,,
613241,C1US,00250,     ,"Bus US 250, VA 20",High St,104,City of Charlottesville,104,City of Charlottesville,0.23,SR 20 9th St,11th St,11000,G,99%,0%,0%,0%,0%,0%,F,0.0880,F,0.5809,11000,G,2011,,,,,,,,,,,,,,,
613242,C1US,00250,     ,"Bus US 250, VA 20",High St,104,City of Charlottesville,104,City of Charlottesville,0.21,11th St,Gillespie Ave,10000,G,99%,0%,0%,0%,0%,0%,C,0.0878,F,0.6234,11000,G,2011,,,,,,,,,,,,,,,
613243,C1US,00250,     ,"Bus US 250, VA 20",High St,104,City of Charlottesville,104,City of Charlottesville,0.45,Gillespie Ave,Long St,20000,G,99%,0%,0%,0%,0%,0%,F,0.0851,F,0.5891,21000,G,2011,,,,,,,,,,,,,,,
613219,C1US,00250,P    ,Bus US 250 Par,Rugby Rd,104,City of Charlottesville,104,City of Charlottesville,0.38,University Ave,Grady Ave,5600,G,98%,0%,1%,0%,0%,0%,F,,,,6000,G,2011,,28000,G,99%,0%,1%,0%,0%,0%,F,,,,31000,G
613220,C1US,00250,P    ,Bus US 250 Par,Grady Ave,104,City of Charlottesville,104,City of Charlottesville,0.57,Rugby Rd,Preston Ave,5300,G,98%,0%,1%,0%,0%,0%,F,0.0922,F,0.5038,5700,G,2011,,19000,G,96%,1%,2%,0%,0%,0%,F,0.0764,F,0.5434,20000,G
613226,C1US,00250,P    ,Bus US 250 Par,Preston Ave,104,City of Charlottesville,104,City of Charlottesville,0.51,Grady Ave,Market St,21000,G,98%,0%,1%,0%,0%,0%,C,0.0862,F,0.5245,23000,G,2011,,35000,G,97%,1%,2%,0%,0%,0%,C,0.0825,F,0.5510,37000,G
613245,C1US,00250,P    ,"Bus US 250, Bus US 250 Par",McIntire Rd,104,City of Charlottesville,104,City of Charlottesville,0.03,Market St,Preston Ave,23000,N,99%,0%,0%,0%,0%,0%,N,,,,25000,N,2011,,,,,,,,,,,,,,,
613236,C1US,00250,P    ,Bus US 250 Par,High St,104,City of Charlottesville,104,City of Charlottesville,0.54,Preston Ave,9th St,6700,G,98%,0%,1%,0%,0%,0%,F,0.0917,F,0.5848,7200,G,2011,,17000,G,99%,0%,1%,0%,0%,0%,F,0.0872,F,0.5746,18000,G
798786, 104,00001,     ,104-1,10th St,104,City of Charlottesville,104,City of Charlottesville,0.28,Water St,Bus US 250,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
613250, 104,00002,     ,104-2,Garret St,104,City of Charlottesville,104,City of Charlottesville,0.45,Ridge St,Avon St,3100,G,97%,1%,2%,0%,1%,0%,C,0.0883,F,0.5686,3300,G,2011,,,,,,,,,,,,,,,
613604, 104,00003,     ,104-3,Kenwood Lane,104,City of Charlottesville,104,City of Charlottesville,0.50,Meadowbrook Heights Rd,Melbourne Rd,610,G,97%,0%,2%,0%,0%,0%,C,0.1287,F,0.5542,640,G,2011,,,,,,,,,,,,,,,
613603, 104,00004,     ,104-4,Lane Rd,104,City of Charlottesville,104,City of Charlottesville,0.39,Jefferson Park Ave,Lee St,1900,G,88%,2%,8%,2%,1%,0%,C,0.1016,F,0.5846,2100,G,2011,,,,,,,,,,,,,,,
613299, 104,00005,     ,104-5,Millmont St,104,City of Charlottesville,104,City of Charlottesville,0.46,Arlington Blvd,Barracks Rd,12000,G,99%,0%,1%,0%,0%,0%,C,0.0939,F,0.6231,13000,G,2011,,,,,,,,,,,,,,,
613602, 104,00006,     ,104-6,Yorktown Dr,104,City of Charlottesville,104,City of Charlottesville,0.31,Meadowbrook Hghts,Brandywine Dr,1100,G,99%,0%,1%,0%,0%,0%,F,0.1310,F,0.5982,1200,G,2011,,,,,,,,,,,,,,,
613291, 104,00007,     ,104-7,McCormick Rd,104,City of Charlottesville,104,City of Charlottesville,0.27,Alderman Rd,Emmet St,4700,G,89%,1%,9%,0%,0%,0%,C,0.0970,F,0.5665,5000,G,2011,,,,,,,,,,,,,,,
613287, 104,00007,     ,104-7,McCormick Rd,104,City of Charlottesville,104,City of Charlottesville,0.42,Emmet St,University Ave,3600,G,89%,1%,9%,0%,0%,0%,F,0.1187,F,0.5369,3800,G,2011,,,,,,,,,,,,,,,
781615, 104,00008,     ,104-8,Melbourne Rd,104,City of Charlottesville,104,City of Charlottesville,0.08,104-3412 Grove Rd,Kenwood Lane,690,G,97%,0%,2%,0%,0%,0%,F,0.1320,F,0.5317,730,G,2011,,,,,,,,,,,,,,,
613294, 104,00009,     ,104-9,Massie Rd,104,City of Charlottesville,104,City of Charlottesville,0.96,Bus US 29 Emmet St,Arlington Blvd,6500,G,96%,0%,3%,0%,0%,0%,C,0.1135,F,0.5402,6900,G,2011,,,,,,,,,,,,,,,
613246, 104,03400,     ,104-3400,Cleveland Ave,104,City of Charlottesville,104,City of Charlottesville,0.23,Jefferson Park Ave,Cherry Ave,3300,G,98%,0%,2%,0%,0%,0%,C,0.1053,F,0.5718,3400,G,2011,,,,,,,,,,,,,,,
613247, 104,03400,     ,104-3400,Cherry Ave,104,City of Charlottesville,104,City of Charlottesville,0.85,Cleveland Ave,Spring St,5700,G,98%,0%,2%,0%,0%,0%,C,0.0987,F,0.5889,5900,G,2011,,,,,,,,,,,,,,,
613248, 104,03400,     ,104-3400,Cherry Ave,104,City of Charlottesville,104,City of Charlottesville,0.68,Spring St,Ridge St,6000,G,98%,0%,2%,0%,0%,0%,F,0.0891,F,0.6133,6200,G,2011,,,,,,,,,,,,,,,
613600, 104,03400,     ,104-3400,Cherry Ave,104,City of Charlottesville,104,City of Charlottesville,0.25,Ridge St,1St Street,12000,G,98%,0%,2%,0%,0%,0%,F,0.0880,F,0.5704,12000,G,2011,,,,,,,,,,,,,,,
613251, 104,03400,     ,104-3400,Elliot Ave,104,City of Charlottesville,104,City of Charlottesville,0.28,1st Street,Avon St,11000,G,98%,0%,2%,0%,0%,0%,C,0.0882,F,0.5685,12000,G,2011,,,,,,,,,,,,,,,
613255, 104,03400,     ,104-3400,Elliot Ave,104,City of Charlottesville,104,City of Charlottesville,0.39,Avon St,Monticello Ave,3200,G,98%,0%,2%,0%,0%,0%,F,0.0893,F,0.5790,3300,G,2011,,,,,,,,,,,,,,,
613284, 104,03401,     ,104-3401,Old Lynchburg Rd,104,City of Charlottesville,104,City of Charlottesville,0.65,SCL Charlottesville,Jefferson Park Ave,4400,G,99%,0%,1%,0%,0%,0%,C,0.1009,F,0.6616,4600,G,2011,,,,,,,,,,,,,,,
781616, 104,03402,     ,104-3402,Monticello Ave,104,City of Charlottesville,104,City of Charlottesville,0.49,Ridge St,SR 20 Avon St,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
613283, 104,03403,     ,104-3403,Harris Rd,104,City of Charlottesville,104,City of Charlottesville,0.63,5th St,Jefferson Park Ave,3400,G,98%,0%,1%,0%,0%,0%,C,0.1119,F,0.6010,3600,G,2011,,,,,,,,,,,,,,,
613285, 104,03403,     ,104-3403,Jefferson Park Ave,104,City of Charlottesville,104,City of Charlottesville,0.27,Harris Rd,Old Lynchburg Rd,3700,G,98%,0%,1%,0%,0%,0%,F,0.1137,F,0.6703,3900,G,2011,,,,,,,,,,,,,,,
613286, 104,03403,     ,104-3403,Jefferson Park Ave,104,City of Charlottesville,104,City of Charlottesville,0.16,Old Lynchburg Rd,Cleveland Ave,8200,G,99%,0%,1%,0%,0%,0%,F,0.0953,F,0.6818,8500,G,2011,,,,,,,,,,,,,,,
613244, 104,03403,     ,104-3403,Jefferson Park Ave,104,City of Charlottesville,104,City of Charlottesville,0.38,Cleveland Ave,Bus US 29; Fontiane Ave,10000,G,99%,0%,1%,0%,0%,0%,C,0.0941,F,0.6306,11000,G,2011,,,,,,,,,,,,,,,
613289, 104,03403,     ,104-3403,Maury Ave,104,City of Charlottesville,104,City of Charlottesville,0.21,Bus US 29; Fontaine Ave,Stadium Rd,6900,G,99%,0%,1%,0%,0%,0%,F,0.1008,F,0.6078,7400,G,2011,,,,,,,,,,,,,,,
613231, 104,03403,     ,104-3403,Alderman Rd,104,City of Charlottesville,104,City of Charlottesville,0.05,Stadium Rd,Thompson Rd,7500,G,95%,0%,3%,2%,0%,0%,C,0.0966,F,0.5026,8000,G,2011,,,,,,,,,,,,,,,
613293, 104,03403,     ,104-3403,Alderman Rd,104,City of Charlottesville,104,City of Charlottesville,0.42,Thompson Rd,Bus US 250; Ivy Rd,10000,G,95%,0%,3%,2%,0%,0%,F,0.1001,F,0.5772,11000,G,2011,,,,,,,,,,,,,,,
613265, 104,03404,     ,104-3404,E Market St,104,City of Charlottesville,104,City of Charlottesville,0.48,9th St,Meade Ave,5700,G,98%,0%,1%,0%,0%,0%,C,0.0995,F,0.6513,5800,G,2011,,,,,,,,,,,,,,,
613264, 104,03405,     ,104-3405,5th St,104,City of Charlottesville,104,City of Charlottesville,1.42,SCL Charlottesville,Cherry Ave,17000,G,98%,0%,1%,0%,0%,0%,C,0.0946,F,0.6119,18000,G,2011,,,,,,,,,,,,,,,
613249, 104,03405,     ,104-3405,Ridge St,104,City of Charlottesville,104,City of Charlottesville,0.22,Cherry St,Dice St,15000,G,98%,0%,1%,0%,0%,0%,C,0.0828,F,0.6243,16000,G,2011,,,,,,,,,,,,,,,
613260, 104,03405,     ,104-3405,Ridge St,104,City of Charlottesville,104,City of Charlottesville,0.17,Dice St,Main St,21000,G,98%,0%,1%,0%,0%,0%,F,0.0868,F,0.6304,23000,G,2011,,,,,,,,,,,,,,,
613227, 104,03405,     ,104-3405,McIntire Rd,104,City of Charlottesville,104,City of Charlottesville,0.64,US 250 Bus Preston Ave,Harris St,14000,G,97%,0%,1%,1%,1%,0%,F,0.0869,F,0.5615,15000,G,2011,,,,,,,,,,,,,,,
613215, 104,03405,     ,104-3405,McIntire Rd,104,City of Charlottesville,104,City of Charlottesville,0.18,Harris St,US 250 Bypass,19000,G,97%,0%,1%,1%,1%,0%,C,0.0801,F,0.5297,20000,G,2011,,,,,,,,,,,,,,,
613239, 104,03406,     ,104-3406,Water St,104,City of Charlottesville,104,City of Charlottesville,0.32,Bus US 250,4th St,5000,G,94%,1%,5%,0%,0%,0%,C,0.0889,F,0.5190,5300,G,2011,,,,,,,,,,,,,,,
613606, 104,03406,     ,104-3406,Water St,104,City of Charlottesville,104,City of Charlottesville,0.32,4th St,10th St,4600,G,94%,1%,5%,0%,0%,0%,F,0.0967,F,0.5851,4700,G,2011,,,,,,,,,,,,,,,
613282, 104,03407,     ,104-3407,Avon St,104,City of Charlottesville,104,City of Charlottesville,0.20,SCL Charlottesville,Rockland Ave,11000,G,97%,0%,2%,0%,0%,0%,C,0.0968,F,0.6753,12000,G,2011,,,,,,,,,,,,,,,
613258, 104,03407,     ,104-3407,Avon St,104,City of Charlottesville,104,City of Charlottesville,0.50,Rockland Ave,Monticello Ave,13000,G,97%,0%,2%,0%,0%,0%,F,0.0888,F,0.6206,14000,G,2011,,,,,,,,,,,,,,,
613266, 104,03409,     ,104-3409,Carlton Rd,104,City of Charlottesville,104,City of Charlottesville,0.46,Monticello Ave,Meade Ave,7500,G,97%,0%,2%,0%,1%,0%,C,0.0916,F,0.5753,8000,G,2011,,,,,,,,,,,,,,,
613601, 104,03409,     ,104-3409,Meade Ave,104,City of Charlottesville,104,City of Charlottesville,0.17,Carlton Rd,E Market St,9300,G,97%,0%,2%,0%,1%,0%,F,0.0808,F,0.5886,9900,G,2011,,,,,,,,,,,,,,,
613253, 104,03409,     ,104-3409,Meade Ave,104,City of Charlottesville,104,City of Charlottesville,0.46,E Market St,High St E,10000,G,97%,0%,2%,0%,1%,0%,F,0.0818,F,0.5566,11000,G,2011,,,,,,,,,,,,,,,
613233, 104,03410,     ,104-3410,Jefferson Park Ave,104,City of Charlottesville,104,City of Charlottesville,0.57,Emmet St,Main St,14000,G,95%,0%,3%,0%,0%,0%,C,0.0811,F,0.6080,14000,G,2011,,,,,,,,,,,,,,,
613271, 104,03411,     ,104-3411,Shamrock Rd,104,City of Charlottesville,104,City of Charlottesville,0.42,Cherry Ave,Jefferson Park Ave,2900,G,99%,0%,0%,0%,0%,0%,C,0.1040,F,0.6221,3000,G,2011,,,,,,,,,,,,,,,
613318, 104,03412,     ,104-3412,Locust Ave,104,City of Charlottesville,104,City of Charlottesville,0.29,Bus US 250,Hazel St,7100,G,99%,0%,1%,0%,0%,0%,F,0.0962,F,0.6336,7600,G,2011,,,,,,,,,,,,,,,
613317, 104,03412,     ,104-3412,Locust Ave,104,City of Charlottesville,104,City of Charlottesville,0.25,Hazel St,US 250,7400,G,99%,0%,1%,0%,0%,0%,C,0.0947,F,0.6387,7900,G,2011,,,,,,,,,,,,,,,
613316, 104,03412,     ,104-3412,Locust Ave,104,City of Charlottesville,104,City of Charlottesville,0.21,US 250,Calhoun St,3700,G,99%,0%,1%,0%,0%,0%,F,0.1193,F,0.7025,4000,G,2011,,,,,,,,,,,,,,,
613315, 104,03412,     ,104-3412,Calhoun St,104,City of Charlottesville,104,City of Charlottesville,0.22,Locust Ave,Sheridan Ave,3600,G,99%,0%,1%,0%,0%,0%,C,0.1359,F,0.6462,3800,G,2011,,,,,,,,,,,,,,,
613314, 104,03412,     ,104-3412,Sheridan Ave,104,City of Charlottesville,104,City of Charlottesville,0.04,Calhoun St,North Ave,3500,G,99%,0%,1%,0%,0%,0%,F,0.1246,F,0.6595,3800,G,2011,,,,,,,,,,,,,,,
613313, 104,03412,     ,104-3412,North Ave,104,City of Charlottesville,104,City of Charlottesville,0.30,Sheridan Ave,Park St,3400,G,98%,0%,1%,0%,0%,0%,C,0.1190,F,0.6605,3700,G,2011,,,,,,,,,,,,,,,
613311, 104,03412,     ,104-3412,Melbourne Rd,104,City of Charlottesville,104,City of Charlottesville,0.77,Park St,Grove Rd,2400,G,,,,,,,X,,,,2600,G,2011,,,,,,,,,,,,,,,
613310, 104,03412,     ,104-3412,Grove Rd,104,City of Charlottesville,104,City of Charlottesville,0.31,Melbourne Rd,Concord Dr,1300,G,96%,0%,3%,1%,0%,0%,C,0.1541,F,0.5256,1400,G,2011,,,,,,,,,,,,,,,
613306, 104,03412,     ,104-3412,Grove Rd,104,City of Charlottesville,104,City of Charlottesville,0.38,Concord Dr,US 250 Bypass,3100,G,96%,0%,2%,1%,0%,0%,C,0.1656,F,0.5037,3300,G,2011,,,,,,,,,,,,,,,
613305, 104,03412,     ,104-3412,Dairy Rd,104,City of Charlottesville,104,City of Charlottesville,0.40,US 250 Bypass,Rugby Rd,1900,G,98%,0%,1%,0%,0%,0%,C,0.1182,F,0.6208,2000,G,2011,,,,,,,,,,,,,,,
613609, 104,03413,     ,104-3413,2nd Street South East,104,City of Charlottesville,104,City of Charlottesville,0.25,E South St,E Water St,3700,G,97%,1%,1%,0%,0%,0%,C,0.0913,F,1.0000,4000,G,2011,,,,,,,,,,,,,,,
613209, 104,03414,     ,104-3414,Rugby Ave,104,City of Charlottesville,104,City of Charlottesville,0.52,Rugby Rd,Rose Hill Dr,1900,G,98%,0%,1%,0%,0%,0%,C,0.0997,F,0.5160,2000,G,2011,,,,,,,,,,,,,,,
613210, 104,03414,     ,104-3414,Rugby Ave,104,City of Charlottesville,104,City of Charlottesville,0.36,Rose Hill Dr,US 250 Bypass,6400,G,98%,0%,1%,0%,0%,0%,F,0.1070,F,0.6763,6900,G,2011,,,,,,,,,,,,,,,
613301, 104,03416,     ,104-3416,Angus Rd,104,City of Charlottesville,104,City of Charlottesville,0.38,Ricky Rd,Emmet St,2600,G,97%,0%,1%,1%,0%,0%,C,0.1083,F,0.5579,2900,G,2011,,,,,,,,,,,,,,,
613288, 104,03417,     ,104-3417,Stadium Rd,104,City of Charlottesville,104,City of Charlottesville,0.51,Maury Ave,Emmet St,3200,G,96%,0%,4%,0%,0%,0%,C,0.0933,F,0.5810,3400,G,2011,,,,,,,,,,,,,,,
