Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town of Irvington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
060249,  SR,00200,     ,VA 200,Irvington Rd,242,Town of Irvington,051,Lancaster County,1.68,ECL Irvington,NCL Irvington,6300,N,97%,0%,0%,2%,0%,0%,N,0.0889,N,0.0000,6500,N,2011,,,,,,,,,,,,,,,
748758,  51,00633,     ,51-633,Carters Creek Rd,242,Town of Irvington,051,Lancaster County,0.05,Dead End,51-657 Rappahannock Rd,30,R,,,,,,,X,,,,,,08/18/2008,,,,,,,,,,,,,,,
748759,  51,00633,     ,51-633,Carters Creek Rd,242,Town of Irvington,051,Lancaster County,0.10,51-657 Rappahannock Rd,51-634 King Carter Dr,230,R,,,,,,,X,,,,,,08/18/2008,,,,,,,,,,,,,,,
748760,  51,00634,     ,51-634,King Carter Dr,242,Town of Irvington,051,Lancaster County,0.20,Dead End,51-721 Railway Rd,70,R,,,,,,,X,,,,,,08/18/2008,,,,,,,,,,,,,,,
748761,  51,00634,     ,51-634,King Carter Dr,242,Town of Irvington,051,Lancaster County,0.05,51-721 Railway Rd,51-633 Carters Creek Rd,130,R,,,,,,,X,,,,,,08/18/2008,,,,,,,,,,,,,,,
302180,  51,00634,     ,51-634,King Carter Dr,242,Town of Irvington,051,Lancaster County,0.50,51-633 Carters Creek Rd,51-672 Virginia Rd,650,F,97%,0%,1%,1%,1%,0%,F,0.1223,F,0.0000,660,F,2011,,,,,,,,,,,,,,,
302181,  51,00634,     ,51-634,King Carter Dr,242,Town of Irvington,051,Lancaster County,0.46,51-672 Virginia Rd,SR 200 Irvington Rd,1500,F,97%,0%,1%,1%,1%,0%,C,0.0964,F,0.0000,1500,F,2011,,,,,,,,,,,,,,,
748762,  51,00635,     ,51-635,Steamboat Rd,242,Town of Irvington,051,Lancaster County,0.19,Dead End,51-776 Seafood Lane,380,R,,,,,,,X,,,,,,08/18/2008,,,,,,,,,,,,,,,
748763,  51,00635,     ,51-635,Steamboat Rd,242,Town of Irvington,051,Lancaster County,0.04,51-776 Seafood Lane,51-636 The Lane,600,R,,,,,,,X,,,,,,08/18/2008,,,,,,,,,,,,,,,
748764,  51,00635,     ,51-635,Steamboat Rd,242,Town of Irvington,051,Lancaster County,0.19,51-636 The Lane,SR 200 Irvington Rd,950,R,,,,,,,X,,,,,,08/18/2008,,,,,,,,,,,,,,,
748765,  51,00636,     ,51-636,The Lane,242,Town of Irvington,051,Lancaster County,0.15,51-635 Steamboat Rd,51-746 Cedardale Lane,350,R,,,,,,,X,,,,,,04/07/2011,,,,,,,,,,,,,,,
