ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,(Wide),ReportID:,2230,DataYear:,2011,Prepared,8/22/2012
,,Jurisdiction,,Class,,Class,,,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,(Miles),Length
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Southwestern Region,005,Amherst County,2,Rural Principal Arterial - Other,01,Motorcycles,              ,,,,,,,370,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,0.00%,,
1,Southwestern Region,005,Amherst County,2,Rural Principal Arterial - Other,02,Passenger Cars,              ,,,,,,,55,567,0.08%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,567,0.03%,,
1,Southwestern Region,005,Amherst County,2,Rural Principal Arterial - Other,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,,,,,,,12,567,0.02%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,567,0.01%,,
1,Southwestern Region,005,Amherst County,2,Rural Principal Arterial - Other,04,Busses,              ,,,,,,,545,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545,0.00%,,
1,Southwestern Region,005,Amherst County,2,Rural Principal Arterial - Other,05,"Two Axle, 6 Tire Single Unit Trucks",              ,,,,,,,676,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676,0.00%,,
1,Southwestern Region,005,Amherst County,2,Rural Principal Arterial - Other,06,Three Axle Single Unit Trucks,              ,,,,,,,406,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,0.00%,,
1,Southwestern Region,005,Amherst County,2,Rural Principal Arterial - Other,07,Four or More Axle Single Unit Trucks,              ,,,,,,,55,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,0.00%,,
1,Southwestern Region,005,Amherst County,2,Rural Principal Arterial - Other,08,Four Axle or Fewer Single Trailers,              ,,,,,,,450,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,0.00%,,
1,Southwestern Region,005,Amherst County,2,Rural Principal Arterial - Other,09,Five Axle Single Trailers,              ,,,,,,,6,145,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,145,0.00%,,
1,Southwestern Region,005,Amherst County,2,Rural Principal Arterial - Other,10,Six or More Axle Single Trailers,              ,,,,,,,87,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,0.00%,,
1,Southwestern Region,005,Amherst County,2,Rural Principal Arterial - Other,11,Five Axle or Fewer Multi-Trailers,              ,,,,,,,325,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,0.00%,,
1,Southwestern Region,005,Amherst County,2,Rural Principal Arterial - Other,12,Six Axle Multi-Trailers,              ,,,,,,,54,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0.00%,,
1,Southwestern Region,005,Amherst County,2,Rural Principal Arterial - Other,13,Seven or More Axle Multi-Trailers,              ,,,,,,,1,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.00%,,
1,Southwestern Region,005,Amherst County,6,Rural Minor Arterial,01,Motorcycles,              ,,,,,,,1,374,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,374,0.00%,,
1,Southwestern Region,005,Amherst County,6,Rural Minor Arterial,02,Passenger Cars,              ,,,,,,,80,945,0.12%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,945,0.04%,,
1,Southwestern Region,005,Amherst County,6,Rural Minor Arterial,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,,,,,,,29,110,0.04%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,110,0.01%,,
1,Southwestern Region,005,Amherst County,6,Rural Minor Arterial,04,Busses,              ,,,,,,,1,035,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,035,0.00%,,
1,Southwestern Region,005,Amherst County,6,Rural Minor Arterial,05,"Two Axle, 6 Tire Single Unit Trucks",              ,,,,,,,1,654,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,654,0.00%,,
1,Southwestern Region,005,Amherst County,6,Rural Minor Arterial,06,Three Axle Single Unit Trucks,              ,,,,,,,2,019,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,019,0.00%,,
1,Southwestern Region,005,Amherst County,6,Rural Minor Arterial,07,Four or More Axle Single Unit Trucks,              ,,,,,,,537,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537,0.00%,,
1,Southwestern Region,005,Amherst County,6,Rural Minor Arterial,08,Four Axle or Fewer Single Trailers,              ,,,,,,,553,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553,0.00%,,
1,Southwestern Region,005,Amherst County,6,Rural Minor Arterial,09,Five Axle Single Trailers,              ,,,,,,,9,413,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,413,0.00%,,
1,Southwestern Region,005,Amherst County,6,Rural Minor Arterial,10,Six or More Axle Single Trailers,              ,,,,,,,73,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.00%,,
1,Southwestern Region,005,Amherst County,6,Rural Minor Arterial,13,Seven or More Axle Multi-Trailers,              ,,,,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,005,Amherst County,7,Rural Major Collector,01,Motorcycles,              ,123,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,0.00%,,
1,Southwestern Region,005,Amherst County,7,Rural Major Collector,02,Passenger Cars,              ,36,195,0.09%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,195,0.02%,,
1,Southwestern Region,005,Amherst County,7,Rural Major Collector,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,11,456,0.03%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,456,0.01%,,
1,Southwestern Region,005,Amherst County,7,Rural Major Collector,04,Busses,              ,556,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,0.00%,,
1,Southwestern Region,005,Amherst County,7,Rural Major Collector,05,"Two Axle, 6 Tire Single Unit Trucks",              ,530,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,0.00%,,
1,Southwestern Region,005,Amherst County,7,Rural Major Collector,06,Three Axle Single Unit Trucks,              ,334,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,0.00%,,
1,Southwestern Region,005,Amherst County,7,Rural Major Collector,07,Four or More Axle Single Unit Trucks,              ,81,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,0.00%,,
1,Southwestern Region,005,Amherst County,7,Rural Major Collector,08,Four Axle or Fewer Single Trailers,              ,73,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.00%,,
1,Southwestern Region,005,Amherst County,7,Rural Major Collector,09,Five Axle Single Trailers,              ,1,088,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,088,0.00%,,
1,Southwestern Region,005,Amherst County,7,Rural Major Collector,10,Six or More Axle Single Trailers,              ,28,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0.00%,,
1,Southwestern Region,005,Amherst County,7,Rural Major Collector,11,Five Axle or Fewer Multi-Trailers,              ,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,005,Amherst County,7,Rural Major Collector,13,Seven or More Axle Multi-Trailers,              ,1,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.00%,,
1,Southwestern Region,005,Amherst County,8,Rural Minor Collector,01,Motorcycles,              ,14,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.00%,,
1,Southwestern Region,005,Amherst County,8,Rural Minor Collector,02,Passenger Cars,              ,7,846,0.02%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,846,0.00%,,
1,Southwestern Region,005,Amherst County,8,Rural Minor Collector,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,2,255,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,255,0.00%,,
1,Southwestern Region,005,Amherst County,8,Rural Minor Collector,04,Busses,              ,228,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,0.00%,,
1,Southwestern Region,005,Amherst County,8,Rural Minor Collector,05,"Two Axle, 6 Tire Single Unit Trucks",              ,121,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,0.00%,,
1,Southwestern Region,005,Amherst County,8,Rural Minor Collector,06,Three Axle Single Unit Trucks,              ,39,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0.00%,,
1,Southwestern Region,005,Amherst County,8,Rural Minor Collector,07,Four or More Axle Single Unit Trucks,              ,5,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.00%,,
1,Southwestern Region,005,Amherst County,8,Rural Minor Collector,08,Four Axle or Fewer Single Trailers,              ,6,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.00%,,
1,Southwestern Region,005,Amherst County,8,Rural Minor Collector,09,Five Axle Single Trailers,              ,11,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.00%,,
1,Southwestern Region,005,Amherst County,9,Rural Local System,01,Motorcycles,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,005,Amherst County,9,Rural Local System,02,Passenger Cars,              ,44,116,0.11%,0.02%,,,,6,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,122,0.02%,,
1,Southwestern Region,005,Amherst County,9,Rural Local System,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,005,Amherst County,9,Rural Local System,04,Busses,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,005,Amherst County,9,Rural Local System,05,"Two Axle, 6 Tire Single Unit Trucks",              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,005,Amherst County,9,Rural Local System,06,Three Axle Single Unit Trucks,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,005,Amherst County,9,Rural Local System,07,Four or More Axle Single Unit Trucks,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,005,Amherst County,9,Rural Local System,08,Four Axle or Fewer Single Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,005,Amherst County,9,Rural Local System,09,Five Axle Single Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,005,Amherst County,9,Rural Local System,10,Six or More Axle Single Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,005,Amherst County,9,Rural Local System,11,Five Axle or Fewer Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,005,Amherst County,9,Rural Local System,12,Six Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,005,Amherst County,12,Urban Principal Arterial - Other Freeways or Expressways,01,Motorcycles,              ,,,,,,,1,269,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,269,0.00%,,
1,Southwestern Region,005,Amherst County,12,Urban Principal Arterial - Other Freeways or Expressways,02,Passenger Cars,              ,,,,,,,215,301,0.32%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,301,0.10%,,
1,Southwestern Region,005,Amherst County,12,Urban Principal Arterial - Other Freeways or Expressways,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,,,,,,,47,196,0.07%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,196,0.02%,,
1,Southwestern Region,005,Amherst County,12,Urban Principal Arterial - Other Freeways or Expressways,04,Busses,              ,,,,,,,1,832,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,832,0.00%,,
1,Southwestern Region,005,Amherst County,12,Urban Principal Arterial - Other Freeways or Expressways,05,"Two Axle, 6 Tire Single Unit Trucks",              ,,,,,,,2,386,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,386,0.00%,,
1,Southwestern Region,005,Amherst County,12,Urban Principal Arterial - Other Freeways or Expressways,06,Three Axle Single Unit Trucks,              ,,,,,,,1,432,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,432,0.00%,,
1,Southwestern Region,005,Amherst County,12,Urban Principal Arterial - Other Freeways or Expressways,07,Four or More Axle Single Unit Trucks,              ,,,,,,,212,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,0.00%,,
1,Southwestern Region,005,Amherst County,12,Urban Principal Arterial - Other Freeways or Expressways,08,Four Axle or Fewer Single Trailers,              ,,,,,,,1,547,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,547,0.00%,,
1,Southwestern Region,005,Amherst County,12,Urban Principal Arterial - Other Freeways or Expressways,09,Five Axle Single Trailers,              ,,,,,,,20,088,0.03%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,088,0.01%,,
1,Southwestern Region,005,Amherst County,12,Urban Principal Arterial - Other Freeways or Expressways,10,Six or More Axle Single Trailers,              ,,,,,,,284,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,0.00%,,
1,Southwestern Region,005,Amherst County,12,Urban Principal Arterial - Other Freeways or Expressways,11,Five Axle or Fewer Multi-Trailers,              ,,,,,,,1,042,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,042,0.00%,,
1,Southwestern Region,005,Amherst County,12,Urban Principal Arterial - Other Freeways or Expressways,12,Six Axle Multi-Trailers,              ,,,,,,,173,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,0.00%,,
1,Southwestern Region,005,Amherst County,12,Urban Principal Arterial - Other Freeways or Expressways,13,Seven or More Axle Multi-Trailers,              ,,,,,,,2,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.00%,,
1,Southwestern Region,005,Amherst County,14,Urban Principal Arterial - Other,01,Motorcycles,              ,,,,,,,1,187,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,187,0.00%,,
1,Southwestern Region,005,Amherst County,14,Urban Principal Arterial - Other,02,Passenger Cars,              ,,,,,,,139,487,0.21%,0.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,487,0.06%,,
1,Southwestern Region,005,Amherst County,14,Urban Principal Arterial - Other,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,,,,,,,35,082,0.05%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,082,0.02%,,
1,Southwestern Region,005,Amherst County,14,Urban Principal Arterial - Other,04,Busses,              ,,,,,,,911,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911,0.00%,,
1,Southwestern Region,005,Amherst County,14,Urban Principal Arterial - Other,05,"Two Axle, 6 Tire Single Unit Trucks",              ,,,,,,,1,144,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,144,0.00%,,
1,Southwestern Region,005,Amherst County,14,Urban Principal Arterial - Other,06,Three Axle Single Unit Trucks,              ,,,,,,,1,057,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,057,0.00%,,
1,Southwestern Region,005,Amherst County,14,Urban Principal Arterial - Other,07,Four or More Axle Single Unit Trucks,              ,,,,,,,190,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,0.00%,,
1,Southwestern Region,005,Amherst County,14,Urban Principal Arterial - Other,08,Four Axle or Fewer Single Trailers,              ,,,,,,,634,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,0.00%,,
1,Southwestern Region,005,Amherst County,14,Urban Principal Arterial - Other,09,Five Axle Single Trailers,              ,,,,,,,4,576,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,576,0.00%,,
1,Southwestern Region,005,Amherst County,14,Urban Principal Arterial - Other,10,Six or More Axle Single Trailers,              ,,,,,,,51,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,0.00%,,
1,Southwestern Region,005,Amherst County,14,Urban Principal Arterial - Other,11,Five Axle or Fewer Multi-Trailers,              ,,,,,,,81,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,0.00%,,
1,Southwestern Region,005,Amherst County,14,Urban Principal Arterial - Other,12,Six Axle Multi-Trailers,              ,,,,,,,9,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.00%,,
1,Southwestern Region,005,Amherst County,14,Urban Principal Arterial - Other,13,Seven or More Axle Multi-Trailers,              ,,,,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,005,Amherst County,16,Urban Minor Arterial,01,Motorcycles,              ,41,0.00%,0.00%,,,,375,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,0.00%,,
1,Southwestern Region,005,Amherst County,16,Urban Minor Arterial,02,Passenger Cars,              ,11,197,0.03%,0.01%,,,,42,237,0.06%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,435,0.02%,,
1,Southwestern Region,005,Amherst County,16,Urban Minor Arterial,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,1,600,0.00%,0.00%,,,,12,027,0.02%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,627,0.01%,,
1,Southwestern Region,005,Amherst County,16,Urban Minor Arterial,04,Busses,              ,54,0.00%,0.00%,,,,280,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,0.00%,,
1,Southwestern Region,005,Amherst County,16,Urban Minor Arterial,05,"Two Axle, 6 Tire Single Unit Trucks",              ,89,0.00%,0.00%,,,,487,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576,0.00%,,
1,Southwestern Region,005,Amherst County,16,Urban Minor Arterial,06,Three Axle Single Unit Trucks,              ,36,0.00%,0.00%,,,,267,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,0.00%,,
1,Southwestern Region,005,Amherst County,16,Urban Minor Arterial,07,Four or More Axle Single Unit Trucks,              ,8,0.00%,0.00%,,,,51,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0.00%,,
1,Southwestern Region,005,Amherst County,16,Urban Minor Arterial,08,Four Axle or Fewer Single Trailers,              ,19,0.00%,0.00%,,,,232,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,0.00%,,
1,Southwestern Region,005,Amherst County,16,Urban Minor Arterial,09,Five Axle Single Trailers,              ,9,0.00%,0.00%,,,,1,632,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,642,0.00%,,
1,Southwestern Region,005,Amherst County,16,Urban Minor Arterial,10,Six or More Axle Single Trailers,              ,1,0.00%,0.00%,,,,5,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.00%,,
1,Southwestern Region,005,Amherst County,16,Urban Minor Arterial,11,Five Axle or Fewer Multi-Trailers,              ,1,0.00%,0.00%,,,,1,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.00%,,
1,Southwestern Region,005,Amherst County,16,Urban Minor Arterial,12,Six Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,005,Amherst County,16,Urban Minor Arterial,13,Seven or More Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Southwestern Region,005,Amherst County,17,Urban Collector,01,Motorcycles,              ,194,0.00%,0.00%,,,,12,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,0.00%,,
