ReportID:	1230	DataYear:	2011		ReportID:	1230	DataYear:	2011		ReportID:	1230	DataYear:	2011		ReportID:	1230	DataYear:	2011		ReportID:	1230	DataYear:	2011		ReportID:	1230	DataYear:	2011	Prepared	8/22/2012
Daily Vehicle Miles Traveled (DVMT) by Physical Jurisdiction by Federal Functional Class by FHWA Vehicle Class																														
Public Road Segments within the Commonwealth of Virginia																														
Road Length values temporarilly not included in this report pending publication of official road length values																														
2011																														
																														
									Secondary						Primary						Interstate						All Roads			
													%	%					%	%					%	%				%
										%	%		of	of		%	%		of	of		%	%		of	of		%		of
										of	of		Secondary	State		of	of		Primary	State		of	of		Interstate	State		of		State
				Federal		Federal				Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Interstate	State	Road	Total	Total		State	Road	Total
				Functional		Vehicle				Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Length	Road
		Jurisdiction		Class		Class			DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	(Miles)	Length
																														
 		001	Accomack County	2	Rural Principal Arterial - Other	01	Motorcycles	              	0	0.00%	0.00%				1,129	0.00%	0.00%				0	0.00%	0.00%				1,129	0.00%		
 		001	Accomack County	2	Rural Principal Arterial - Other	02	Passenger Cars	              	0	0.00%	0.00%				449,745	0.49%	0.20%				0	0.00%	0.00%				449,745	0.20%		
 		001	Accomack County	2	Rural Principal Arterial - Other	03	Two Axle, 4 Tire Single Unit Vehicles	              	0	0.00%	0.00%				114,808	0.13%	0.05%				0	0.00%	0.00%				114,808	0.05%		
 		001	Accomack County	2	Rural Principal Arterial - Other	04	Busses	              	0	0.00%	0.00%				3,477	0.00%	0.00%				0	0.00%	0.00%				3,477	0.00%		
 		001	Accomack County	2	Rural Principal Arterial - Other	05	Two Axle, 6 Tire Single Unit Trucks	              	0	0.00%	0.00%				4,268	0.00%	0.00%				0	0.00%	0.00%				4,268	0.00%		
 		001	Accomack County	2	Rural Principal Arterial - Other	06	Three Axle Single Unit Trucks	              	0	0.00%	0.00%				4,637	0.01%	0.00%				0	0.00%	0.00%				4,637	0.00%		
 		001	Accomack County	2	Rural Principal Arterial - Other	07	Four or More Axle Single Unit Trucks	              	0	0.00%	0.00%				1,180	0.00%	0.00%				0	0.00%	0.00%				1,180	0.00%		
 		001	Accomack County	2	Rural Principal Arterial - Other	08	Four Axle or Fewer Single Trailers	              	0	0.00%	0.00%				1,858	0.00%	0.00%				0	0.00%	0.00%				1,858	0.00%		
