ReportID:,1216,DataYear:,2011,,ReportID:,1216,DataYear:,2011,,ReportID:,1216,DataYear:,2011,,ReportID:,1216,DataYear:,2011,,ReportID:,1216,DataYear:,2011,,ReportID:,1216,DataYear:,2011,Prepared,8/22/2012
Daily Vehicle Miles Traveled (DVMT) by Physical Jurisdiction by Federal Functional Class; Towns Combined into Counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Road Segments within the Commonwealth of Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road Length values temporarilly not included in this report pending publication of official road length values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Secondary,,,,,,Primary,,,,,,Interstate,,,,,,All Roads,,,
,,,,,,,,,,,,,%,%,,,,,%,%,,,,,%,%,,,,%
,,,,,,,,,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,,of
,,,,,,,,,,of,of,,Secondary,State,,of,of,,Primary,State,,of,of,,Interstate,State,,of,,State
,,,,Federal,,,,,,Secondary,State,Road,Total,Total,,Primary,State,Road,Total,Total,,Interstate,State,Road,Total,Total,,State,Road,Total
,,,,Functional,,,,,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Length,Road
,,Jurisdiction,,Class,,,,,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,(Miles),Length
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,001,Accomack County,2,Rural Principal Arterial - Other,,,              ,0,0.00%,0.00%,,,,689,445,0.76%,0.31%,,,,0,0.00%,0.00%,,,,689,445,0.31%,,
 ,,001,Accomack County,7,Rural Major Collector,,,              ,140,380,0.22%,0.06%,,,,193,419,0.21%,0.09%,,,,0,0.00%,0.00%,,,,333,799,0.15%,,
 ,,001,Accomack County,8,Rural Minor Collector,,,              ,27,901,0.04%,0.01%,,,,1,810,0.00%,0.00%,,,,0,0.00%,0.00%,,,,29,711,0.01%,,
 ,,001,Accomack County,9,Rural Local System,,,              ,142,195,0.22%,0.06%,,,,108,0.00%,0.00%,,,,0,0.00%,0.00%,,,,142,303,0.06%,,
 ,,001,Accomack County Total:,,,,,,310,477,0.48%,0.14%,,,,884,782,0.97%,0.40%,,,,0,0.00%,0.00%,,,,1,195,258,0.54%,,
 ,,002,Albemarle County,1,Rural Principal Arterial - Interstate,,,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,760,026,1.15%,0.34%,,,,760,026,0.34%,,
 ,,002,Albemarle County,2,Rural Principal Arterial - Other,,,              ,0,0.00%,0.00%,,,,266,507,0.29%,0.12%,,,,0,0.00%,0.00%,,,,266,507,0.12%,,
 ,,002,Albemarle County,6,Rural Minor Arterial,,,              ,0,0.00%,0.00%,,,,363,461,0.40%,0.16%,,,,0,0.00%,0.00%,,,,363,461,0.16%,,
 ,,002,Albemarle County,7,Rural Major Collector,,,              ,255,947,0.39%,0.12%,,,,136,657,0.15%,0.06%,,,,0,0.00%,0.00%,,,,392,604,0.18%,,
 ,,002,Albemarle County,8,Rural Minor Collector,,,              ,22,552,0.03%,0.01%,,,,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,22,552,0.01%,,
 ,,002,Albemarle County,9,Rural Local System,,,              ,221,052,0.34%,0.10%,,,,1,070,0.00%,0.00%,,,,0,0.00%,0.00%,,,,222,122,0.10%,,
 ,,002,Albemarle County,11,Urban Principal Arterial - Interstate,,,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,325,492,0.49%,0.15%,,,,325,492,0.15%,,
 ,,002,Albemarle County,12,Urban Principal Arterial - Other Freeways or Expressways,,,              ,0,0.00%,0.00%,,,,168,613,0.19%,0.08%,,,,0,0.00%,0.00%,,,,168,613,0.08%,,
 ,,002,Albemarle County,14,Urban Principal Arterial - Other,,,              ,0,0.00%,0.00%,,,,486,473,0.53%,0.22%,,,,0,0.00%,0.00%,,,,486,473,0.22%,,
 ,,002,Albemarle County,16,Urban Minor Arterial,,,              ,127,443,0.20%,0.06%,,,,84,766,0.09%,0.04%,,,,0,0.00%,0.00%,,,,212,209,0.10%,,
