ReportID:,2210,DataYear:,2011,,ReportID:,2210,DataYear:,2011,,ReportID:,2210,DataYear:,2011,,ReportID:,2210,DataYear:,2011,,ReportID:,2210,DataYear:,2011,,ReportID:,2210,DataYear:,2011,Prepared,8/22/2012
Daily Vehicle Miles Traveled (DVMT) by Maintenance Jurisdiction by Federal Functional Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Public Road Segments Maintained by the Commonwealth of Virginia (VDOT), Virginia Local Jurisdictions, the Federal Government or Local Toll Authorities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"> > > > This report includes road segments maintained by VDOT, but outside of Virginia so it is not expected to match Virginia Public Road reports from sources such as FHWA or DMV < < < < ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road Length values temporarilly not included in this report pending publication of official road length values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Secondary,,,,,,Primary,,,,,,Interstate,,,,,,All Roads,,,
,,,,,,,,,,,,,%,%,,,,,%,%,,,,,%,%,,,,%
,,,,,,,,,,%,%,,of,of,,%,%,,of,of,,%,%,,of,of,,%,,of
,,,,,,,,,,of,of,,Secondary,State,,of,of,,Primary,State,,of,of,,Interstate,State,,of,,State
,,,,Federal,,,,,,Secondary,State,Road,Total,Total,,Primary,State,Road,Total,Total,,Interstate,State,Road,Total,Total,,State,Road,Total
,,,,Functional,,,,,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Total,Length,Road,Road,,Total,Length,Road
,,Jurisdiction,,Class,,,,,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,(Miles),Length
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bristol District,010,Bland County,1,Rural Principal Arterial - Interstate,,,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,578,725,0.88%,0.26%,,,,578,725,0.26%,,
1,Bristol District,010,Bland County,6,Rural Minor Arterial,,,              ,0,0.00%,0.00%,,,,30,436,0.03%,0.01%,,,,0,0.00%,0.00%,,,,30,436,0.01%,,
1,Bristol District,010,Bland County,7,Rural Major Collector,,,              ,11,198,0.02%,0.01%,,,,36,138,0.04%,0.02%,,,,0,0.00%,0.00%,,,,47,336,0.02%,,
1,Bristol District,010,Bland County,9,Rural Local System,,,              ,54,438,0.08%,0.02%,,,,595,0.00%,0.00%,,,,0,0.00%,0.00%,,,,55,032,0.02%,,
1,Bristol District,010,Bland County Total:,,,,,,65,635,0.10%,0.03%,,,,67,169,0.07%,0.03%,,,,578,725,0.88%,0.26%,,,,711,530,0.32%,,
1,Bristol District,013,Buchanan County,2,Rural Principal Arterial - Other,,,              ,3,744,0.01%,0.00%,,,,253,481,0.28%,0.11%,,,,0,0.00%,0.00%,,,,257,225,0.12%,,
1,Bristol District,013,Buchanan County,6,Rural Minor Arterial,,,              ,0,0.00%,0.00%,,,,53,829,0.06%,0.02%,,,,0,0.00%,0.00%,,,,53,829,0.02%,,
1,Bristol District,013,Buchanan County,7,Rural Major Collector,,,              ,131,042,0.20%,0.06%,,,,48,407,0.05%,0.02%,,,,0,0.00%,0.00%,,,,179,450,0.08%,,
1,Bristol District,013,Buchanan County,8,Rural Minor Collector,,,              ,4,370,0.01%,0.00%,,,,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,4,370,0.00%,,
1,Bristol District,013,Buchanan County,9,Rural Local System,,,              ,139,456,0.21%,0.06%,,,,142,0.00%,0.00%,,,,0,0.00%,0.00%,,,,139,599,0.06%,,
1,Bristol District,013,Buchanan County Total:,,,,,,278,613,0.43%,0.13%,,,,355,859,0.39%,0.16%,,,,0,0.00%,0.00%,,,,634,471,0.29%,,
1,Bristol District,025,Dickenson County,6,Rural Minor Arterial,,,              ,0,0.00%,0.00%,,,,151,235,0.17%,0.07%,,,,0,0.00%,0.00%,,,,151,235,0.07%,,
1,Bristol District,025,Dickenson County,7,Rural Major Collector,,,              ,54,399,0.08%,0.02%,,,,62,035,0.07%,0.03%,,,,0,0.00%,0.00%,,,,116,434,0.05%,,
1,Bristol District,025,Dickenson County,8,Rural Minor Collector,,,              ,2,780,0.00%,0.00%,,,,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,2,780,0.00%,,
1,Bristol District,025,Dickenson County,9,Rural Local System,,,              ,78,822,0.12%,0.04%,,,,700,0.00%,0.00%,,,,0,0.00%,0.00%,,,,79,521,0.04%,,
1,Bristol District,025,Dickenson County Total:,,,,,,136,001,0.21%,0.06%,,,,213,970,0.24%,0.10%,,,,0,0.00%,0.00%,,,,349,971,0.16%,,
1,Bristol District,038,Grayson County,6,Rural Minor Arterial,,,              ,0,0.00%,0.00%,,,,178,387,0.20%,0.08%,,,,0,0.00%,0.00%,,,,178,387,0.08%,,
1,Bristol District,038,Grayson County,7,Rural Major Collector,,,              ,43,304,0.07%,0.02%,,,,14,628,0.02%,0.01%,,,,0,0.00%,0.00%,,,,57,932,0.03%,,
1,Bristol District,038,Grayson County,8,Rural Minor Collector,,,              ,5,940,0.01%,0.00%,,,,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,5,940,0.00%,,
1,Bristol District,038,Grayson County,9,Rural Local System,,,              ,59,972,0.09%,0.03%,,,,1,087,0.00%,0.00%,,,,0,0.00%,0.00%,,,,61,059,0.03%,,
1,Bristol District,038,Grayson County,14,Urban Principal Arterial - Other,,,              ,0,0.00%,0.00%,,,,5,283,0.01%,0.00%,,,,0,0.00%,0.00%,,,,5,283,0.00%,,
1,Bristol District,038,Grayson County,19,Urban Local System,,,              ,28,0.00%,0.00%,,,,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,28,0.00%,,
1,Bristol District,038,Grayson County Total:,,,,,,109,244,0.17%,0.05%,,,,199,386,0.22%,0.09%,,,,0,0.00%,0.00%,,,,308,629,0.14%,,
1,Bristol District,052,Lee County,2,Rural Principal Arterial - Other,,,              ,0,0.00%,0.00%,,,,39,275,0.04%,0.02%,,,,0,0.00%,0.00%,,,,39,275,0.02%,,
1,Bristol District,052,Lee County,6,Rural Minor Arterial,,,              ,0,0.00%,0.00%,,,,387,994,0.43%,0.18%,,,,0,0.00%,0.00%,,,,387,994,0.18%,,
1,Bristol District,052,Lee County,7,Rural Major Collector,,,              ,46,123,0.07%,0.02%,,,,20,001,0.02%,0.01%,,,,0,0.00%,0.00%,,,,66,124,0.03%,,
1,Bristol District,052,Lee County,8,Rural Minor Collector,,,              ,7,897,0.01%,0.00%,,,,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,7,897,0.00%,,
1,Bristol District,052,Lee County,9,Rural Local System,,,              ,83,574,0.13%,0.04%,,,,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,83,574,0.04%,,
1,Bristol District,052,Lee County Total:,,,,,,137,594,0.21%,0.06%,,,,447,270,0.49%,0.20%,,,,0,0.00%,0.00%,,,,584,863,0.26%,,
1,Bristol District,083,Russell County,2,Rural Principal Arterial - Other,,,              ,0,0.00%,0.00%,,,,461,247,0.51%,0.21%,,,,0,0.00%,0.00%,,,,461,247,0.21%,,
1,Bristol District,083,Russell County,6,Rural Minor Arterial,,,              ,0,0.00%,0.00%,,,,99,043,0.11%,0.04%,,,,0,0.00%,0.00%,,,,99,043,0.04%,,
1,Bristol District,083,Russell County,7,Rural Major Collector,,,              ,69,674,0.11%,0.03%,,,,76,049,0.08%,0.03%,,,,0,0.00%,0.00%,,,,145,724,0.07%,,
1,Bristol District,083,Russell County,8,Rural Minor Collector,,,              ,10,019,0.02%,0.00%,,,,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,10,019,0.00%,,
1,Bristol District,083,Russell County,9,Rural Local System,,,              ,98,033,0.15%,0.04%,,,,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,98,033,0.04%,,
1,Bristol District,083,Russell County,17,Urban Collector,,,              ,0,0.00%,0.00%,,,,1,482,0.00%,0.00%,,,,0,0.00%,0.00%,,,,1,482,0.00%,,
1,Bristol District,083,Russell County,19,Urban Local System,,,              ,98,0.00%,0.00%,,,,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,98,0.00%,,
1,Bristol District,083,Russell County Total:,,,,,,177,825,0.27%,0.08%,,,,637,822,0.70%,0.29%,,,,0,0.00%,0.00%,,,,815,647,0.37%,,
1,Bristol District,084,Scott County,2,Rural Principal Arterial - Other,,,              ,0,0.00%,0.00%,,,,229,350,0.25%,0.10%,,,,0,0.00%,0.00%,,,,229,350,0.10%,,
1,Bristol District,084,Scott County,6,Rural Minor Arterial,,,              ,0,0.00%,0.00%,,,,96,259,0.11%,0.04%,,,,0,0.00%,0.00%,,,,96,259,0.04%,,
