ReportID:	2200	DataYear:	2011		ReportID:	2200	DataYear:	2011		ReportID:	2200	DataYear:	2011		ReportID:	2200	DataYear:	2011		ReportID:	2200	DataYear:	2011		ReportID:	2200	DataYear:	2011	Prepared	8/22/2012
Daily Vehicle Miles Traveled (DVMT) by Maintenance Jurisdiction																														
Public Road Segments Maintained by the Commonwealth of Virginia (VDOT), Virginia Local Jurisdictions, the Federal Government or Local Toll Authorities																														
> > > > This report includes road segments maintained by VDOT, but outside of Virginia so it is not expected to match Virginia Public Road reports from sources such as FHWA or DMV < < < < 																														
Road Length values temporarilly not included in this report pending publication of official road length values																														
2011																														
																														
									Secondary						Primary						Interstate						All Roads			
													%	%					%	%					%	%				%
										%	%		of	of		%	%		of	of		%	%		of	of		%		of
										of	of		Secondary	State		of	of		Primary	State		of	of		Interstate	State		of		State
										Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Interstate	State	Road	Total	Total		State	Road	Total
										Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Length	Road
		Jurisdiction							DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	(Miles)	Length
																														
1	Bristol District	010	Bland County					              	65,635	0.10%	0.03%				67,169	0.07%	0.03%				578,725	0.88%	0.26%				711,530	0.32%		
1	Bristol District	013	Buchanan County					              	278,613	0.43%	0.13%				355,859	0.39%	0.16%				0	0.00%	0.00%				634,471	0.29%		
1	Bristol District	025	Dickenson County					              	136,001	0.21%	0.06%				213,970	0.24%	0.10%				0	0.00%	0.00%				349,971	0.16%		
1	Bristol District	038	Grayson County					              	109,244	0.17%	0.05%				199,386	0.22%	0.09%				0	0.00%	0.00%				308,629	0.14%		
1	Bristol District	052	Lee County					              	137,594	0.21%	0.06%				447,270	0.49%	0.20%				0	0.00%	0.00%				584,863	0.26%		
1	Bristol District	083	Russell County					              	177,825	0.27%	0.08%				637,822	0.70%	0.29%				0	0.00%	0.00%				815,647	0.37%		
1	Bristol District	084	Scott County					              	197,632	0.30%	0.09%				552,873	0.61%	0.25%				0	0.00%	0.00%				750,505	0.34%		
1	Bristol District	086	Smyth County					              	214,774	0.33%	0.10%				186,874	0.21%	0.08%				624,569	0.95%	0.28%				1,026,216	0.46%		
1	Bristol District	092	Tazewell County					              	200,282	0.31%	0.09%				730,405	0.81%	0.33%				0	0.00%	0.00%				930,687	0.42%		
