ReportID:	1210	DataYear:	2011		ReportID:	1210	DataYear:	2011		ReportID:	1210	DataYear:	2011		ReportID:	1210	DataYear:	2011		ReportID:	1210	DataYear:	2011		ReportID:	1210	DataYear:	2011	Prepared	8/22/2012
Daily Vehicle Miles Traveled (DVMT) by Physical Jurisdiction by Federal Functional Class																														
Public Road Segments within the Commonwealth of Virginia																														
Road Length values temporarilly not included in this report pending publication of official road length values																														
2011																														
																														
									Secondary						Primary						Interstate						All Roads			
													%	%					%	%					%	%				%
										%	%		of	of		%	%		of	of		%	%		of	of		%		of
										of	of		Secondary	State		of	of		Primary	State		of	of		Interstate	State		of		State
				Federal						Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Interstate	State	Road	Total	Total		State	Road	Total
				Functional						Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Length	Road
		Jurisdiction		Class					DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	(Miles)	Length
																														
 		001	Accomack County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				613,495	0.67%	0.28%				0	0.00%	0.00%				613,495	0.28%		
 		001	Accomack County	7	Rural Major Collector			              	109,692	0.17%	0.05%				141,050	0.16%	0.06%				0	0.00%	0.00%				250,741	0.11%		
 		001	Accomack County	8	Rural Minor Collector			              	8,317	0.01%	0.00%				1,810	0.00%	0.00%				0	0.00%	0.00%				10,127	0.00%		
 		001	Accomack County	9	Rural Local System			              	122,229	0.19%	0.06%				108	0.00%	0.00%				0	0.00%	0.00%				122,337	0.06%		
 		001	Accomack County Total:						240,238	0.37%	0.11%				756,462	0.83%	0.34%				0	0.00%	0.00%				996,700	0.45%		
 		002	Albemarle County	1	Rural Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				760,026	1.15%	0.34%				760,026	0.34%		
 		002	Albemarle County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				266,507	0.29%	0.12%				0	0.00%	0.00%				266,507	0.12%		
 		002	Albemarle County	6	Rural Minor Arterial			              	0	0.00%	0.00%				359,032	0.39%	0.16%				0	0.00%	0.00%				359,032	0.16%		
 		002	Albemarle County	7	Rural Major Collector			              	255,660	0.39%	0.12%				136,657	0.15%	0.06%				0	0.00%	0.00%				392,317	0.18%		
 		002	Albemarle County	8	Rural Minor Collector			              	22,552	0.03%	0.01%				0	0.00%	0.00%				0	0.00%	0.00%				22,552	0.01%		
 		002	Albemarle County	9	Rural Local System			              	220,569	0.34%	0.10%				1,070	0.00%	0.00%				0	0.00%	0.00%				221,640	0.10%		
 		002	Albemarle County	11	Urban Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				325,492	0.49%	0.15%				325,492	0.15%		
 		002	Albemarle County	12	Urban Principal Arterial - Other Freeways or Expressways			              	0	0.00%	0.00%				168,613	0.19%	0.08%				0	0.00%	0.00%				168,613	0.08%		
 		002	Albemarle County	14	Urban Principal Arterial - Other			              	0	0.00%	0.00%				486,473	0.53%	0.22%				0	0.00%	0.00%				486,473	0.22%		
 		002	Albemarle County	16	Urban Minor Arterial			              	127,443	0.20%	0.06%				84,766	0.09%	0.04%				0	0.00%	0.00%				212,209	0.10%		
 		002	Albemarle County	17	Urban Collector			              	142,133	0.22%	0.06%				0	0.00%	0.00%				0	0.00%	0.00%				142,133	0.06%		
 		002	Albemarle County	19	Urban Local System			              	118,929	0.18%	0.05%				2,387	0.00%	0.00%				0	0.00%	0.00%				121,316	0.05%		
 		002	Albemarle County Total:						887,286	1.37%	0.40%				1,505,504	1.66%	0.68%				1,085,517	1.65%	0.49%				3,478,307	1.57%		
 		003	Alleghany County	1	Rural Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				419,098	0.64%	0.19%				419,098	0.19%		
 		003	Alleghany County	6	Rural Minor Arterial			              	0	0.00%	0.00%				18,349	0.02%	0.01%				0	0.00%	0.00%				18,349	0.01%		
 		003	Alleghany County	7	Rural Major Collector			              	30,437	0.05%	0.01%				52,238	0.06%	0.02%				0	0.00%	0.00%				82,675	0.04%		
 		003	Alleghany County	8	Rural Minor Collector			              	1,835	0.00%	0.00%				0	0.00%	0.00%				0	0.00%	0.00%				1,835	0.00%		
 		003	Alleghany County	9	Rural Local System			              	74,884	0.12%	0.03%				1,160	0.00%	0.00%				0	0.00%	0.00%				76,044	0.03%		
 		003	Alleghany County	11	Urban Principal Arterial - Interstate			              	0	0.00%	0.00%				0	0.00%	0.00%				8,895	0.01%	0.00%				8,895	0.00%		
 		003	Alleghany County	14	Urban Principal Arterial - Other			              	0	0.00%	0.00%				30,157	0.03%	0.01%				0	0.00%	0.00%				30,157	0.01%		
 		003	Alleghany County	16	Urban Minor Arterial			              	0	0.00%	0.00%				7,058	0.01%	0.00%				0	0.00%	0.00%				7,058	0.00%		
 		003	Alleghany County	17	Urban Collector			              	10,435	0.02%	0.00%				0	0.00%	0.00%				0	0.00%	0.00%				10,435	0.00%		
 		003	Alleghany County	19	Urban Local System			              	0	0.00%	0.00%				121	0.00%	0.00%				0	0.00%	0.00%				121	0.00%		
 		003	Alleghany County Total:						117,590	0.18%	0.05%				109,082	0.12%	0.05%				427,993	0.65%	0.19%				654,666	0.30%		
 		004	Amelia County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				275,846	0.30%	0.12%				0	0.00%	0.00%				275,846	0.12%		
 		004	Amelia County	7	Rural Major Collector			              	81,339	0.13%	0.04%				62,640	0.07%	0.03%				0	0.00%	0.00%				143,979	0.06%		
 		004	Amelia County	8	Rural Minor Collector			              	32,005	0.05%	0.01%				159	0.00%	0.00%				0	0.00%	0.00%				32,164	0.01%		
 		004	Amelia County	9	Rural Local System			              	68,738	0.11%	0.03%				13	0.00%	0.00%				0	0.00%	0.00%				68,752	0.03%		
 		004	Amelia County Total:						182,083	0.28%	0.08%				338,659	0.37%	0.15%				0	0.00%	0.00%				520,742	0.23%		
 		005	Amherst County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%				77,247	0.08%	0.03%				0	0.00%	0.00%				77,247	0.03%		
 		005	Amherst County	6	Rural Minor Arterial			              	0	0.00%	0.00%				132,346	0.15%	0.06%				0	0.00%	0.00%				132,346	0.06%		
 		005	Amherst County	7	Rural Major Collector			              	50,467	0.08%	0.02%				0	0.00%	0.00%				0	0.00%	0.00%				50,467	0.02%		
