ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	(Wide)	ReportID:	2210	DataYear:	2008	Prepared	7/14/2009
Daily Vehicle Miles Traveled (DVMT) by Maintenance Jurisdiction by Federal Functional Class																																																												
Public Road Segments Maintained by the Commonwealth of Virginia (VDOT), Virginia Local Jurisdictions, the Federal Government or Local Toll Authorities																																																												
> > > > This report includes road segments maintained by VDOT, but outside of Virginia so it is not expected to match Virginia Public Road reports from sources such as FHWA or DMV < < < < 																																																												
Using Distance Measured Along North and East Bound Direction of Separated Inventoried Highways																																																												
2008																																																												
																																																												
									VDOT Secondary						VDOT Primary						VDOT Interstate						County Secondary						Urban Secondary						Urban Primary						Other Secondary						Other Primary						All Roads			
													%	%					%	%					%	%					%	%					%	%					%	%					%	%					%	%				%
										%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%	%		of	of		%		of
										of	of		Secondary	State		of	of		Primary	State		of	of		Interstate	State		of	of		Secondary	State		of	of		Secondary	State		of	of		Primary	State		of	of		Secondary	State		of	of		Primary	State		of		State
				Federal						Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Interstate	State	Road	Total	Total		Secondary	State	Road	Total	Total		Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		State	Road	Total
				Functional						Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Length	Road
		Jurisdiction		Class					DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	(Miles)	Length
																																																												
1	Southwestern Region	005	Amherst County	2	Rural Principal Arterial - Other			              							70,926	0.10%	0.03%	5.37	0.06%	0.01%																																					70,926	0.03%	5.37	0.01%
1	Southwestern Region	005	Amherst County	6	Rural Minor Arterial			              							127,077	0.19%	0.06%	57.01	0.68%	0.08%																																					127,077	0.06%	57.01	0.08%
1	Southwestern Region	005	Amherst County	7	Rural Major Collector			              	55,054	0.13%	0.02%	88.86	0.18%	0.12%																																											55,054	0.02%	88.86	0.12%
1	Southwestern Region	005	Amherst County	8	Rural Minor Collector			              	9,105	0.02%	0.00%	30.23	0.06%	0.04%																																											9,105	0.00%	30.23	0.04%
1	Southwestern Region	005	Amherst County	9	Rural Local System			              	45,410	0.11%	0.02%	315.06	0.65%	0.43%																																											45,410	0.02%	315.06	0.43%
1	Southwestern Region	005	Amherst County	12	Urban Principal Arterial - Other Freeways or Expressways			              							262,816	0.38%	0.12%	16.90	0.20%	0.02%																																					262,816	0.12%	16.90	0.02%
1	Southwestern Region	005	Amherst County	14	Urban Principal Arterial - Other			              							186,006	0.27%	0.08%	14.86	0.18%	0.02%																																					186,006	0.08%	14.86	0.02%
1	Southwestern Region	005	Amherst County	16	Urban Minor Arterial			              	10,874	0.03%	0.00%	3.10	0.01%	0.00%	47,660	0.07%	0.02%	8.76	0.11%	0.01%																																					58,534	0.03%	11.86	0.02%
1	Southwestern Region	005	Amherst County	17	Urban Collector			              	56,428	0.13%	0.03%	26.61	0.05%	0.04%	2,871	0.00%	0.00%	0.67	0.01%	0.00%																																					59,299	0.03%	27.28	0.04%
1	Southwestern Region	005	Amherst County	19	Urban Local System			              	34,402	0.08%	0.02%	85.32	0.18%	0.12%	1,408	0.00%	0.00%	3.13	0.04%	0.00%																																					35,810	0.02%	88.45	0.12%
1	Southwestern Region	005	Amherst County Total:						211,273	0.51%	0.09%	549.18	1.13%	0.74%	698,764	1.02%	0.31%	106.70	1.28%	0.14%																																					910,037	0.40%	655.88	0.89%
1	Southwestern Region	006	Appomattox County	2	Rural Principal Arterial - Other			              							243,151	0.35%	0.11%	20.06	0.24%	0.03%																																					243,151	0.11%	20.06	0.03%
1	Southwestern Region	006	Appomattox County	6	Rural Minor Arterial			              							52,165	0.08%	0.02%	27.12	0.33%	0.04%																																					52,165	0.02%	27.12	0.04%
1	Southwestern Region	006	Appomattox County	7	Rural Major Collector			              	66,013	0.16%	0.03%	80.11	0.17%	0.11%	27,896	0.04%	0.01%	5.89	0.07%	0.01%																																					93,909	0.04%	86.00	0.12%
1	Southwestern Region	006	Appomattox County	8	Rural Minor Collector			              	11,359	0.03%	0.01%	45.21	0.09%	0.06%																																											11,359	0.01%	45.21	0.06%
1	Southwestern Region	006	Appomattox County	9	Rural Local System			              	57,762	0.14%	0.03%	308.95	0.64%	0.42%	305	0.00%	0.00%	1.41	0.02%	0.00%																																					58,067	0.03%	310.36	0.42%
1	Southwestern Region	006	Appomattox County Total:						135,134	0.32%	0.06%	434.27	0.90%	0.59%	323,517	0.47%	0.14%	54.48	0.65%	0.07%																																					458,651	0.20%	488.75	0.66%
1	Southwestern Region	009	Bedford County	2	Rural Principal Arterial - Other			              							416,523	0.61%	0.19%	25.38	0.30%	0.03%																																					416,523	0.19%	25.38	0.03%
1	Southwestern Region	009	Bedford County	6	Rural Minor Arterial			              							397,737	0.58%	0.18%	74.96	0.90%	0.10%																																					397,737	0.18%	74.96	0.10%
1	Southwestern Region	009	Bedford County	7	Rural Major Collector			              	213,898	0.51%	0.10%	163.49	0.34%	0.22%	79,704	0.12%	0.04%	39.54	0.48%	0.05%																																					293,602	0.13%	203.03	0.27%
1	Southwestern Region	009	Bedford County	8	Rural Minor Collector			              	43,622	0.10%	0.02%	34.13	0.07%	0.05%																																											43,622	0.02%	34.13	0.05%
1	Southwestern Region	009	Bedford County	9	Rural Local System			              	193,171	0.46%	0.09%	703.64	1.45%	0.95%	27	0.00%	0.00%	0.19	0.00%	0.00%																																					193,198	0.09%	703.83	0.95%
1	Southwestern Region	009	Bedford County	14	Urban Principal Arterial - Other			              							96,569	0.14%	0.04%	5.74	0.07%	0.01%																																					96,569	0.04%	5.74	0.01%
1	Southwestern Region	009	Bedford County	16	Urban Minor Arterial			              	30,543	0.07%	0.01%	3.08	0.01%	0.00%	115,273	0.17%	0.05%	6.04	0.07%	0.01%																																					145,816	0.06%	9.12	0.01%
1	Southwestern Region	009	Bedford County	17	Urban Collector			              	62,132	0.15%	0.03%	14.53	0.03%	0.02%	1,530	0.00%	0.00%	0.90	0.01%	0.00%																																					63,662	0.03%	15.43	0.02%
1	Southwestern Region	009	Bedford County	19	Urban Local System			              	67,963	0.16%	0.03%	75.10	0.15%	0.10%	12	0.00%	0.00%	0.09	0.00%	0.00%																																					67,975	0.03%	75.19	0.10%
