ReportID:	2210	DataYear:	2008		ReportID:	2210	DataYear:	2008		ReportID:	2210	DataYear:	2008		ReportID:	2210	DataYear:	2008		ReportID:	2210	DataYear:	2008		ReportID:	2210	DataYear:	2008	Prepared	7/14/2009
Daily Vehicle Miles Traveled (DVMT) by Maintenance Jurisdiction by Federal Functional Class																														
Public Road Segments Maintained by the Commonwealth of Virginia (VDOT), Virginia Local Jurisdictions, the Federal Government or Local Toll Authorities																														
> > > > This report includes road segments maintained by VDOT, but outside of Virginia so it is not expected to match Virginia Public Road reports from sources such as FHWA or DMV < < < < 																														
Using Distance Measured Along North and East Bound Direction of Separated Inventoried Highways																														
2008																														
																														
									Secondary						Primary						Interstate						All Roads			
													%	%					%	%					%	%				%
										%	%		of	of		%	%		of	of		%	%		of	of		%		of
										of	of		Secondary	State		of	of		Primary	State		of	of		Interstate	State		of		State
				Federal						Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Interstate	State	Road	Total	Total		State	Road	Total
				Functional						Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Length	Road
		Jurisdiction		Class					DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	(Miles)	Length
																														
1	Bristol District	010	Bland County	1	Rural Principal Arterial - Interstate			              	0	0.00%	0.00%	0.00	0.00%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	541,570	0.83%	0.24%	21.69	1.94%	0.03%	541,570	0.24%	21.69	0.03%
1	Bristol District	010	Bland County	6	Rural Minor Arterial			              	0	0.00%	0.00%	0.00	0.00%	0.00%	32,656	0.04%	0.01%	14.24	0.14%	0.02%	0	0.00%	0.00%	0.00	0.00%	0.00%	32,656	0.01%	14.24	0.02%
1	Bristol District	010	Bland County	7	Rural Major Collector			              	15,649	0.02%	0.01%	15.70	0.03%	0.02%	42,075	0.05%	0.02%	63.45	0.63%	0.09%	0	0.00%	0.00%	0.00	0.00%	0.00%	57,724	0.03%	79.15	0.11%
1	Bristol District	010	Bland County	9	Rural Local System			              	54,551	0.08%	0.02%	193.51	0.31%	0.26%	596	0.00%	0.00%	2.11	0.02%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	55,147	0.02%	195.62	0.26%
1	Bristol District	010	Bland County Total:						70,201	0.10%	0.03%	209.21	0.33%	0.28%	75,326	0.08%	0.03%	79.80	0.80%	0.11%	541,570	0.83%	0.24%	21.69	1.94%	0.03%	687,097	0.31%	310.70	0.42%
1	Bristol District	013	Buchanan County	2	Rural Principal Arterial - Other			              	3,901	0.01%	0.00%	0.62	0.00%	0.00%	269,096	0.29%	0.12%	34.78	0.35%	0.05%	0	0.00%	0.00%	0.00	0.00%	0.00%	272,998	0.12%	35.40	0.05%
1	Bristol District	013	Buchanan County	6	Rural Minor Arterial			              	0	0.00%	0.00%	0.00	0.00%	0.00%	57,670	0.06%	0.03%	20.30	0.20%	0.03%	0	0.00%	0.00%	0.00	0.00%	0.00%	57,670	0.03%	20.30	0.03%
1	Bristol District	013	Buchanan County	7	Rural Major Collector			              	158,319	0.24%	0.07%	118.70	0.19%	0.16%	54,758	0.06%	0.02%	17.40	0.17%	0.02%	0	0.00%	0.00%	0.00	0.00%	0.00%	213,077	0.09%	136.10	0.18%
1	Bristol District	013	Buchanan County	8	Rural Minor Collector			              	3,727	0.01%	0.00%	9.64	0.02%	0.01%	0	0.00%	0.00%	0.00	0.00%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	3,727	0.00%	9.64	0.01%
1	Bristol District	013	Buchanan County	9	Rural Local System			              	139,624	0.21%	0.06%	333.86	0.53%	0.45%	142	0.00%	0.00%	0.34	0.00%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	139,766	0.06%	334.20	0.45%
1	Bristol District	013	Buchanan County Total:						305,571	0.46%	0.14%	462.82	0.74%	0.63%	381,667	0.41%	0.17%	72.82	0.73%	0.10%	0	0.00%	0.00%	0.00	0.00%	0.00%	687,238	0.31%	535.64	0.72%
1	Bristol District	025	Dickenson County	6	Rural Minor Arterial			              	0	0.00%	0.00%	0.00	0.00%	0.00%	148,097	0.16%	0.07%	38.94	0.39%	0.05%	0	0.00%	0.00%	0.00	0.00%	0.00%	148,097	0.07%	38.94	0.05%
1	Bristol District	025	Dickenson County	7	Rural Major Collector			              	56,012	0.08%	0.02%	81.85	0.13%	0.11%	63,592	0.07%	0.03%	39.96	0.40%	0.05%	0	0.00%	0.00%	0.00	0.00%	0.00%	119,604	0.05%	121.81	0.16%
1	Bristol District	025	Dickenson County	8	Rural Minor Collector			              	2,657	0.00%	0.00%	13.15	0.02%	0.02%	0	0.00%	0.00%	0.00	0.00%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	2,657	0.00%	13.15	0.02%
1	Bristol District	025	Dickenson County	9	Rural Local System			              	78,966	0.12%	0.04%	310.84	0.50%	0.42%	700	0.00%	0.00%	2.75	0.03%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	79,666	0.04%	313.59	0.42%
1	Bristol District	025	Dickenson County Total:						137,635	0.21%	0.06%	405.84	0.65%	0.55%	212,388	0.23%	0.09%	81.65	0.82%	0.11%	0	0.00%	0.00%	0.00	0.00%	0.00%	350,023	0.16%	487.49	0.66%
1	Bristol District	038	Grayson County	6	Rural Minor Arterial			              	0	0.00%	0.00%	0.00	0.00%	0.00%	194,509	0.21%	0.09%	85.78	0.86%	0.12%	0	0.00%	0.00%	0.00	0.00%	0.00%	194,509	0.09%	85.78	0.12%
1	Bristol District	038	Grayson County	7	Rural Major Collector			              	49,912	0.07%	0.02%	116.05	0.18%	0.16%	16,145	0.02%	0.01%	14.31	0.14%	0.02%	0	0.00%	0.00%	0.00	0.00%	0.00%	66,057	0.03%	130.36	0.18%
1	Bristol District	038	Grayson County	8	Rural Minor Collector			              	5,807	0.01%	0.00%	34.57	0.06%	0.05%	0	0.00%	0.00%	0.00	0.00%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	5,807	0.00%	34.57	0.05%
1	Bristol District	038	Grayson County	9	Rural Local System			              	60,126	0.09%	0.03%	509.09	0.81%	0.69%	1,090	0.00%	0.00%	9.23	0.09%	0.01%	0	0.00%	0.00%	0.00	0.00%	0.00%	61,217	0.03%	518.32	0.70%
1	Bristol District	038	Grayson County	14	Urban Principal Arterial - Other			              	0	0.00%	0.00%	0.00	0.00%	0.00%	5,125	0.01%	0.00%	0.63	0.01%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	5,125	0.00%	0.63	0.00%
1	Bristol District	038	Grayson County	19	Urban Local System			              	28	0.00%	0.00%	0.12	0.00%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	0	0.00%	0.00%	0.00	0.00%	0.00%	28	0.00%	0.12	0.00%
1	Bristol District	038	Grayson County Total:						115,873	0.17%	0.05%	659.83	1.05%	0.89%	216,870	0.23%	0.10%	109.95	1.10%	0.15%	0	0.00%	0.00%	0.00	0.00%	0.00%	332,743	0.15%	769.78	1.04%
1	Bristol District	052	Lee County	2	Rural Principal Arterial - Other			              	0	0.00%	0.00%	0.00	0.00%	0.00%	36,091	0.04%	0.02%	4.08	0.04%	0.01%	0	0.00%	0.00%	0.00	0.00%	0.00%	36,091	0.02%	4.08	0.01%
